Jamal Crawford,19.09,LAC,SG,UTA,34.07,1,198.0,200,96.25,0,25.8,99.86,21.99,28.13,24.63,13.55,1.91
Monta Ellis,17.67,IND,SG,@ CLE,42.27,30,208.5,-500,108.5,0,26.5,100.83,16.86,25.13,26.33,9.01,1.77
J.J. Redick,20.72,LAC,SG,UTA,34.07,1,198.0,200,96.25,0,27.7,99.86,20.62,31.18,32.94,8.50,1.73
James Ennis,17.24,MEM,SF,@ SAS,33.32,2,190.0,-510,99.75,0,23.3,97.74,12.30,25.51,27.76,6.72,1.72
Vince Carter,18.95,MEM,SF,@ SAS,33.32,2,190.0,-510,99.75,0,24.2,97.74,14.38,28.95,30.13,7.77,1.72
C.J. Miles,16.99,IND,SG,@ CLE,42.27,30,208.5,-500,108.5,0,22.8,100.83,17.16,23.09,27.86,6.12,1.7
Patty Mills,16.94,SAS,PG,MEM,43.19,11,190.0,415,90.25,0,21.5,97.88,19.76,21.83,26.60,7.28,1.69
Danny Green,16.79,SAS,SG,MEM,37.28,6,190.0,415,90.25,0,26.1,97.88,13.03,28.94,26.53,7.05,1.68
J.R. Smith,18.41,CLE,SG,IND,38.24,15,208.5,405,100,0,28.5,101.29,14.00,30.58,29.82,7.00,1.67
DeMarre Carroll,16.74,TOR,SF,MIL,40.37,27,199.0,300,95.75,0,25.6,98.46,14.76,25.66,27.29,6.19,1.67
Tony Snell,16.7,MIL,SG,@ TOR,35.32,3,199.0,-360,103.25,0,28.7,99.06,11.38,33.17,27.39,6.01,1.67
Manu Ginobili,16.5,SAS,SG,MEM,37.28,6,190.0,415,90.25,0,18.2,97.88,20.46,18.87,26.57,6.43,1.65
Greg Monroe,26.44,MIL,C,@ TOR,46.65,9,199.0,-360,103.25,0,22.0,99.06,23.17,26.11,39.40,13.48,1.65
Lance Stephenson,16.32,IND,SF,@ CLE,40.24,26,208.5,-500,108.5,0,19.6,100.83,19.45,19.58,25.62,7.02,1.63
Tristan Thompson,22.87,CLE,C,IND,47.41,14,208.5,405,100,0,29.4,101.29,10.84,30.48,34.53,11.21,1.63
Dewayne Dedmon,15.64,SAS,C,MEM,40.64,1,190.0,415,90.25,0,17.0,97.88,11.64,19.44,24.87,6.41,1.56
Joe Ingles,16.87,UTA,SG,@ LAC,36.94,5,198.0,-240,101.75,0,23.5,94.33,13.77,25.41,25.81,7.93,1.53
JaMychal Green,16.82,MEM,PF,@ SAS,41.01,3,190.0,-510,99.75,0,26.8,97.74,13.47,23.49,27.25,6.39,1.53
Joe Johnson,16.62,UTA,SF,@ LAC,39.74,24,198.0,-240,101.75,0,23.1,94.33,17.21,26.10,25.76,7.48,1.51
Iman Shumpert,14.95,CLE,SF,IND,40.04,25,208.5,405,100,0,25.0,101.29,13.53,22.06,23.62,6.28,1.5
Malcolm Brogdon,25.39,MIL,PG,@ TOR,43.05,10,199.0,-360,103.25,0,25.9,99.06,18.64,29.68,36.56,14.22,1.49
Deron Williams,14.68,CLE,PG,IND,43.52,14,208.5,405,100,0,25.4,101.29,22.25,17.32,24.08,5.28,1.47
Matthew Dellavedova,14.35,MIL,PG,@ TOR,43.05,10,199.0,-360,103.25,0,25.6,99.06,17.02,19.38,22.82,5.88,1.44
Kyle Korver,14.27,CLE,SG,IND,38.24,15,208.5,405,100,0,25.7,101.29,14.81,21.98,23.97,4.57,1.43
Patrick Patterson,14.21,TOR,PF,MIL,43.71,12,199.0,300,95.75,0,24.0,98.46,12.13,20.79,23.02,5.40,1.42
Thaddeus Young,23.97,IND,PF,@ CLE,43.15,9,208.5,-500,108.5,0,29.8,100.83,15.65,33.95,35.24,12.70,1.41
Rodney Hood,20.83,UTA,SG,@ LAC,36.94,5,198.0,-240,101.75,0,26.6,94.33,20.76,27.06,31.66,10.00,1.39
Luc Richard Mbah a Moute,13.76,LAC,SF,UTA,33.16,1,198.0,200,96.25,0,21.9,99.86,10.88,28.48,17.06,10.46,1.38
Jonas Valanciunas,24.39,TOR,C,MIL,47.77,15,199.0,300,95.75,0,25.3,98.46,18.24,24.01,36.10,12.68,1.36
Troy Daniels,13.23,MEM,SG,@ SAS,38.10,13,190.0,-510,99.75,0,17.4,97.74,20.20,17.01,21.70,4.76,1.32
P.J. Tucker,15.67,TOR,SF,MIL,40.37,27,199.0,300,95.75,0,27.1,98.46,11.28,22.02,24.13,7.21,1.31
Raymond Felton,12.95,LAC,SF,UTA,33.16,1,198.0,200,96.25,0,20.7,99.86,16.59,17.44,18.39,7.51,1.3
