John Wall ,47.2
Giannis Antetokounmpo ,47.1
Karl-Anthony Towns ,45.6
Nikola Jokic ,43.4
Kawhi Leonard ,42.8
Jimmy Butler ,42.3
Chris Paul ,42.0
DeMar DeRozan ,41.5
Blake Griffin ,40.3
Kemba Walker ,39.8
Mike Conley ,38.5
Marc Gasol ,38.3
Paul Millsap ,38.2
Bradley Beal ,35.8
Gordon Hayward ,35.6
D'Angelo Russell ,35.4
Nikola Vucevic ,34.2
Ricky Rubio ,34.2
Dwight Howard ,33.1
Julius Randle ,33.0
Rudy Gobert ,32.8
Wilson Chandler ,32.8
Elfrid Payton ,32.3
Dennis Schroder ,32.1
Andrew Wiggins ,32.1
Khris Middleton ,31.6
Dwyane Wade ,31.4
Greg Monroe ,31.4
DeAndre Jordan ,31.4
Serge Ibaka ,30.5
Harrison Barnes ,29.7
Gary Harris ,29.4
Pau Gasol ,29.4
Otto Porter ,29.0
George Hill ,28.8
Dirk Nowitzki ,28.8
Danilo Gallinari ,28.5
Tim Hardaway Jr. ,27.6
Evan Fournier ,27.5
Tyreke Evans ,27.2
Willie Cauley-Stein ,26.9
Jordan Clarkson ,26.8
Zach Randolph ,25.9
Marvin Williams ,25.6
Seth Curry ,25.1
Michael Kidd-Gilchrist ,25.0
David Lee ,25.0
Cody Zeller ,24.8
Gorgui Dieng ,24.8
Aaron Gordon ,24.4
Wesley Matthews ,24.2
Jeremy Lamb ,24.2
Markieff Morris ,24.1
Ersan Ilyasova ,23.8
Darren Collison ,23.5
Jameer Nelson ,23.5
Rodney Hood ,23.5
Marcin Gortat ,23.3
Ivica Zubac ,23.2
Brandon Ingram ,23.0
Cory Joseph ,22.9
Frank Kaminsky ,22.8
Robin Lopez ,22.2
Jonas Valanciunas ,22.1
Kent Bazemore ,22.1
Patrick Mills ,21.9
Buddy Hield ,21.7
Kosta Koufos ,21.6
Malcolm Brogdon ,21.5
Terrence Ross ,21.3
Marco Belinelli ,20.5
Ty Lawson ,20.4
Bojan Bogdanovic ,20.2
Tony Allen ,20.0
Yogi Ferrell ,20.0
Mason Plumlee ,19.9
Will Barton ,19.7
Larry Nance Jr. ,19.6
J.J. Redick ,19.6
Danny Green ,19.6
Joe Johnson ,19.5
JaMychal Green ,19.4
Thabo Sefolosha ,19.4
Dewayne Dedmon ,19.3
DeMarre Carroll ,19.1
Austin Rivers ,18.5
Manu Ginobili ,18.2
Jamal Crawford ,18.1
Nemanja Bjelica ,17.9
Ian Mahinmi ,17.7
Tony Snell ,17.5
Shabazz Muhammad ,17.3
Garrett Temple ,17.3
Rajon Rondo ,17.0
Matthew Dellavedova ,16.7
P.J. Tucker ,16.6
Norman Powell ,16.3
Bobby Portis ,16.0
Cristiano Felicio ,15.9
Joe Ingles ,15.9
Jose Juan Barea ,15.7
Joffrey Lauvergne ,15.3
Marreese Speights ,15.3
John Henson ,15.3
Chandler Parsons ,15.0
Arron Afflalo ,14.9
Jamal Murray ,14.9
Vince Carter ,14.7
Devin Harris ,14.7
Bismack Biyombo ,14.6
Jeff Green ,14.5
Salah Mejri ,14.5
Raymond Felton ,14.4
Brandan Wright ,14.2
Jason Terry ,13.5
Davis Bertans ,13.4
Brandon Jennings ,13.4
Mario Hezonja ,13.3
Dwight Powell ,13.3
Patrick Patterson ,13.2
Tarik Black ,13.1
Taurean Prince ,12.2
Cameron Payne ,12.1
Brandon Rush ,11.9
Tyus Jones ,11.9
Skal Labissiere ,11.7
Tyler Ennis ,11.6
Alec Burks ,11.4
Delon Wright ,11.4
Brian Roberts ,11.3
Jonathon Simmons ,11.2
Jerian Grant ,11.1
Denzel Valentine ,11.1
Paul Zipser ,10.8
Kris Dunn ,10.7
C.J. Watson ,10.6
D.J. Augustin ,10.4
Anthony Tolliver ,10.2
James Ennis ,10.1
Boris Diaw ,9.4
Luc Mbah a Moute ,9.2
David Nwaba ,9.0
Dorian Finney-Smith ,9.0
Juan Hernangomez ,8.8
Corey Brewer ,8.3
Jeff Withey ,8.2
Bryn Forbes ,8.1
Jason Smith ,7.9
Mirza Teletovic ,7.8
Darrell Arthur ,7.8
Troy Daniels ,7.6
Andrew Harrison ,7.5
Kelly Oubre ,7.2
Dante Exum ,7.1
Trey Lyles ,7.1
Wesley Johnson ,6.6
Jose Calderon ,6.5
Brandon Bass ,6.3
Kyle Anderson ,6.1
Spencer Hawes ,5.9
Thon Maker ,5.8
Cole Aldrich ,5.7
Toney Douglas ,4.9
Mike Tobey ,4.8
Joel Anthony ,4.6
Quinn Cook ,4.2
Treveon Graham ,3.9
Lamar Patterson ,3.5
Thomas Robinson ,3.5
Adreian Payne ,3.3
Damjan Rudez ,2.6
Jakob Poeltl ,2.4
C.J. Wilcox ,2.4
Diamond Stone ,2.2
Terrence Jones ,2.2
Ben Bentil ,2.2
Joel Bolomboy ,2.2
Stephen Zimmerman Jr. ,2.2
Jordan Hill ,2.1
Kris Humphries ,2.1
Fred VanVleet ,2.1
Paul Pierce ,1.6
Mike Miller ,1.6
Daniel Ochefu ,1.5
Langston Galloway ,1.4
Malcolm Delaney ,1.3
Nick Young ,1.3
Ben McLemore ,1.1
Emmanuel Mudiay ,1.0
Lucas Nogueira ,0.9
Lance Stephenson ,0.8
Trey Burke ,0.8
Danuel House Jr. ,0.7
Mike Muscala ,0.7
Tomas Satoransky ,0.7
Roy Hibbert ,0.6
Michael Carter-Williams ,0.5
Raul Neto ,0.5
Christian Wood ,0.4
Pascal Siakam ,0.4
DeAndre Bembry ,0.4
Rashad Vaughn ,0.4
Alan Anderson ,0.4
Nerlens Noel ,0.0
Deyonta Davis ,0.0
A.J. Hammons ,0.0
Michael Beasley ,0.0
Johnny O'Bryant III ,0.0
Jarell Martin ,0.0
Miles Plumlee ,0.0
Nicolas Batum ,0.0
Tony Parker ,0.0
Anthony Morrow ,0.0
Ramon Sessions ,0.0
Nikola Mirotic ,0.0
Isaiah Canaan ,0.0
Luol Deng ,0.0
Kenneth Faried ,0.0
Brice Johnson ,0.0
Timofey Mozgov ,0.0
Metta World Peace ,0.0
