Stephen Curry,GSW,PG,35.52,3.80,5.50,5.22,7.06,2.06,0.20,2.81,27.67
Anthony Davis,NO,C,36.26,9.64,0.27,10.88,1.93,1.52,1.81,2.28,26.56
DeMar DeRozan,TOR,SG,35.35,8.56,0.23,4.56,3.99,1.51,0.17,2.41,26.16
Isaiah Thomas,BOS,PG,31.39,4.22,3.15,2.53,5.38,0.85,0.12,2.56,25.66
Bradley Beal,WAS,SG,36.41,5.88,3.49,3.69,3.96,1.29,0.29,2.43,25.55
Kevin Durant,GSW,SF,36.28,6.94,1.92,9.11,5.57,1.15,1.40,2.63,25.32
Blake Griffin,LAC,PF,34.72,9.36,0.06,9.09,4.68,1.09,0.47,2.61,24.87
John Wall,WAS,PG,36.64,8.20,1.18,5.25,10.77,2.35,0.68,4.17,24.52
Carmelo Anthony,NY,SF,37.41,6.87,1.90,7.09,3.83,0.79,0.36,2.41,23.75
LeBron James,CLE,SF,38.56,7.07,1.22,8.09,7.69,1.34,0.57,4.58,23.54
Karl-Anthony Towns,MIN,C,35.51,8.08,0.87,11.11,2.71,0.62,1.55,2.97,23.17
Marc Gasol,MEM,C,36.15,7.84,0.70,7.60,4.77,1.24,1.79,2.83,23.16
Kawhi Leonard,SA,SF,35.48,5.65,1.85,7.09,3.41,2.11,0.84,2.24,22.98
Kyrie Irving,CLE,PG,36.09,6.18,1.94,3.33,4.98,1.29,0.28,3.08,22.23
Brook Lopez,BKN,C,29.91,7.31,0.90,6.21,2.34,0.68,1.30,2.96,21.90
Dwyane Wade,CHI,SG,30.08,7.82,0.30,4.47,3.62,1.35,0.45,2.94,21.76
Klay Thompson,GSW,SG,33.82,4.47,3.31,4.24,2.02,0.87,0.48,1.54,21.75
Paul George,IND,SF,38.03,4.97,2.68,6.98,4.23,1.77,0.38,3.24,21.13
Andrew Wiggins,MIN,SG,35.70,6.19,1.02,3.71,2.22,0.78,0.41,2.63,20.81
Dennis Schroder,ATL,PG,31.67,6.40,1.40,3.48,7.13,0.88,0.18,3.49,20.69
LaMarcus Aldridge,SA,PF,35.21,7.93,0.05,8.98,2.19,0.85,1.13,1.62,20.69
Paul Millsap,ATL,PF,36.46,5.94,1.12,9.51,4.20,1.95,1.64,2.53,20.64
Mike Conley,MEM,PG,33.76,4.14,2.58,3.96,7.16,1.38,0.37,2.40,20.18
Hassan Whiteside,MIA,C,34.55,7.84,0.00,12.67,0.63,0.94,2.37,2.66,19.69
Gordon Hayward,UTA,SF,35.53,4.30,2.11,5.87,3.73,0.96,0.32,2.49,19.50
Devin Booker,PHX,SG,34.71,4.57,1.92,2.53,3.10,0.76,0.30,3.33,18.58
Jabari Parker,MIL,PF,33.32,6.13,0.60,6.20,2.49,1.01,0.37,1.99,17.84
Eric Bledsoe,PHX,PG,31.95,4.16,1.55,4.10,5.36,1.24,0.40,3.73,17.60
Kyle Lowry,TOR,PG,32.88,2.32,2.96,3.91,6.03,1.49,0.27,2.74,17.59
Wilson Chandler,DEN,SF,34.24,5.11,1.72,7.37,2.37,1.07,0.63,2.40,17.36
Giannis Antetokounmpo,MIL,SG,31.61,5.70,0.33,7.55,4.81,1.25,1.48,2.69,17.34
Al Horford,BOS,C,35.75,5.44,1.35,7.30,4.47,0.93,1.43,1.82,17.20
Nikola Jokic,DEN,C,32.45,6.64,0.43,9.82,4.39,1.29,0.97,2.75,17.12
Reggie Jackson,DET,PG,28.49,4.97,1.40,2.67,6.11,0.56,0.11,2.57,17.05
Myles Turner,IND,C,34.75,6.46,0.27,7.80,1.25,0.83,2.13,1.53,16.58
Goran Dragic,MIA,PG,31.02,4.96,1.30,3.43,5.53,1.03,0.16,3.16,16.57
Derrick Rose,NY,PG,31.23,6.40,0.25,3.58,4.35,0.67,0.20,2.51,16.48
George Hill,UTA,PG,29.18,4.80,1.53,6.08,3.43,0.93,0.42,1.83,16.35
Andre Drummond,DET,C,29.95,6.90,0.01,12.96,0.97,1.52,1.36,1.97,15.91
Jae Crowder,BOS,SF,36.54,2.36,2.84,5.81,2.20,1.50,0.44,1.23,15.77
JJ Redick,LAC,SG,30.04,2.34,2.94,2.32,1.38,0.71,0.11,1.21,15.73
Kristaps Porzingis,NY,PF,31.85,4.32,1.46,6.97,1.41,0.72,1.29,1.92,15.70
Jrue Holiday,NO,PG,32.25,4.32,1.42,3.46,6.99,1.57,0.41,2.87,15.23
Bojan Bogdanovic,BKN,SF,27.76,2.77,2.61,3.86,1.82,0.31,0.08,2.29,15.12
Kevin Love,CLE,PF,32.45,2.27,2.44,10.21,2.04,0.85,0.41,2.33,15.09
Marcin Gortat,WAS,C,35.52,6.45,0.00,12.03,1.74,0.79,1.32,1.78,14.99
Jahlil Okafor,PHI,PF,21.80,6.19,0.00,4.61,0.83,0.34,0.76,1.80,14.92
Darren Collison,SAC,PG,32.45,4.37,1.23,2.72,5.09,0.85,0.07,2.33,14.55
Jeff Teague,IND,PG,34.18,3.75,1.14,4.01,9.08,1.37,0.45,3.12,14.12
Austin Rivers,LAC,SF,35.02,3.19,1.76,3.05,3.46,0.97,0.21,1.76,13.92
TJ Warren,PHX,SF,31.43,5.49,0.42,3.92,1.05,0.96,0.40,1.06,13.92
Nick Young,LAL,SG,26.98,1.51,3.15,2.51,1.01,0.60,0.22,0.70,13.89
Kentavious Caldwell-Pope,DET,SG,33.34,2.57,2.21,3.56,2.71,1.30,0.26,1.36,13.71
Marcus Morris,DET,SF,35.28,3.11,1.88,5.12,2.87,0.66,0.36,1.54,13.65
Dwight Howard,ATL,C,33.06,5.07,0.00,13.21,1.58,1.05,1.51,2.45,13.35
Otto Porter Jr.,WAS,SF,36.08,2.54,2.30,7.63,2.05,1.72,0.74,0.94,13.32
Jonas Valanciunas,TOR,C,28.52,5.23,0.00,9.00,0.73,0.58,1.02,1.61,13.22
Tobias Harris,DET,SF,25.73,4.03,1.00,4.62,1.61,0.48,0.44,1.06,13.21
Kent Bazemore,ATL,SG,30.58,3.12,1.68,4.47,2.97,1.45,0.60,2.11,13.17
Ersan Ilyasova,PHI,PF,27.28,2.99,1.72,5.87,1.31,0.67,0.26,1.51,12.88
Julius Randle,LAL,PF,26.81,5.12,0.03,7.92,2.78,0.67,0.26,2.13,12.67
D'Angelo Russell,LAL,PG,25.83,3.06,1.60,3.16,4.26,0.98,0.20,2.46,12.65
Robert Covington,PHI,SF,33.76,1.43,2.73,6.71,1.63,1.45,0.70,2.47,12.61
CJ Miles,IND,SG,24.62,1.42,2.91,3.33,0.94,0.76,0.49,0.80,12.58
Robin Lopez,CHI,C,30.03,5.49,0.00,7.91,1.02,0.19,1.14,1.61,12.37
Lou Williams,LAL,PG,18.53,1.77,1.54,1.76,2.25,0.55,0.13,1.34,12.34
Kosta Koufos,SAC,C,24.52,5.38,0.00,6.91,0.77,0.46,0.80,1.31,12.03
Sean Kilpatrick,BKN,PG,24.47,2.63,1.73,3.74,2.22,0.56,0.08,2.30,11.98
Derrick Favors,UTA,PF,22.91,4.87,0.01,5.73,0.97,0.70,0.88,1.36,11.94
Will Barton,DEN,SG,25.73,2.90,1.38,4.51,2.87,0.84,0.46,2.04,11.91
Marreese Speights,LAC,C,16.53,2.58,1.23,4.66,0.97,0.36,0.50,0.88,11.65
Taj Gibson,CHI,PF,29.02,4.87,0.01,7.30,1.23,0.73,0.72,1.63,11.59
Arron Afflalo,SAC,SF,31.88,2.73,1.36,3.27,2.10,0.42,0.14,1.34,11.57
Greg Monroe,MIL,C,20.63,4.23,0.00,6.12,1.57,0.76,0.52,1.42,11.43
Jon Leuer,DET,PF,25.07,3.93,0.66,6.04,1.80,0.57,0.58,1.11,11.43
Tim Hardaway Jr.,ATL,PG,21.93,1.79,2.01,2.48,1.99,0.73,0.22,0.98,11.43
Gary Harris,DEN,SG,32.45,2.72,1.56,3.08,2.50,1.50,0.21,1.58,11.39
James Johnson,MIA,PF,29.87,3.07,1.17,4.66,3.39,1.07,1.03,2.68,11.25
Jordan Clarkson,LAL,PG,21.28,3.34,1.00,2.44,1.72,0.73,0.04,1.34,11.18
Al Jefferson,IND,C,16.35,4.75,0.00,4.56,1.04,0.35,0.42,0.54,11.16
Tyler Johnson,MIA,PG,25.17,2.91,1.12,3.12,2.78,0.96,0.50,1.33,11.15
Terrence Ross,TOR,SF,24.36,1.90,2.15,2.78,0.95,0.94,0.36,0.77,11.09
Chandler Parsons,MEM,SF,22.40,2.39,1.56,3.56,2.21,0.60,0.26,1.21,11.03
Tony Parker,SA,PG,26.81,4.30,0.17,2.42,5.01,0.74,0.12,1.90,10.98
Tony Allen,MEM,SG,29.16,4.29,0.11,5.72,1.46,1.87,0.52,1.93,10.94
Anthony Tolliver,SAC,SF,30.86,0.83,2.80,5.64,1.40,0.62,0.38,1.27,10.93
Matt Barnes,SAC,SG,30.21,2.00,1.89,6.51,3.16,0.66,0.56,2.46,10.87
Khris Middleton,MIL,SG,24.82,2.71,0.99,2.81,2.95,1.10,0.18,1.79,10.77
David Lee,SA,PF,22.40,4.34,0.00,6.74,1.90,0.61,0.59,1.45,10.70
Kelly Olynyk,BOS,PF,21.74,2.47,1.24,4.16,1.77,0.58,0.36,1.31,10.59
Georgios Papagiannis,SAC,C,12.69,4.39,0.04,3.35,0.50,0.22,0.29,1.83,10.54
Ivica Zubac,LAL,C,14.93,4.52,0.00,4.20,0.54,0.28,0.71,0.92,10.26
Jamal Crawford,LAC,SG,20.97,2.35,1.08,1.56,2.21,0.59,0.15,1.33,10.20
Wayne Ellington,MIA,PG,21.95,1.40,2.21,1.98,1.20,0.69,0.08,0.63,10.09
Michael Beasley,MIL,SF,16.19,3.78,0.12,3.62,0.87,0.40,0.42,1.16,10.07
Buddy Hield,NO,SG,22.74,1.40,2.15,3.31,1.56,0.36,0.14,1.00,9.83
Troy Daniels,MEM,PG,14.23,0.80,2.46,1.45,0.70,0.36,0.08,0.74,9.80
Jason Smith,WAS,C,17.50,4.33,0.05,4.09,0.78,0.47,1.09,0.91,9.79
Gorgui Dieng,MIN,PF,28.97,3.70,0.05,7.10,1.82,0.90,1.15,1.62,9.70
Marquese Chriss,PHX,PF,21.45,2.70,0.96,3.98,0.60,0.98,0.65,1.52,9.47
JaMychal Green,MEM,PF,27.02,2.98,0.44,7.09,1.53,0.82,0.72,1.52,9.44
Jamal Murray,DEN,PG,19.41,1.73,1.52,2.64,1.96,0.56,0.38,1.54,9.43
Jameer Nelson,DEN,PG,28.54,2.09,1.49,2.74,5.42,0.81,0.14,2.44,9.41
Terrence Jones,NO,PF,25.25,3.19,0.32,5.42,1.15,0.68,0.84,1.00,9.38
John Henson,MIL,C,21.99,3.81,0.00,5.23,1.20,0.48,1.69,1.41,9.33
Willie Cauley-Stein,SAC,PF,18.95,3.88,0.00,4.30,0.62,0.54,0.69,0.84,9.27
DeMarre Carroll,TOR,SF,28.07,1.45,1.70,3.99,1.00,1.41,0.27,1.05,9.05
Nerlens Noel,PHI,C,19.88,3.74,0.00,5.10,1.12,1.04,0.65,1.72,9.02
Trevor Booker,BKN,PF,23.98,3.80,0.14,7.89,2.14,1.09,0.41,2.12,8.95
Rudy Gobert,UTA,C,35.00,3.02,0.00,12.62,1.29,0.77,2.18,2.16,8.93
Doug McDermott,CHI,SF,20.95,2.02,1.22,2.46,0.87,0.21,0.08,0.76,8.84
Willie Reed,MIA,C,18.90,3.64,0.00,5.35,0.50,0.28,0.98,0.77,8.81
DeAndre Jordan,LAC,C,30.85,3.60,0.00,12.86,1.32,0.66,1.65,1.50,8.81
Jaylen Brown,BOS,SF,21.09,2.33,0.51,3.59,0.98,0.69,0.33,1.13,8.80
Shabazz Muhammad,MIN,SG,18.46,2.17,0.78,2.89,0.61,0.20,0.10,0.80,8.69
Brandan Wright,MEM,C,19.38,3.51,0.00,3.80,0.52,0.57,1.34,0.97,8.66
Darrell Arthur,DEN,PF,20.61,2.39,1.05,3.61,1.46,0.69,0.68,1.21,8.64
Dario Saric,PHI,SF,23.58,2.03,1.03,5.71,1.69,0.56,0.22,2.34,8.62
Malachi Richardson,SAC,SG,13.49,1.96,0.97,1.97,0.92,0.30,0.15,0.99,8.62
Nikola Mirotic,CHI,PF,19.42,1.08,1.74,4.10,0.90,0.60,0.42,1.22,8.43
Lance Stephenson,MIN,SG,20.49,2.84,0.35,3.00,2.25,0.36,0.15,1.62,8.38
Michael Carter-Williams,CHI,PG,21.72,3.20,0.15,3.99,3.08,0.88,0.36,2.30,8.34
Nik Stauskas,PHI,SG,28.96,1.32,1.50,2.86,2.46,0.53,0.31,1.84,8.31
Tarik Black,LAL,C,19.18,3.46,0.00,5.73,0.70,0.48,0.47,1.03,8.21
Jusuf Nurkic,DEN,C,18.03,3.39,0.00,5.23,1.30,0.64,0.99,2.19,8.19
Luol Deng,LAL,SF,27.17,2.32,0.77,5.42,1.61,0.72,0.29,1.03,8.18
Draymond Green,GSW,PF,31.60,2.15,0.60,8.17,7.06,1.71,1.27,2.36,8.17
Guillermo Hernangomez,NY,C,22.21,3.45,0.03,8.57,1.93,0.43,0.59,1.81,8.13
Courtney Lee,NY,SG,31.44,1.77,1.26,3.28,2.16,0.84,0.27,0.88,8.04
Joe Harris,BKN,SG,18.97,1.10,1.81,2.69,1.12,0.50,0.08,1.09,8.04
Kyle Korver,CLE,SG,25.23,0.80,1.97,2.69,1.77,0.51,0.33,1.10,7.96
Danny Green,SA,SG,28.07,0.78,1.91,3.88,1.92,1.40,0.93,1.14,7.87
Caris Levert,BKN,SG,20.90,1.49,1.34,3.17,2.20,1.02,0.14,1.47,7.80
Kyle O'Quinn,NY,PF,16.35,3.43,0.02,5.42,1.40,0.33,0.80,1.21,7.76
Kelly Oubre Jr.,WAS,SF,25.91,1.45,1.15,5.28,0.91,1.16,0.36,1.13,7.75
Mike Muscala,ATL,PF,19.80,2.55,0.53,4.20,1.53,0.52,0.85,0.90,7.71
Justin Hamilton,BKN,PF,18.19,2.11,1.04,4.54,0.90,0.43,0.66,0.90,7.70
Patty Mills,SA,PG,16.59,1.08,1.45,1.79,2.57,0.61,0.03,1.07,7.63
Jordan Hill,MIN,PF,15.31,2.76,0.44,3.72,1.43,0.32,0.13,1.73,7.58
Raymond Felton,LAC,PG,22.79,2.40,0.52,3.03,3.11,0.79,0.28,1.22,7.57
Brandon Knight,PHX,PG,13.90,1.80,0.86,1.37,1.59,0.37,0.08,1.43,7.50
Norman Powell,TOR,SG,20.43,1.88,0.72,2.61,1.22,0.86,0.26,1.08,7.49
TJ McConnell,PHI,PG,29.15,3.31,0.11,3.57,7.11,1.36,0.09,2.73,7.46
James Ennis III,MEM,SG,23.75,1.11,1.26,4.21,1.40,0.95,0.40,1.51,7.40
Shaun Livingston,GSW,PG,18.15,3.01,0.00,2.52,2.59,0.81,0.33,1.02,7.35
Mike Dunleavy,ATL,SF,18.42,0.99,1.50,2.57,1.32,0.37,0.20,0.82,7.25
Brandon Ingram,LAL,SF,29.73,2.19,0.53,4.47,2.15,0.39,0.38,1.42,7.20
Luke Babbitt,MIA,SF,18.63,1.09,1.46,2.71,0.90,0.33,0.17,0.58,7.14
