G. Hayward,SF,Jazz,false,31,5,12,2,5,1,1,0,5,3,0,0,2,2,-4,13,false
B. Diaw,C,Jazz,false,21,3,9,0,2,0,0,2,3,5,1,0,0,4,-19,6,false
R. Gobert,C,Jazz,false,36,10,13,0,0,6,10,7,7,1,0,2,4,2,-13,26,false
G. Hill,PG,Jazz,false,32,4,11,1,3,0,0,0,1,1,0,0,4,2,-29,9,false
R. Hood,SG,Jazz,false,23,4,13,1,4,0,0,0,4,0,2,0,0,1,-16,9,false
T. Lyles,PF,Jazz,false,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,true
J. Johnson,SF,Jazz,false,26,6,13,3,7,2,2,0,3,2,0,0,0,3,-5,17,true
J. Ingles,SF,Jazz,false,27,0,5,0,3,1,2,1,2,5,1,0,2,4,-2,1,true
J. Withey,C,Jazz,false,11,0,1,0,0,0,0,2,2,0,0,1,1,1,4,0,true
D. Exum,PG,Jazz,false,3,2,2,1,1,0,0,0,0,1,0,0,0,0,7,5,true
R. Neto,PG,Jazz,false,16,2,4,0,0,2,2,0,3,4,1,0,0,3,16,6,true
A. Burks,SG,Jazz,false,13,1,3,0,1,1,1,0,1,0,0,0,1,0,-11,3,true
L. Mbah a Moute,PF,Clippers,true,26,1,2,0,0,2,2,0,3,0,2,1,1,0,7,4,false
B. Griffin,PF,Clippers,true,33,6,16,1,5,2,2,0,6,1,3,0,0,2,2,15,false
D. Jordan,C,Clippers,true,26,3,5,0,0,1,3,6,9,1,0,1,0,4,9,7,false
C. Paul,PG,Clippers,true,29,5,18,0,8,4,4,1,2,5,1,0,3,0,4,14,false
J. Redick,SG,Clippers,true,23,4,11,2,4,2,3,1,3,1,0,0,1,0,3,12,false
P. Pierce,SF,Clippers,true,15,1,2,0,0,2,2,0,2,0,1,0,0,3,11,4,true
M. Speights,C,Clippers,true,22,4,7,1,3,2,2,4,6,2,0,3,3,5,4,11,true
A. Rivers,PG,Clippers,true,25,5,10,0,1,1,1,0,1,1,0,0,1,1,8,11,true
R. Felton,PG,Clippers,true,17,1,2,0,0,0,0,0,2,0,0,0,1,0,7,2,true
J. Crawford,SG,Clippers,true,25,8,12,3,6,9,9,0,2,3,2,0,0,2,10,28,true
M. Morris,PF,Wizards,false,36,5,12,0,1,4,6,1,5,0,0,1,1,4,6,14,false
O. Porter Jr.,SF,Wizards,false,33,4,7,2,4,0,0,2,4,1,3,2,1,3,9,10,false
M. Gortat,C,Wizards,false,23,5,8,0,0,0,0,1,4,1,0,0,2,2,4,10,false
J. Wall,PG,Wizards,false,37,14,21,2,2,7,8,1,3,11,2,1,3,2,12,37,false
B. Beal,SG,Wizards,false,43,9,19,2,6,7,7,0,4,6,0,0,2,1,13,27,false
D. Ochefu,PF,Wizards,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,true
J. Smith,PF,Wizards,false,16,4,4,2,2,0,0,2,4,0,0,0,1,4,4,10,true
