James Harden,61.0,55.8,43.3,68.3,56.9,56.9
Karl-Anthony Towns,44.6,45.8,35.5,56.0,50.9,50.9
LeBron James,45.4,50.1,40.2,60.0,50.0,50.0
Damian Lillard,46.6,43.0,33.7,52.4,46.0,46.0
Jimmy Butler,54.3,42.6,29.2,56.1,44.2,44.2
Ricky Rubio,35.6,30.8,20.4,41.2,40.6,40.6
Andre Drummond,32.3,36.5,26.1,47.0,39.8,39.8
C.J. McCollum,32.4,35.6,25.0,46.2,39.4,39.4
Kyrie Irving,41.1,39.8,29.4,50.1,39.0,39.0
Kevin Love,30.8,37.9,27.9,48.0,36.6,36.6
Andrew Wiggins,32.1,32.9,22.3,43.6,36.0,36.0
Chris Paul,38.9,40.4,30.0,50.9,35.8,35.8
D'Angelo Russell,39.3,29.4,17.3,41.4,35.7,35.7
Jusuf Nurkic,37.5,23.0,8.3,37.7,34.5,34.5
Blake Griffin,33.3,39.4,29.4,49.5,33.4,33.4
Brook Lopez,35.9,34.7,25.4,43.9,32.9,32.9
Jeremy Lin,28.6,27.3,19.0,35.5,32.3,32.3
Ish Smith,26.7,20.8,11.8,29.8,32.1,32.1
DeAndre Jordan,37.3,33.8,24.4,43.2,32.1,32.1
Tyler Ulis,28.1,12.8,0.3,25.2,30.7,30.7
Rajon Rondo,28.7,25.2,14.6,35.8,30.5,30.5
Gorgui Dieng,28.3,25.8,18.0,33.6,30.4,30.4
Devin Booker,40.3,30.9,19.5,42.4,30.3,30.3
Tobias Harris,26.6,27.4,18.7,36.1,30.0,30.0
Jordan Clarkson,29.6,23.6,14.9,32.3,30.0,30.0
Julius Randle,29.6,29.6,18.9,40.3,29.2,29.2
Lou Williams,21.4,26.9,15.6,38.2,29.0,29.0
Trevor Ariza,29.6,26.4,18.5,34.3,28.4,28.4
Clint Capela,29.8,26.1,19.2,33.1,27.8,27.8
T.J. Warren,35.8,25.3,13.9,36.6,27.5,27.5
Marcus Morris,20.9,24.8,15.0,34.6,27.4,27.4
Alan Williams,22.9,16.6,2.1,31.2,26.0,26.0
Eric Gordon,22.7,25.9,18.2,33.6,25.5,25.5
Nikola Mirotic,26.3,20.5,10.3,30.8,24.8,24.8
Kentavious Caldwell-Pope,19.6,24.9,13.5,36.3,24.4,24.4
Patrick Beverley,17.9,25.9,18.0,33.8,22.9,22.9
Robin Lopez,25.0,21.9,14.0,29.8,22.7,22.7
Ivica Zubac,22.2,15.7,4.2,27.2,22.7,22.7
J.J. Redick,22.3,21.3,13.2,29.4,22.3,22.3
Jamal Crawford,22.7,19.6,10.2,28.9,21.8,21.8
Denzel Valentine,18.5,16.5,8.0,25.1,21.6,21.6
Al-Farouq Aminu,22.3,22.4,14.6,30.1,21.6,21.6
Tristan Thompson,19.0,23.3,15.0,31.7,21.3,21.3
Trevor Booker,15.0,24.5,16.3,32.6,21.1,21.1
Larry Nance,20.6,19.0,10.6,27.4,20.7,20.7
Marquese Chriss,23.0,17.2,8.0,26.4,20.7,20.7
Rondae Hollis-Jefferson,27.6,20.1,11.8,28.3,20.7,20.7
Noah Vonleh,17.6,11.0,4.4,17.5,20.0,20.0
Nene Hilario,21.1,17.4,10.8,24.0,20.0,20.0
Moe Harkless,12.0,20.8,12.5,29.2,19.4,19.4
Jon Leuer,18.7,21.3,13.7,29.0,18.9,18.9
Evan Turner,9.3,19.2,11.5,26.9,18.8,18.8
Kris Dunn,21.2,11.8,3.2,20.4,18.8,18.8
Alex Len,25.1,18.6,10.3,27.0,18.7,18.7
Allen Crabbe,20.8,17.5,9.5,25.5,18.3,18.3
Bobby Portis,21.4,12.6,3.9,21.3,17.9,17.9
Caris LeVert,15.0,15.9,8.0,23.9,17.8,17.8
Tyler Ennis,13.9,6.1,-0.2,12.4,17.7,17.7
J.R. Smith,12.3,16.3,9.4,23.1,17.3,17.3
Paul Zipser,18.9,10.4,2.7,18.2,17.0,17.0
Stanley Johnson,8.1,10.9,3.8,18.0,16.7,16.7
Isaiah Whitehead,18.1,15.6,9.4,21.7,16.6,16.6
Channing Frye,11.9,16.7,8.5,25.0,16.5,16.5
Marreese Speights,17.4,17.0,9.0,25.1,16.3,16.3
Raymond Felton,6.4,15.3,5.9,24.7,15.9,15.9
Aron Baynes,13.9,11.7,4.6,18.7,15.7,15.7
Shabazz Muhammad,14.8,14.4,6.5,22.4,15.6,15.6
Iman Shumpert,14.9,15.7,9.1,22.4,14.7,14.7
K.J. McDaniels,19.1,6.9,-0.2,14.0,14.2,14.2
Sam Dekker,10.7,14.5,7.0,21.9,14.2,14.2
David Nwaba,15.6,10.3,3.7,17.0,14.1,14.1
Spencer Dinwiddie,19.9,16.9,8.4,25.5,14.0,14.0
Beno Udrih,7.1,11.2,4.1,18.3,14.0,14.0
Deron Williams,11.9,23.3,13.4,33.2,13.5,13.5
Michael Carter-Williams,16.2,16.9,7.6,26.2,13.3,13.3
Sean Kilpatrick,28.9,22.0,11.3,32.8,13.2,13.2
Tarik Black,8.2,13.8,7.3,20.3,13.2,13.2
Tyus Jones,14.6,9.9,1.6,18.1,12.5,12.5
Jared Dudley,23.1,15.7,8.3,23.2,12.5,12.5
Cristiano Felicio,8.2,12.7,6.5,18.8,12.3,12.3
Luc Mbah a Moute,8.0,11.8,5.3,18.2,11.1,11.1
Justin Hamilton,12.8,15.7,7.7,23.7,10.9,10.9
Corey Brewer,14.2,9.8,4.3,15.3,10.6,10.6
Leandro Barbosa,14.0,10.7,3.4,18.0,9.9,9.9
Brandon Rush,8.2,9.8,2.4,17.3,9.6,9.6
James Jones,4.2,4.8,-0.8,10.4,8.8,8.8
Derrick Jones Jr.,10.4,7.5,2.5,12.5,8.8,8.8
Randy Foye,9.9,12.0,5.4,18.6,8.1,8.1
Ronnie Price,6.0,4.9,-0.6,10.5,7.3,7.3
Paul Pierce,5.1,6.7,2.5,11.0,6.9,6.9
Joffrey Lauvergne,11.5,11.6,3.4,19.8,6.8,6.8
Alan Anderson,4.5,4.8,0.2,9.3,6.3,6.3
Omri Casspi,6.3,11.8,4.7,18.8,4.3,4.3
Meyers Leonard,7.2,11.5,3.6,19.3,3.9,3.9
Isaiah Canaan,0.4,8.7,1.3,16.1,0.0,0.0
Cole Aldrich,3.6,6.7,0.4,13.1,0.0,0.0
Dwyane Wade,23.7,32.8,23.0,42.6,0.0,0.0
Luol Deng,9.1,18.2,9.3,27.1,0.0,0.0
Metta World Peace,2.5,2.6,-0.8,6.0,0.0,0.0
Michael Gbinije,1.2,1.2,0.1,2.2,0.0,0.0
Darrun Hilliard,2.1,5.0,0.3,9.8,0.0,0.0
Larry Sanders,0.0,0.0,0.0,0.0,0.0,0.0
Archie Goodwin,13.9,11.1,3.2,18.9,0.0,0.0
Henry Ellenson,3.4,2.5,-0.2,5.2,0.0,0.0
Andrew Nicholson,7.6,5.7,-0.1,11.5,0.0,0.0
Bobby Brown,2.9,1.9,-1.3,5.1,0.0,0.0
Montrezl Harrell,11.6,16.5,6.5,26.5,0.0,0.0
Eric Bledsoe,33.7,38.0,26.5,49.4,0.0,0.0
Troy Williams,6.8,10.1,1.1,19.0,0.0,0.0
Isaiah Taylor,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Wiltjer,3.7,2.8,-1.0,6.7,0.0,0.0
Brandon Knight,15.1,17.8,8.9,26.6,0.0,0.0
Cameron Payne,12.8,11.0,4.7,17.3,0.0,0.0
Ed Davis,15.2,12.6,5.4,19.8,0.0,0.0
Ryan Anderson,17.9,23.0,13.2,32.8,0.0,0.0
Jordan Hill,3.8,4.1,-0.6,8.8,0.0,0.0
Jake Layman,1.4,3.6,-1.6,8.7,0.0,0.0
Festus Ezeli,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Morrow,4.5,8.4,2.3,14.5,0.0,0.0
Nikola Pekovic,0.0,0.0,0.0,0.0,0.0,0.0
Kay Felder,5.5,7.9,0.8,14.9,0.0,0.0
DeAndre Liggins,3.3,7.4,0.6,14.2,0.0,0.0
Shabazz Napier,2.1,7.2,0.5,13.9,0.0,0.0
Jarell Eddie,7.1,7.1,0.6,13.5,0.0,0.0
Boban Marjanovic,8.6,8.7,0.5,17.0,0.0,0.0
Tim Quarterman,2.0,3.2,0.9,5.5,0.0,0.0
Brandon Bass,11.5,9.6,3.6,15.7,0.0,0.0
Brandon Ingram,25.5,18.3,10.7,25.9,0.0,0.0
Reggie Bullock,5.1,7.8,1.0,14.5,0.0,0.0
Quincy Acy,13.5,12.1,3.9,20.2,0.0,0.0
Adreian Payne,3.9,7.4,1.3,13.5,0.0,0.0
Jerian Grant,10.7,11.3,3.4,19.3,0.0,0.0
Nemanja Bjelica,19.7,13.9,4.3,23.5,0.0,0.0
Nick Young,15.7,20.2,11.3,29.1,0.0,0.0
Austin Rivers,20.5,19.8,10.7,28.9,0.0,0.0
Timofey Mozgov,12.5,15.0,7.5,22.4,0.0,0.0
Diamond Stone,3.4,2.5,-1.6,6.5,0.0,0.0
Dragan Bender,7.6,7.5,-0.1,15.2,0.0,0.0
Kyle Korver,13.4,18.3,9.9,26.7,0.0,0.0
Thomas Robinson,8.7,11.0,2.5,19.5,0.0,0.0
Richard Jefferson,11.8,11.3,5.4,17.2,0.0,0.0
Wesley Johnson,3.3,8.3,1.8,14.7,0.0,0.0
Pat Connaughton,2.5,3.8,-0.1,7.8,0.0,0.0
Derrick Williams,6.0,11.6,5.2,18.1,0.0,0.0
Chinanu Onuaku,6.5,6.5,-2.7,15.8,0.0,0.0
Joe Harris,14.3,15.0,8.0,22.1,0.0,0.0
Brice Johnson,5.0,5.0,-0.1,10.2,0.0,0.0
Zach LaVine,28.0,29.7,20.0,39.4,0.0,0.0
Reggie Jackson,19.1,24.9,15.5,34.3,0.0,0.0
Tyson Chandler,23.5,24.6,15.5,33.7,0.0,0.0
