Russell Westbrook,57.7,59.6,49.0,70.2,57.6,57.6
LeBron James,52.2,49.1,39.5,58.7,55.0,55.0
Kevin Durant,44.5,48.4,39.6,57.2,48.9,48.9
Anthony Davis,49.1,53.3,38.1,68.5,48.8,48.8
Isaiah Thomas,53.2,43.3,33.7,52.8,48.5,48.5
Kyle Lowry,47.8,42.5,33.5,51.6,46.9,46.9
Karl-Anthony Towns,52.9,44.8,34.1,55.4,45.5,45.5
Andre Drummond,46.5,37.5,26.4,48.7,43.6,43.6
Jimmy Butler,39.5,42.7,28.1,57.2,43.2,43.2
Kyrie Irving,45.2,38.5,27.5,49.5,42.6,42.6
Stephen Curry,46.5,42.2,33.5,50.8,42.5,42.5
Carmelo Anthony,39.2,38.0,27.4,48.6,42.4,42.4
Marc Gasol,45.3,38.9,28.9,48.8,41.8,41.8
Eric Bledsoe,44.4,38.5,26.7,50.3,39.2,39.2
Mike Conley,37.8,35.7,24.8,46.5,38.8,38.8
Giannis Antetokounmpo,43.3,47.9,38.1,57.7,38.5,38.5
Paul George,42.4,37.8,30.4,45.2,38.4,38.4
Jeff Teague,38.9,35.1,24.4,45.8,38.4,38.4
Draymond Green,25.7,36.4,27.9,44.9,38.1,38.1
Paul Millsap,32.6,36.2,25.8,46.7,37.7,37.7
Brook Lopez,33.5,33.5,23.5,43.5,37.6,37.6
Kemba Walker,42.0,38.9,29.8,48.0,37.5,37.5
Blake Griffin,37.1,39.4,30.7,48.2,37.2,37.2
Nikola Vucevic,34.4,32.7,22.5,42.8,36.9,36.9
Jrue Holiday,48.2,33.0,23.1,42.8,36.6,36.6
Al Horford,35.7,35.3,26.4,44.1,36.1,36.1
Rudy Gobert,30.6,34.5,25.7,43.2,35.9,35.9
Gordon Hayward,27.8,35.8,26.7,44.9,35.7,35.7
Myles Turner,33.9,31.4,21.9,41.0,35.4,35.4
DeAndre Jordan,35.1,33.7,24.5,43.0,34.8,34.8
Dwight Howard,34.6,34.2,24.2,44.2,34.3,34.3
Nicolas Batum,32.4,34.9,26.6,43.1,33.4,33.4
George Hill,29.9,31.2,22.2,40.2,32.6,32.6
Goran Dragic,39.2,35.6,26.6,44.7,32.6,32.6
Hassan Whiteside,29.0,38.4,25.8,50.9,31.9,31.9
Devin Booker,31.6,29.9,20.9,38.8,31.7,31.7
Kristaps Porzingis,22.9,33.6,22.4,44.9,31.6,31.6
Harrison Barnes,33.1,30.8,22.7,38.9,31.5,31.5
Andrew Wiggins,37.6,32.3,21.2,43.3,31.5,31.5
Klay Thompson,31.3,30.7,21.2,40.3,31.5,31.5
Zach Randolph,31.5,27.7,20.9,34.5,31.5,31.5
Serge Ibaka,24.4,29.2,19.8,38.6,31.4,31.4
Reggie Jackson,32.8,28.1,18.9,37.3,31.3,31.3
Dwyane Wade,41.7,33.1,23.5,42.7,30.7,30.7
Zach LaVine,24.4,30.0,20.2,39.8,30.5,30.5
Dennis Schroder,34.2,30.2,20.3,40.1,30.2,30.2
Brandon Jennings,26.6,19.8,9.8,29.7,30.1,30.1
Jabari Parker,33.2,33.8,23.8,43.8,29.9,29.9
Dion Waiters,37.4,28.0,16.8,39.2,29.6,29.6
James Johnson,28.9,24.9,15.5,34.3,29.5,29.5
Kentavious Caldwell-Pope,29.3,26.2,15.5,36.9,29.3,29.3
Ersan Ilyasova,24.6,26.1,16.6,35.7,29.3,29.3
Danilo Gallinari,30.3,28.4,21.5,35.3,28.9,28.9
Marcus Morris,27.7,23.8,14.8,32.9,27.8,27.8
Steven Adams,28.7,26.3,18.6,34.1,27.8,27.8
Wilson Chandler,29.0,28.8,17.3,40.3,27.8,27.8
Ricky Rubio,37.3,27.5,17.5,37.4,27.6,27.6
Jae Crowder,36.6,26.9,19.3,34.6,27.6,27.6
Elfrid Payton,31.9,27.9,15.8,40.0,27.3,27.3
Victor Oladipo,30.3,28.4,20.0,36.8,27.2,27.2
Seth Curry,29.6,21.3,12.9,29.6,27.1,27.1
Wesley Matthews,28.0,25.7,17.6,33.7,26.7,26.7
Norman Powell,25.6,12.2,1.5,22.9,26.6,26.6
Austin Rivers,28.6,19.4,9.6,29.2,26.6,26.6
