James Harden,46.1,55.3,43.0,67.6,54.4,54.4
John Wall,54.4,46.9,37.5,56.4,52.3,52.3
Kawhi Leonard,53.4,42.9,32.2,53.6,51.1,51.1
LeBron James,62.4,51.8,41.0,62.5,51.0,51.0
Isaiah Thomas,44.5,42.4,33.0,51.8,47.0,47.0
Kyle Lowry,33.7,40.1,30.2,50.0,44.2,44.2
DeMar DeRozan,34.8,38.9,27.7,50.1,43.9,43.9
Kevin Durant,44.1,46.9,38.0,55.9,42.9,42.9
Gordon Hayward,42.2,36.3,26.7,45.9,40.4,40.4
Bradley Beal,34.7,34.8,25.2,44.4,39.8,39.8
Stephen Curry,48.1,43.9,33.8,54.1,39.4,39.4
LaMarcus Aldridge,23.7,31.0,22.6,39.5,38.5,38.5
Rudy Gobert,35.8,36.0,26.5,45.6,37.7,37.7
Kevin Love,30.0,37.1,27.1,47.0,36.4,36.4
Kyrie Irving,37.0,39.6,29.3,50.0,36.2,36.2
Al Horford,37.3,33.3,24.2,42.5,35.8,35.8
Serge Ibaka,28.4,28.5,19.0,38.0,31.8,31.8
Pau Gasol,18.6,26.6,17.3,35.9,31.7,31.7
Otto Porter,32.3,28.1,17.7,38.5,31.3,31.3
Draymond Green,43.8,36.4,26.0,46.7,30.5,30.5
Klay Thompson,26.2,32.2,22.2,42.3,29.8,29.8
Avery Bradley,30.0,29.4,20.3,38.6,28.8,28.8
Jae Crowder,29.7,27.1,19.7,34.5,28.7,28.7
Marcin Gortat,29.3,27.0,18.7,35.4,28.1,28.1
Jonas Valanciunas,18.5,25.5,17.0,34.0,27.9,27.9
Tristan Thompson,25.2,23.3,15.2,31.4,26.8,26.8
Patty Mills,15.4,17.9,9.7,26.1,25.9,25.9
Trevor Ariza,20.4,25.6,17.1,34.1,25.7,25.7
Norman Powell,23.0,14.3,3.9,24.6,25.6,25.6
Clint Capela,23.7,26.3,19.1,33.6,25.5,25.5
George Hill,24.1,29.0,19.3,38.7,25.1,25.1
Marcus Smart,22.9,24.8,16.9,32.6,24.9,24.9
Ryan Anderson,22.0,22.8,13.1,32.6,24.6,24.6
Patrick Beverley,20.7,26.2,17.7,34.7,22.4,22.4
Danny Green,12.6,17.3,11.1,23.5,21.5,21.5
Rodney Hood,16.7,20.9,11.6,30.3,20.9,20.9
Markieff Morris,23.7,26.5,17.1,35.8,20.6,20.6
Andre Iguodala,24.1,20.4,12.7,28.1,20.5,20.5
Lou Williams,23.0,26.2,15.3,37.2,20.2,20.2
Joe Johnson,20.5,17.8,8.9,26.6,20.1,20.1
Manu Ginobili,12.4,16.2,8.7,23.7,19.9,19.9
Eric Gordon,24.9,25.5,17.6,33.3,19.7,19.7
Cory Joseph,15.1,18.7,10.1,27.3,19.1,19.1
Bojan Bogdanovic,22.7,20.6,12.2,29.0,19.0,19.0
Nene Hilario,20.8,18.0,11.0,25.0,17.1,17.1
J.R. Smith,12.8,16.8,9.5,24.2,16.8,16.8
Kelly Olynyk,14.4,18.9,10.1,27.6,16.0,16.0
Patrick Patterson,12.1,16.2,9.4,23.0,14.7,14.7
Joe Ingles,14.8,17.9,9.1,26.6,14.4,14.4
P.J. Tucker,12.1,18.6,10.0,27.2,14.4,14.4
David Lee,15.7,16.8,8.9,24.7,13.2,13.2
Jonathon Simmons,6.4,12.3,5.3,19.3,13.0,13.0
David West,19.4,13.9,8.0,19.8,12.4,12.4
Iman Shumpert,10.9,15.0,8.3,21.6,11.9,11.9
Shelvin Mack,10.2,14.7,5.9,23.5,11.8,11.8
Dejounte Murray,4.1,6.2,-1.0,13.4,11.6,11.6
Kyle Korver,10.7,17.3,8.7,25.9,11.5,11.5
Brandon Jennings,4.4,17.2,6.5,27.8,11.4,11.4
Derrick Favors,17.3,20.8,11.8,29.7,10.6,10.6
Deron Williams,14.6,21.2,10.1,32.2,10.4,10.4
Gerald Green,12.8,9.6,2.2,16.9,10.1,10.1
JaVale McGee,14.6,12.2,4.5,19.9,10.0,10.0
Channing Frye,17.0,17.0,8.7,25.3,9.9,9.9
Zaza Pachulia,13.0,16.9,9.3,24.6,9.5,9.5
Terry Rozier,16.8,13.6,6.5,20.7,8.8,8.8
Jason Smith,7.6,11.8,3.7,19.8,8.7,8.7
Jaylen Brown,7.1,11.4,3.5,19.4,8.3,8.3
Shaun Livingston,10.8,11.0,6.0,16.0,8.3,8.3
Ian Mahinmi,17.2,15.1,5.9,24.3,7.8,7.8
Dante Exum,7.3,11.1,4.4,17.7,7.1,7.1
Ian Clark,10.9,11.6,3.6,19.5,6.9,6.9
Trey Burke,8.5,8.5,1.2,15.8,6.8,6.8
Boris Diaw,12.6,11.0,4.5,17.5,6.7,6.7
Amir Johnson,12.0,16.6,8.2,25.0,4.0,4.0
Chris McCullough,3.0,4.3,-1.4,10.0,0.0,0.0
Lucas Nogueira,3.5,14.2,5.1,23.3,0.0,0.0
Matt Barnes,18.4,18.6,9.6,27.5,0.0,0.0
Dewayne Dedmon,9.0,15.3,6.9,23.6,0.0,0.0
Joel Anthony,5.6,4.1,-1.3,9.6,0.0,0.0
DeMarre Carroll,12.6,17.5,8.9,26.1,0.0,0.0
Tony Parker,29.0,19.7,11.1,28.2,0.0,0.0
Jordan Mickey,1.7,3.9,0.3,7.5,0.0,0.0
Fred VanVleet,3.1,6.0,-0.7,12.8,0.0,0.0
Alec Burks,9.1,12.1,5.0,19.2,0.0,0.0
Pascal Siakam,6.5,10.4,4.0,16.8,0.0,0.0
Kyle Wiltjer,3.5,2.4,-1.2,6.1,0.0,0.0
James Michael McAdoo,3.3,6.6,-0.1,13.2,0.0,0.0
Kay Felder,8.1,7.8,0.8,14.7,0.0,0.0
Kevon Looney,4.1,7.0,1.5,12.6,0.0,0.0
Chinanu Onuaku,6.9,6.9,2.1,11.7,0.0,0.0
Damian Jones,7.5,4.9,0.4,9.4,0.0,0.0
Walter Tavares,16.4,16.4,-2.2,34.9,0.0,0.0
Patrick McCaw,11.4,8.5,1.0,16.0,0.0,0.0
Sheldon McClellan,6.9,5.4,-0.8,11.7,0.0,0.0
Jakob Poeltl,5.3,7.6,1.3,13.9,0.0,0.0
Jeff Withey,4.5,7.3,1.7,12.8,0.0,0.0
Delon Wright,5.2,11.6,3.2,20.1,0.0,0.0
Bobby Brown,9.5,4.0,-3.1,11.0,0.0,0.0
Bruno Caboclo,4.4,4.1,-2.2,10.4,0.0,0.0
Raul Neto,4.7,5.6,0.3,10.9,0.0,0.0
Richard Jefferson,8.3,10.7,4.7,16.7,0.0,0.0
Davis Bertans,5.1,8.4,0.5,16.4,0.0,0.0
James Young,2.0,4.2,-1.2,9.6,0.0,0.0
Troy Williams,5.8,10.6,0.6,20.5,0.0,0.0
Isaiah Taylor,3.3,3.3,-0.2,6.8,0.0,0.0
Trey Lyles,5.7,12.3,4.2,20.3,0.0,0.0
Montrezl Harrell,9.8,16.0,5.9,26.0,0.0,0.0
Dahntay Jones,3.2,3.2,-2.6,9.0,0.0,0.0
Daniel Ochefu,3.1,2.4,-1.2,6.1,0.0,0.0
James Jones,4.8,4.7,-1.2,10.6,0.0,0.0
Bryn Forbes,12.9,4.4,-2.8,11.6,0.0,0.0
Jonas Jerebko,8.2,10.4,4.5,16.2,0.0,0.0
Kyle Anderson,7.8,10.2,1.1,19.3,0.0,0.0
Tyler Zeller,5.1,8.1,0.7,15.5,0.0,0.0
Kelly Oubre Jr.,14.1,13.2,5.1,21.3,0.0,0.0
Derrick Williams,5.1,10.5,3.4,17.5,0.0,0.0
Tomas Satoransky,1.7,6.8,0.3,13.2,0.0,0.0
Demetrius Jackson,4.0,4.0,-2.4,10.3,0.0,0.0
Sam Dekker,10.1,14.2,6.8,21.7,0.0,0.0
Joel Bolomboy,7.0,4.3,0.5,8.1,0.0,0.0
James Harden,45.9,55.3,43.1,67.6,55.9,55.9
John Wall,54.4,46.9,37.5,56.4,52.3,52.3
Kawhi Leonard,49.4,43.0,32.3,53.6,51.8,51.8
LeBron James,61.9,51.8,41.1,62.5,51.0,51.0
Isaiah Thomas,44.5,42.4,33.0,51.8,47.0,47.0
DeMar DeRozan,33.8,39.2,28.1,50.3,45.0,45.0
Bradley Beal,34.7,34.8,25.2,44.4,39.8,39.8
LaMarcus Aldridge,28.6,31.2,22.7,39.7,38.5,38.5
Kevin Love,26.7,37.0,27.0,46.9,36.4,36.4
Kyrie Irving,34.0,39.5,29.2,49.8,36.2,36.2
Al Horford,37.3,33.3,24.2,42.5,35.8,35.8
Pau Gasol,20.5,26.6,17.4,35.9,33.8,33.8
Jonas Valanciunas,20.8,25.5,17.1,33.9,32.8,32.8
Serge Ibaka,26.1,28.4,18.9,37.9,32.7,32.7
Clint Capela,29.7,26.6,19.0,34.1,31.4,31.4
Otto Porter,32.3,28.1,17.7,38.5,31.3,31.3
Trevor Ariza,23.6,25.7,17.2,34.2,29.9,29.9
Avery Bradley,30.0,29.4,20.3,38.6,28.8,28.8
Jae Crowder,29.7,27.1,19.7,34.5,28.7,28.7
Marcin Gortat,29.3,27.0,18.7,35.4,28.1,28.1
Norman Powell,22.2,14.4,4.1,24.7,28.0,28.0
Tristan Thompson,26.5,23.3,15.2,31.4,26.8,26.8
Patty Mills,17.2,18.0,9.8,26.2,26.8,26.8
Cory Joseph,16.8,18.7,10.1,27.3,26.7,26.7
Marcus Smart,22.9,24.8,16.9,32.6,24.9,24.9
Danny Green,15.7,17.4,11.2,23.6,23.5,23.5
