Willie Reed,25.95
Norman Powell,25.71
Rondae Hollis-Jefferson,23.8
Sam Dekker,23.33
Wayne Ellington,22.99
Garrett Temple,22.97
Matthew Dellavedova,22.41
C.J. Watson,22.14
Justin Hamilton,20.8
Terrence Ross,20.5
Dion Waiters,34.69
C.J. Miles,20.26
Spencer Dinwiddie,20.12
Lucas Nogueira,19.71
Kelly Oubre,19.44
Courtney Lee,19.32
Cory Joseph,19.21
Guillermo Hernangomez,19.07
Kent Bazemore,24.26
Manu Ginobili,18.61
Chandler Parsons,18.51
Thabo Sefolosha,18.44
Bismack Biyombo,18.37
Nene Hilario,18.21
Danny Green,18.17
Iman Shumpert,18.15
Dario Saric,19.83
Jeff Green,17.85
Amir Johnson,17.89
Kelly Olynyk,23.17
Arron Afflalo,17.78
Greg Monroe,30.06
Gerald Henderson,17.65
Darren Collison,24.74
Nerlens Noel,19.47
Randy Foye,17.53
Kyle Korver,17.14
JaMychal Green,23.84
Solomon Hill,17.04
Matt Barnes,16.86
Marco Belinelli,16.89
Brandon Jennings,16.84
Jonas Jerebko,16.78
Terry Rozier,16.7
Dewayne Dedmon,16.57
Al Jefferson,16.64
James Ennis,16.46
Tony Parker,21.49
Willie Cauley-Stein,16.5
Evan Turner,21.35
Tristan Thompson,22.84
Allen Crabbe,16.19
Langston Galloway,16.17
David Lee,24.17
Vince Carter,16.06
Tim Hardaway Jr.,20.87
Nik Stauskas,16.14
Marvin Williams,23.95
E'Twaun Moore,16.04
Anthony Tolliver,15.87
Ty Lawson,17.45
Jerian Grant,15.81
Dante Cunningham,15.83
Miles Plumlee,15.53
Justin Holiday,15.48
Marcus Smart,27.79
D.J. Augustin,15.36
Kosta Koufos,15.25
T.J. McConnell,24.29
Cody Zeller,24.09
Ryan Anderson,25.62
Patty Mills,16.54
Robin Lopez,19.48
Tony Snell,14.97
Michael Kidd-Gilchrist,25.58
Buddy Hield,14.96
Jae Crowder,28.06
Roy Hibbert,14.6
Rodney McGruder,14.64
Isaiah Whitehead,14.57
Channing Frye,14.45
Malcolm Delaney,14.39
Noah Vonleh,14.42
Paul Zipser,14.34
Monta Ellis,15.78
Joakim Noah,18.42
Doug McDermott,14.18
Patrick Patterson,16.83
Mirza Teletovic,13.92
Ramon Sessions,13.85
Marcin Gortat,26.29
Luke Babbitt,13.79
Malcolm Brogdon,24.74
Nikola Mirotic,19.23
Tony Allen,19.05
Jason Smith,13.56
Jonas Valanciunas,24.25
James Johnson,29.4
Tyreke Evans,24.15
Meyers Leonard,13.41
Marc Gasol,41.12
Bojan Bogdanovic,17.14
Jaylen Brown,13.15
Robert Covington,27.19
Glenn Robinson,12.93
Al-Farouq Aminu,22.97
Cristiano Da Silva Felicio,12.66
Mario Hezonja,12.55
Donatas Motiejunas,12.45
Elfrid Payton,32.5
Kyle Anderson,12.38
Aaron Gordon,26.08
Mason Plumlee,28.29
Goran Dragic,36.85
Thaddeus Young,27.95
Trevor Ariza,26.78
Markieff Morris,30.43
Dwyane Wade,32.64
Jrue Holiday,31.34
Frank Kaminsky,15.76
Taj Gibson,21.51
Dennis Schroder,32.31
Patrick Beverley,24.94
Malachi Richardson,11.93
Dwight Howard,31.89
Bradley Beal,33.15
Nikola Vucevic,30.3
Clint Capela,19.71
Kris Humphries,11.64
Luis Scola,11.55
Myles Turner,29.84
Derrick Rose,27.71
Andrew Harrison,11.51
Mindaugas Kuzminskas,11.45
Terrence Jones,20.5
Sergio Rodriguez,14.79
Zach Randolph,24.56
Paul Millsap,39.09
Aaron Brooks,10.75
Moe Harkless,16.08
Joel Embiid,38.59
Kevin Love,40.68
Nicolas Batum,35.31
Paul George,39.52
Corey Brewer,10.61
Otto Porter,26.46
Kyrie Irving,41.31
Michael Beasley,10.46
LaMarcus Aldridge,34.52
Jabari Parker,34.67
Sean Kilpatrick,17.66
Jeff Teague,34.36
DeMarre Carroll,16.66
Montrezl Harrell,13.33
Serge Ibaka,27.83
Kyle Lowry,43.83
DeMarcus Cousins,52.66
Ersan Ilyasova,23.72
Isaiah Thomas,45.49
Mike Conley,34.14
Kyle O'Quinn,9.8
Timothe Luwawu-Cabarrot,9.65
John Wall,46.35
Kawhi Leonard,43.3
Carmelo Anthony,37.39
C.J. McCollum,35.31
LeBron James,50.23
Kristaps Porzingis,29.05
Kemba Walker,38.42
Okaro White,9.42
Tyler Zeller,9.25
Jared Sullinger,12.83
Giannis Antetokounmpo,48.5
Damian Lillard,37.5
Dejounte Murray,11.87
James Harden,56.23
Gerald Green,8.99
Rajon Rondo,13.56
Jimmy Butler,41.23
Anthony Davis,47
Jahlil Okafor,10.4
Trey Burke,8.58
Richard Jefferson,8.51
Mike Muscala,8.37
Mike Dunleavy,8.31
Tomas Satoransky,7.59
Spencer Hawes,7.56
Quincy Acy,7.17
Jason Terry,6.95
Lavoy Allen,6.23
DeAndre Liggins,5.93
John Henson,5.87
Chris McCullough,5.43
Ron Baker,5.25
Damjan Rudez,4.89
Kay Felder,4.9
Richaun Holmes,4.57
Sheldon McClellan,4.43
James Young,4.1
Michael Carter-Williams,4.11
Mike Scott,3.79
Fred VanVleet,3.49
Anthony Brown,3.31
Shabazz Napier,3.31
Deyonta Davis,3.12
Derrick Williams,2.58
