L. Babbitt,SF,Heat,false,10,1,1,1,1,0,0,0,1,1,0,0,0,1,-9,3,false
H. Whiteside,C,Heat,false,25,3,10,0,0,2,2,3,6,0,1,4,1,4,-12,8,false
G. Dragic,PG,Heat,false,35,9,18,1,4,2,3,1,3,5,1,0,3,2,3,21,false
R. McGruder,SG,Heat,false,35,5,12,1,3,0,0,1,5,3,4,0,1,1,9,11,false
W. Ellington,SG,Heat,false,25,3,9,3,8,0,0,0,4,2,1,0,0,2,-2,9,false
J. Johnson,PF,Heat,false,35,11,17,0,2,4,4,1,7,2,1,3,3,1,17,26,true
O. White,PF,Heat,false,31,2,6,1,2,5,6,4,1,1,0,0,2,4,16,10,true
W. Reed,PF,Heat,false,9,1,3,0,0,0,0,0,3,0,0,0,0,4,7,2,true
T. Johnson,SG,Heat,false,36,6,16,0,3,6,6,3,3,2,3,0,4,2,16,18,true
R. Hollis-Jefferson,SF,Nets,true,23,1,3,0,0,3,4,2,4,3,2,0,1,3,0,5,false
B. Lopez,C,Nets,true,31,10,17,1,3,9,12,3,5,1,0,2,3,0,2,30,false
S. Dinwiddie,PG,Nets,true,19,0,3,0,1,0,0,0,3,8,2,0,1,0,4,0,false
R. Foye,SG,Nets,true,26,5,9,1,2,4,4,1,0,2,0,0,4,1,0,15,false
B. Bogdanovic,SG,Nets,true,29,4,12,2,5,0,0,0,6,0,0,0,2,2,1,10,false
T. Booker,PF,Nets,true,25,4,7,0,0,0,0,2,8,1,0,0,3,1,-11,8,true
J. Harris,SF,Nets,true,20,1,4,1,1,2,4,1,1,2,0,0,3,5,-13,5,true
J. Hamilton,C,Nets,true,18,2,6,1,2,1,1,2,1,0,0,3,0,0,-9,6,true
I. Whitehead,PG,Nets,true,16,3,9,0,2,0,0,2,0,0,0,0,3,1,-4,6,true
C. LeVert,SG,Nets,true,19,4,7,1,1,0,1,1,2,1,0,0,2,4,-3,9,true
S. Kilpatrick,SG,Nets,true,16,1,4,1,3,2,2,1,3,1,0,0,0,1,-12,5,true
D. Arthur,PF,Nuggets,false,21,5,9,3,6,0,0,0,3,2,0,0,1,1,-1,13,false
N. Jokic,PF,Nuggets,false,37,17,23,2,3,4,5,4,5,5,2,0,2,2,19,40,false
W. Chandler,SF,Nuggets,false,37,9,14,1,2,0,0,1,3,3,2,2,2,2,11,19,false
J. Nelson,PG,Nuggets,false,36,6,10,4,6,0,0,0,4,12,0,0,2,2,19,16,false
G. Harris,SG,Nuggets,false,34,6,10,3,6,1,1,2,5,2,1,0,2,0,22,16,false
J. Hernangomez,PF,Nuggets,false,16,3,6,2,4,0,0,0,1,1,1,1,0,1,-4,8,true
J. Nurkic,C,Nuggets,false,11,1,4,0,0,0,0,2,1,0,0,0,1,1,-11,2,true
J. Murray,SG,Nuggets,false,15,1,4,0,1,0,0,1,2,1,0,0,3,0,-8,2,true
W. Barton,SG,Nuggets,false,34,6,15,1,4,2,4,6,4,4,0,2,2,2,-7,15,true
K. Porzingis,PF,Knicks,true,33,7,14,2,4,1,2,2,2,2,1,1,1,3,-3,17,false
C. Anthony,SF,Knicks,true,35,13,20,6,10,1,2,1,5,4,2,0,2,2,-13,33,false
D. Rose,PG,Knicks,true,28,6,9,0,0,1,1,1,2,4,1,0,1,0,-15,13,false
B. Jennings,PG,Knicks,true,39,2,10,2,6,0,0,1,1,13,1,0,0,1,-2,6,false
C. Lee,SG,Knicks,true,31,6,10,3,7,0,0,0,3,4,2,0,2,5,-8,15,false
M. Ndour,SF,Knicks,true,3,0,2,0,0,0,0,1,1,0,0,0,0,0,-3,0,true
K. O'Quinn,C,Knicks,true,22,8,9,0,1,0,0,2,4,3,0,4,2,2,6,16,true
W. Hernangomez,C,Knicks,true,9,6,7,0,0,0,0,2,2,0,0,0,1,0,-6,12,true
J. Holiday,SG,Knicks,true,20,3,8,3,8,0,0,0,2,2,2,0,1,0,2,9,true
R. Baker,SG,Knicks,true,20,1,4,0,2,0,0,0,1,4,1,0,0,1,2,2,true
L. Aldridge,PF,Spurs,false,32,8,18,0,0,3,4,3,8,0,1,2,5,4,3,19,false
K. Leonard,SF,Spurs,false,33,11,22,3,8,7,9,0,6,5,1,0,3,2,18,32,false
D. Dedmon,C,Spurs,false,32,8,10,0,0,1,1,5,12,0,1,2,3,3,11,17,false
