James Harden ,51.9
Anthony Davis ,50.9
Giannis Antetokounmpo ,47.4
LeBron James ,47.2
Karl-Anthony Towns ,44.1
John Wall ,43.7
Blake Griffin ,43.5
Nikola Jokic ,42.3
Chris Paul ,41.6
DeMar DeRozan ,40.9
Isaiah Thomas ,40.6
Kawhi Leonard ,40.5
Jrue Holiday ,38.2
Hassan Whiteside ,38.1
Kyrie Irving ,37.7
Carmelo Anthony ,36.5
Andre Drummond ,36.2
Nikola Vucevic ,35.6
Paul George ,34.8
Greg Monroe ,34.7
Paul Millsap ,34.7
Brook Lopez ,33.5
Goran Dragic ,33.4
Gordon Hayward ,33.2
Rudy Gobert ,32.8
Kristaps Porzingis ,32.8
DeAndre Jordan ,32.8
Bradley Beal ,32.7
Jeff Teague ,32.6
Kyle O'Quinn ,32.5
LaMarcus Aldridge ,32.1
Dario Saric ,32.0
Myles Turner ,31.8
Andrew Wiggins ,31.6
Al Horford ,31.6
Dwight Howard ,31.3
Serge Ibaka ,30.9
Robert Covington ,30.4
Willie Cauley-Stein ,30.3
Louis Williams ,30.1
Harrison Barnes ,29.9
Pau Gasol ,29.7
Dennis Schroder ,29.7
Tyreke Evans ,29.6
George Hill ,29.4
Ricky Rubio ,29.0
Khris Middleton ,29.0
Nerlens Noel ,28.9
James Johnson ,28.9
Dirk Nowitzki ,28.8
Dion Waiters ,28.3
Wilson Chandler ,28.1
Otto Porter ,28.1
Derrick Rose ,28.0
Markieff Morris ,27.4
Tyler Johnson ,27.3
Elfrid Payton ,27.0
Seth Curry ,26.9
Danilo Gallinari ,26.4
Gary Harris ,26.4
Evan Fournier ,26.3
Will Barton ,26.1
Tristan Thompson ,26.1
Malcolm Brogdon ,26.1
Marcin Gortat ,26.0
Cory Joseph ,26.0
Kentavious Caldwell-Pope ,25.8
Marcus Morris ,25.6
T.J. McConnell ,25.2
Reggie Jackson ,25.2
Trevor Booker ,24.6
Jae Crowder ,24.4
Gorgui Dieng ,24.3
Clint Capela ,24.2
Darren Collison ,24.2
Tobias Harris ,24.1
Trevor Ariza ,23.9
Eric Gordon ,23.8
Patrick Beverley ,23.8
Aaron Gordon ,23.7
Richaun Holmes ,23.5
Derrick Favors ,23.5
Marcus Smart ,23.0
Ty Lawson ,22.7
Terrence Ross ,22.6
Dewayne Dedmon ,22.5
Jon Leuer ,22.5
Channing Frye ,22.3
Yogi Ferrell ,22.2
Thaddeus Young ,21.7
Jonas Valanciunas ,21.5
DeMarre Carroll ,21.3
Rondae Hollis-Jefferson ,21.3
J.J. Redick ,21.3
Kosta Koufos ,21.0
Ryan Anderson ,20.8
Jeremy Lin ,20.6
Mason Plumlee ,20.6
Jahlil Okafor ,20.5
Jamal Murray ,20.3
Kent Bazemore ,19.9
Gerald Henderson ,19.5
Tim Hardaway Jr. ,19.4
Caris LeVert ,19.3
Courtney Lee ,19.2
Dante Cunningham ,18.8
Deron Williams ,18.7
E'Twaun Moore ,18.6
Austin Rivers ,18.6
Taurean Prince ,18.5
Bojan Bogdanovic ,18.1
Buddy Hield ,18.1
Ben McLemore ,17.8
Danny Green ,17.6
Jaylen Brown ,17.5
Avery Bradley ,17.5
Ishmael Smith ,17.4
Jamal Crawford ,17.4
Thabo Sefolosha ,17.2
Monta Ellis ,17.2
Kyle Korver ,17.1
Patrick Mills ,17.0
Sean Kilpatrick ,17.0
Nene Hilario ,16.9
Marreese Speights ,16.9
Ersan Ilyasova ,16.8
P.J. Tucker ,16.8
Tony Snell ,16.8
Kelly Olynyk ,16.7
Devin Harris ,16.6
Amir Johnson ,16.2
Tyus Jones ,16.2
Donatas Motiejunas ,15.7
Manu Ginobili ,15.5
C.J. Miles ,15.5
David Lee ,15.3
Solomon Hill ,15.3
Lance Thomas ,15.2
Matthew Dellavedova ,15.0
Joe Johnson ,15.0
Spencer Dinwiddie ,15.0
D.J. Augustin ,15.0
Dorian Finney-Smith ,14.6
Nik Stauskas ,14.6
Sergio Rodriguez ,14.6
Stanley Johnson ,14.6
Joe Ingles ,14.5
Luc Mbah a Moute ,14.5
Alexis Ajinca ,14.2
Iman Shumpert ,14.1
Rodney Stuckey ,13.9
Derrick Williams ,13.9
Jeff Green ,13.9
Anthony Tolliver ,13.7
Justin Holiday ,13.3
