Giannis Antetokounmpo,MIL,PG,11th,29.8,70.6,34.7,39.96,47.27,75
LeBron James,CLE,SF,1st,26.5,62.1,37.1,35.89,41.78,79
Kevin Durant,GSW,SF,26th,40.6,72.7,34.0,38.50,54.36,81
Anthony Davis,NOP,C,3rd,28.1,84.4,35.8,37.80,52.24,69
John Wall,WAS,PG,30th,36,67.2,36.0,35.89,49.38,81
Isaiah Thomas,BOS,PG,13th,40.1,72.8,34.0,38.16,54.11,79
Karl-Anthony Towns,MIN,C,19th,35.5,73,35.9,39.52,51.57,76
Kawhi Leonard,SAS,SF,12th,35.7,66.7,33.0,35.36,48.94,78
Stephen Curry,GSW,PG,11th,37.7,70.6,33.2,35.64,51.78,78
Kyle Lowry,TOR,PG,19th,28,61,37.2,37.24,42.12,77
DeMar DeRozan,TOR,SG,3rd,29.7,60.3,34.9,37.80,42.79,78
Blake Griffin,LAC,PF,25th,29.1,60.6,32.8,35.00,42.60,78
Kyrie Irving,CLE,PG,18th,17.3,54.7,34.7,31.50,33.30,72
Eric Bledsoe,PHX,PG,1st,19.4,61.7,32.7,33.12,37.56,68
Carmelo Anthony,NYK,SF,20th,21.1,61.5,33.3,35.70,38.41,68
Paul George,IND,SF,17th,26.1,54,35.0,34.65,38.05,79
Kevin Love,CLE,PF,28th,17.9,58.4,31.3,32.64,35.28,70
Nikola Jokic,DEN,C,14th,21,72.3,25.5,30.69,43.00,55
Hassan Whiteside,MIA,C,16th,13.5,58.5,32.4,30.60,32.77,66
Jeff Teague,IND,PG,14th,20.1,56.9,32.1,33.66,35.85,69
Paul Millsap,ATL,PF,8th,34.1,73.6,32.2,37.45,51.04,69
Marc Gasol,MEM,C,21st,25.7,64.4,33.8,37.06,42.29,71
Draymond Green,GSW,PF,9th,21.8,50.5,32.8,31.68,34.09,77
Andre Drummond,DET,C,29th,23.9,63.9,30.1,29.76,41.01,69
Goran Dragic,MIA,PG,5th,20.7,56.1,33.8,35.70,35.88,71
Jrue Holiday,NOP,PG,2nd,20.9,56.8,31.4,34.00,36.28,70
Jabari Parker,MIL,PF,6th,13.1,49.2,33.7,31.62,28.58,69
Mike Conley,MEM,PG,27th,21.2,57,32.1,31.28,36.57,71
Gordon Hayward,UTA,SF,19th,19.9,53.9,34.2,31.96,34.45,73
Rudy Gobert,UTA,C,17th,27.7,58.7,33.3,37.44,41.00,74
Andrew Wiggins,MIN,SF,5th,16.5,53.8,36.7,37.37,32.47,66
LaMarcus Aldridge,SAS,PF,5th,18.9,51.7,31.7,30.40,32.98,70
Bradley Beal,WAS,SG,25th,18.1,54.2,34.0,33.48,33.58,69
DeAndre Jordan,LAC,C,24th,25.3,56.8,30.9,32.40,38.78,73
Klay Thompson,GSW,SG,5th,13,46.6,33.8,30.60,27.39,69
Devin Booker,PHX,SG,26th,19.1,51.3,34.3,36.72,32.90,69
Al Horford,BOS,C,12th,29,59.2,32.7,35.70,41.91,76
Dwight Howard,ATL,C,20th,14.3,52,29.0,29.10,30.47,68
Jae Crowder,BOS,SF,13th,19.5,45.1,31.9,33.66,30.43,73
Kristaps Porzingis,NYK,PF,20th,12.7,50.4,32.6,30.90,28.86,68
Ersan Ilyasova,PHI,PF,4th,12,47.1,26.9,28.28,27.06,61
D'Angelo Russell,LAL,PG,7th,13.9,55.3,26.1,28.83,31.68,58
Julius Randle,LAL,PF,13th,9.3,47,28.0,24.70,25.49,62
Dennis Schroder,ATL,PG,29th,14.1,49.9,30.0,29.76,29.43,65
George Hill,UTA,PG,28th,18.4,53.2,31.4,36.30,33.29,67
Otto Porter,WAS,SF,30th,16.2,55.3,33.4,34.00,32.98,62
Brook Lopez,BKN,C,12th,17.6,51.3,28.9,31.31,32.06,71
Ricky Rubio,MIN,PG,24th,20.8,55.7,31.5,34.65,35.76,64
Myles Turner,IND,C,1st,13.8,46.1,30.0,31.68,27.66,70
Wilson Chandler,DEN,SF,25th,16.6,58.2,30.2,33.95,34.43,58
Reggie Jackson,DET,PG,25th,13.4,45.2,28.3,26.32,27.00,66
James Johnson,MIA,PF,14th,18.1,51,25.5,31.80,32.21,62
Derrick Rose,NYK,PG,21st,13.3,47.6,31.6,33.66,28.01,66
Robert Covington,PHI,SF,4th,9.7,46.2,30.4,32.01,25.32,59
Kentavious Caldwell-Pope,DET,SG,8th,8.4,49.9,33.2,33.84,26.19,54
Louis Williams,LAL,SG,12th,12.1,49.5,23.9,23.30,28.15,61
Tobias Harris,DET,PF,21st,12.4,42.4,31.7,29.70,25.25,68
Marcin Gortat,WAS,C,25th,22,48.2,34.0,32.64,33.19,75
Marcus Morris,DET,SF,21st,12.7,46,32.6,32.90,26.98,61
Kenneth Faried,DEN,PF,7th,9.6,48.1,22.0,23.92,26.07,52
Tyler Johnson,MIA,PG,4th,17.4,48.1,30.1,31.03,30.56,68
Gorgui Dieng,MIN,PF,19th,14.9,43.8,31.4,33.79,27.30,67
Austin Rivers,LAC,PG,18th,17.1,50.8,27.4,39.60,31.56,51
Tyson Chandler,PHX,C,4th,8.9,41.3,27.9,24.30,22.82,62
Terrence Jones,NOP,PF,3rd,13.3,52.1,24.0,29.96,29.90,51
Jonas Valanciunas,TOR,C,22nd,17.2,48.7,26.5,27.81,30.65,66
T.J. McConnell,PHI,PG,4th,8.3,39.1,23.8,26.60,21.52,55
Marcus Smart,BOS,PG,13th,14,40.1,30.2,28.83,25.20,69
Trevor Booker,BKN,PF,16th,6.1,35.2,25.7,18.20,18.55,68
David Lee,SAS,PF,5th,13.5,39,18.1,23.92,24.42,58
Khris Middleton,MIL,SF,17th,15.5,15.5,,17.00,15.45,0
Brandon Jennings,NYK,PG,21st,3.3,41.4,24.6,26.52,19.65,47
Greg Monroe,MIL,C,18th,8.3,44.1,20.8,21.20,23.66,58
Gary Harris,DEN,SG,22nd,18.4,50.2,27.3,36.38,32.01,60
Nerlens Noel,PHI,C,4th,3.7,39.1,17.4,18.80,18.84,46
J.J. Redick,LAC,SG,18th,11.9,42.1,28.0,31.35,24.83,60
Taj Gibson,CHI,PF,10th,15,40.3,27.1,30.52,25.88,69
Will Barton,DEN,SG,22nd,14,51.4,27.8,30.00,30.06,57
Derrick Favors,UTA,PF,26th,6.4,39.5,22.6,24.00,20.62,53
Norman Powell,TOR,SG,3rd,0,28,17.1,10.56,7.24,17
Raymond Felton,LAC,SF,6th,13.5,45.9,22.2,33.00,27.39,46
Jon Leuer,DET,PF,27th,10.9,37.1,26.1,25.65,22.16,66
Tim Hardaway Jr.,ATL,SG,27th,12.5,48,23.7,28.84,27.69,49
Malcolm Brogdon,MIL,SG,17th,7.3,39.7,25.0,26.04,21.17,54
P.J. Tucker,PHX,SF,6th,8.1,41.3,28.1,33.66,22.35,50
Darren Collison,SAC,PG,17th,11.7,38.5,29.6,30.00,23.19,67
Luol Deng,LAL,SF,9th,0,28.6,26.8,20.14,11.18,54
Tristan Thompson,CLE,C,28th,13.6,45.1,29.0,33.79,27.13,62
Jameer Nelson,DEN,PG,23rd,9.9,43.5,24.9,32.01,24.33,48
T.J. Warren,PHX,SF,6th,2.6,45.2,28.9,33.60,20.87,45
C.J. Miles,IND,SG,17th,6.3,33.9,22.2,24.50,18.13,55
Kent Bazemore,ATL,SG,23rd,11.8,45.4,27.1,28.84,26.19,55
Sean Kilpatrick,BKN,SG,11th,0,35.9,26.0,19.60,14.62,53
Rajon Rondo,CHI,PG,15th,4.1,44,26.2,23.23,21.21,52
Bojan Bogdanovic,BKN,SF,8th,10.6,39.3,26.3,28.28,22.91,61
Robin Lopez,CHI,C,5th,6.6,32.2,27.8,25.20,17.56,66
JaMychal Green,MEM,PF,24th,10.3,39.7,28.4,31.04,22.88,61
Rondae Hollis-Jefferson,BKN,PF,11th,8.4,36.6,21.1,23.69,20.49,56
Jamal Crawford,LAC,SG,18th,5.5,38,26.3,25.30,19.43,52
DeMarre Carroll,TOR,SF,7th,7.5,38.3,25.9,28.62,20.72,53
Nick Young,LAL,SG,9th,3.3,34.3,26.1,24.50,16.61,58
Jordan Clarkson,LAL,PG,12th,6,35,27.0,24.25,18.43,62
Nikola Mirotic,CHI,PF,10th,0.8,32.6,22.2,19.30,14.42,53
Jahlil Okafor,PHI,C,8th,10.2,36.4,22.7,25.44,21.42,63
Andre Iguodala,GSW,SF,26th,10.4,32.4,25.2,25.30,19.81,65
Lucas Nogueira,TOR,PF,22nd,6.3,34,20.9,20.02,18.16,54
Tony Parker,SAS,PG,9th,9.2,35.2,25.2,22.56,20.35,63
Matthew Dellavedova,MIL,SG,26th,5.6,31.8,26.1,23.92,16.86,60
Guillermo Hernangomez,NYK,C,15th,10.7,52.9,14.5,25.07,28.78,21
Dario Saric,PHI,SF,4th,6.5,35.8,23.6,22.10,19.07,57
Matt Barnes,SAC,SF,15th,11.7,43.1,24.4,30.40,25.14,51
Courtney Lee,NYK,SG,9th,9.2,35,30.6,31.03,20.23,62
Ty Lawson,SAC,PG,17th,10.6,41.3,24.3,26.25,23.76,56
Channing Frye,CLE,PF,28th,0.8,28.3,17.9,13.20,12.55,52
Mike Scott,ATL,PF,8th,0,17,10.2,6.79,5.21,17
Mike Muscala,ATL,C,20th,5.9,28.5,20.2,20.80,15.58,60
Paul Zipser,CHI,SG,24th,5,29.9,15.0,26.75,15.68,13
Patrick McCaw,GSW,SG,5th,0,16.9,11.9,10.20,5.59,17
Malcolm Delaney,ATL,PG,29th,4.5,25.9,17.3,17.30,13.63,51
Denzel Valentine,CHI,SF,15th,0,24.1,11.9,13.65,9.38,2
Kris Humphries,ATL,PF,8th,0,16.8,11.6,0.00,0.00,21
Dante Exum,UTA,SG,28th,0,20.9,18.1,14.50,8.82,45
Darrell Arthur,DEN,C,7th,1.1,29.6,15.3,12.80,13.34,40
Jose Calderon,LAL,PG,7th,0,15.7,12.0,0.00,0.00,8
Damian Jones,GSW,C,7th,0,7.7,6.7,0.00,0.00,0
Mike Dunleavy,ATL,SF,23rd,2.7,25,16.0,16.16,12.25,38
Briante Weber,GSW,PG,11th,0,0,,0.00,0.00,0
Kevon Looney,GSW,PF,9th,0.3,19.7,8.2,10.01,8.60,27
James McAdoo,GSW,PF,9th,2.1,25.4,8.3,14.84,12.09,0
Ian Clark,GSW,SG,5th,0,22.2,13.6,9.90,6.83,30
Jamal Murray,DEN,PG,22nd,4.5,37.7,19.4,19.10,18.72,39
Juan Hernangomez,DEN,SF,25th,3.9,30,11.3,17.28,15.05,18
JaVale McGee,GSW,C,7th,5.8,30.8,8.2,12.48,16.52,33
Shaun Livingston,GSW,PG,11th,7,20.9,17.1,17.60,12.97,63
Doug McDermott,CHI,SF,24th,3,33,23.8,20.90,15.82,46
Cristiano Da Silva Felicio,CHI,C,10th,0,23.7,14.7,12.48,9.66,41
Bobby Portis,CHI,PF,10th,0,13,11.1,0.00,0.00,27
Brandon Rush,MIN,SG,1st,1.6,31.4,15.0,29.00,14.33,0
Cole Aldrich,MIN,C,19th,0,19.8,9.1,8.30,6.81,17
Nemanja Bjelica,MIN,PF,11th,0,25.6,16.6,14.50,8.99,34
Shabazz Muhammad,MIN,SG,5th,9.2,35.4,19.1,25.44,20.40,45
Pascal Siakam,TOR,PF,19th,1.4,22.4,16.5,15.04,10.42,47
Jakob Poeltl,TOR,C,22nd,0,15.5,9.5,8.72,5.40,21
Terrence Ross,TOR,SG,7th,4.5,31.4,22.1,21.20,16.03,57
Cory Joseph,TOR,PG,19th,1.8,29.4,22.1,19.20,13.63,53
Justin Holiday,NYK,SG,9th,2.6,32.7,19.3,20.46,15.49,43
Tony Snell,MIL,SF,11th,0.8,23.4,28.1,20.60,10.46,58
Rodney McGruder,MIA,SG,4th,9.4,33.5,25.4,35.70,19.71,50
Willie Reed,MIA,C,14th,0,35.8,14.3,16.05,15.36,24
Luke Babbitt,MIA,PF,29th,1,24,15.5,15.84,10.85,27
Wayne Ellington,MIA,SG,4th,9.4,41.5,26.0,32.32,23.17,49
Jerian Grant,CHI,PG,15th,6.2,34.8,15.4,25.20,18.45,25
Okaro White,MIA,PF,29th,0,25,14.7,13.16,8.82,5
Isaiah Canaan,CHI,PG,15th,0,14.2,17.6,0.00,0.00,30
Tyus Jones,MIN,PG,24th,0,24.9,12.9,8.40,6.36,14
Mirza Teletovic,MIL,PF,6th,0,21.1,16.3,9.30,5.50,36
John Henson,MIL,C,18th,7.4,38,19.7,23.00,20.49,51
Kris Dunn,MIN,PG,24th,0,26.1,16.5,14.30,9.25,29
Michael Beasley,MIL,PF,11th,1.4,34.7,15.6,15.70,15.64,37
Michael Carter-Williams,CHI,PG,15th,15.9,49.8,21.7,32.96,30.42,51
Jason Terry,MIL,SG,26th,0,14,16.7,5.40,3.35,40
Jared Sullinger,TOR,PF,19th,0,20.6,10.5,8.16,6.71,13
Troy Daniels,MEM,SG,10th,0,28.8,17.4,8.16,6.68,12
