Wesley Matthews,DAL,SF,13th,16.1,44.1,34.8,32.90,28.10,70
Evan Fournier,ORL,SG,20th,8.7,41.7,32.5,31.68,22.87,64
Austin Rivers,LAC,PG,22nd,14,47,27.9,35.28,28.12,53
Deron Williams,DAL,PG,6th,1.8,34.3,28.7,17.28,15.74,65
Kentavious Caldwell-Pope,DET,SG,6th,6.6,47,33.2,34.92,23.92,54
Clint Capela,HOU,C,13th,22.1,48.7,23.0,28.28,33.51,70
Aaron Gordon,ORL,SF,13th,7.5,38.8,27.1,30.60,20.90,58
Ryan Anderson,HOU,PF,7th,4.1,39.6,30.4,30.38,19.29,56
Tyler Johnson,MIA,PG,30th,20.1,49.6,30.2,31.62,32.70,69
Gorgui Dieng,MIN,PF,19th,17.2,45.2,31.6,33.92,29.17,69
Patrick Beverley,HOU,SG,27th,17.9,43.7,30.5,32.86,28.95,72
Tyson Chandler,PHX,C,29th,15.5,47.4,27.3,28.34,29.16,62
Jonas Valanciunas,TOR,C,9th,12.7,43.4,26.6,26.46,25.82,67
Trevor Booker,BKN,PF,14th,11.8,40.6,25.6,23.28,24.16,68
Darren Collison,SAC,PG,22nd,22.6,52.1,30.4,42.23,35.26,65
Yogi Ferrell,DAL,PG,6th,0.7,42.3,23.7,25.25,18.51,35
Khris Middleton,MIL,SF,24th,10.4,23.9,17.0,17.00,16.20,77
Michael Kidd-Gilchrist,CHA,SF,6th,12.5,39.1,29.1,28.21,23.89,67
Gary Harris,DEN,SG,3rd,12.6,42.6,27.9,31.96,25.44,63
Tim Hardaway Jr.,ATL,SG,15th,11.2,48.3,24.5,31.50,27.12,49
Derrick Favors,UTA,PF,24th,7.4,39.2,23.0,23.66,21.03,56
Eric Gordon,HOU,SG,16th,12.6,41.1,29.9,31.20,24.80,70
Tyreke Evans,NOP,SG,25th,10.5,45.8,17.4,23.23,25.65,49
Dirk Nowitzki,DAL,C,4th,18.2,47.3,25.5,29.68,30.69,67
T.J. McConnell,PHI,PG,23rd,15,46.2,24.4,32.96,28.35,56
Marcus Smart,BOS,PG,11th,20.5,47.6,30.5,36.75,32.12,68
Matt Barnes,SAC,SF,19th,12.6,43.8,24.7,28.83,25.95,53
David Lee,SAS,PF,22nd,9.5,34.8,18.2,19.95,20.37,58
Brandon Jennings,NYK,PG,8th,2.5,40.9,24.5,24.24,18.96,45
Jon Leuer,DET,PF,1st,7.9,35.7,26.4,28.28,19.82,63
Raymond Felton,LAC,SF,21st,6.6,38.7,22.2,24.44,20.33,46
J.J. Redick,LAC,SG,22nd,12.3,41.8,27.9,30.74,24.96,61
Marvin Williams,CHA,PF,8th,15.7,41.8,27.7,36.05,26.89,66
Greg Monroe,MIL,C,25th,15.4,52.7,21.1,25.65,31.40,56
Frank Kaminsky,CHA,PF,16th,20,52.4,24.3,37.00,33.86,56
T.J. Warren,PHX,SF,25th,3.8,46.1,28.7,33.00,21.91,44
Jameer Nelson,DEN,PG,20th,12,47.9,25.6,32.76,27.39,47
Jamal Crawford,LAC,SG,22nd,8.2,40.5,26.3,25.30,22.06,53
Guillermo Hernangomez,NYK,C,2nd,14.5,55.9,14.8,27.26,32.22,25
Tristan Thompson,CLE,C,27th,12.2,43,29.4,31.96,25.38,63
Malcolm Brogdon,MIL,SG,24th,13.5,44.9,25.2,31.90,26.92,56
Bojan Bogdanovic,BKN,SF,29th,10.7,39.8,26.4,26.10,23.15,61
Norman Powell,TOR,SG,23rd,1,37.5,16.7,23.76,16.63,17
Dario Saric,PHI,SF,5th,8.9,41.1,23.8,22.50,22.70,56
Kent Bazemore,ATL,SG,23rd,9,42.1,27.2,27.72,23.20,56
Nerlens Noel,PHI,C,5th,15.2,50.9,18.6,29.40,30.49,49
Nick Young,LAL,SG,20th,9.1,40.9,26.0,26.40,22.73,57
Brandon Knight,PHX,PG,26th,0,27.9,20.7,12.60,9.75,47
P.J. Tucker,PHX,SF,25th,12.1,44.8,28.2,34.56,26.13,51
DeMarre Carroll,TOR,SF,15th,6.2,37.2,26.5,29.16,19.45,53
Jeremy Lamb,CHA,SG,2nd,0,33.2,16.8,14.40,13.51,44
Emmanuel Mudiay,DEN,PG,20th,0.8,40.1,27.6,20.46,17.68,51
Dewayne Dedmon,SAS,C,27th,12.8,42.8,16.6,25.50,25.70,46
Lance Stephenson,MIN,SF,21st,0,32.1,20.6,14.60,10.98,29
Maurice Harkless,POR,SF,1st,7.3,36.5,28.5,32.10,19.81,61
JaMychal Green,MEM,PF,25th,3.4,32.7,28.1,21.85,15.97,61
Michael Beasley,MIL,PF,30th,16.3,51,16.2,29.40,31.19,38
Rondae Hollis-Jefferson,BKN,PF,8th,9.7,37.6,21.4,23.69,21.61,57
Kyle O'Quinn,NYK,PF,23rd,7.9,47.8,14.9,19.32,25.02,35
Kyle Korver,CLE,SG,21st,8.5,37.8,26.5,29.16,21.02,53
Sean Kilpatrick,BKN,SG,8th,0,36.8,25.7,19.50,15.78,53
C.J. Miles,IND,SG,13th,3.8,32.5,22.6,23.23,16.10,54
Brandon Ingram,LAL,SF,20th,5.7,32.1,27.2,24.70,16.99,55
Marco Belinelli,CHA,SG,2nd,10.5,35.8,24.2,28.08,21.31,61
Alex Len,PHX,C,29th,1.6,31.3,19.1,14.50,14.33,52
Lucas Nogueira,TOR,C,9th,9.1,37,21.2,26.78,21.02,53
Tony Parker,SAS,PG,25th,6.4,32.3,25.7,24.00,17.50,63
Stanley Johnson,DET,SF,14th,1,25.4,16.2,17.60,11.46,33
Jason Terry,MIL,SG,30th,2.6,20.7,16.6,15.70,10.36,41
Ishmael Smith,DET,PG,5th,5.9,36.1,23.2,19.60,18.86,57
Aron Baynes,DET,C,3rd,0.9,22.8,14.7,12.90,10.28,40
Dwight Powell,DAL,PF,4th,0,26.2,18.2,10.80,9.88,50
Andre Iguodala,GSW,SF,11th,11.4,34.7,25.1,25.30,21.40,64
JaVale McGee,GSW,C,5th,11.1,36.4,8.9,17.46,21.95,35
Ian Clark,GSW,PG,5th,0,25.8,13.7,12.96,10.24,30
James McAdoo,GSW,PF,11th,2.6,25.6,8.9,14.56,12.46,0
Kevon Looney,GSW,PF,11th,0,18.9,8.6,10.45,7.92,29
Damian Jones,GSW,C,5th,0,5.9,5.3,0.00,0.00,5
Patrick McCaw,GSW,SG,5th,0,19.1,12.0,9.90,6.84,13
Devin Harris,DAL,SG,6th,3.9,29.6,16.2,18.90,14.91,39
Andrew Bogut,DAL,C,17th,5.5,29.1,22.0,19.44,15.61,60
Justin Anderson,DAL,SF,8th,0,26.3,13.8,9.00,9.45,34
Dorian Finney-Smith,DAL,SF,8th,0,21.9,21.3,14.00,6.87,32
Isaiah Whitehead,BKN,PG,3rd,0.3,24.3,21.4,15.70,10.57,54
