Donatas Motiejunas ,10.1
Alexis Ajinca ,10.1
Jason Terry ,10.0
Leandro Barbosa ,10.0
C.J. Watson ,9.9
Mindaugas Kuzminskas ,9.8
Aron Baynes ,9.8
Thon Maker ,9.5
Trey Burke ,9.1
Luke Babbitt ,9.1
Delon Wright ,9.0
Okaro White ,9.0
Brandon Bass ,8.9
Salah Mejri ,8.8
Boris Diaw ,8.4
Tyler Ulis ,8.4
Juan Hernangomez ,8.3
Noah Vonleh ,8.3
Tomas Satoransky ,8.1
Skal Labissiere ,8.0
Andrew Harrison ,8.0
Jared Dudley ,7.9
Tyus Jones ,7.8
Alex Abrines ,7.8
Mike Muscala ,7.7
Wesley Johnson ,7.6
Mario Hezonja ,7.5
Reggie Bullock ,7.4
DeAndre Liggins ,7.3
Lance Stephenson ,7.3
Timothe Luwawu ,6.8
Spencer Hawes ,6.8
Ron Baker ,6.7
Taurean Prince ,6.6
Norris Cole ,6.5
Mike Scott ,6.5
Jared Sullinger ,6.4
Shabazz Napier ,6.4
Beno Udrih ,6.3
Justin Harper ,6.0
Darrell Arthur ,6.0
Terrence Jones ,5.9
Jordan McRae ,5.8
Dante Exum ,5.7
Kay Felder ,5.6
Cole Aldrich ,5.6
Roy Hibbert ,5.5
Jeff Withey ,5.5
Christian Wood ,5.5
Rashad Vaughn ,5.4
Darrun Hilliard ,5.1
DeAndre Bembry ,5.0
Pascal Siakam ,4.9
Brian Roberts ,4.9
Alan Anderson ,4.9
Sheldon McClellan ,4.6
Chasson Randle ,4.5
Mike Tobey ,4.5
Derrick Jones Jr. ,4.4
Quinn Cook ,4.3
Boban Marjanovic ,4.3
Kris Humphries ,4.2
Pat Connaughton ,4.1
Shawn Long ,4.0
Lamar Patterson ,4.0
Semaj Christon ,3.9
Raul Neto ,3.5
Jake Layman ,3.2
Jose Calderon ,3.1
James Jones ,3.1
Jakob Poeltl ,2.7
Udonis Haslem ,2.6
Stephen Zimmerman Jr. ,2.5
Damjan Rudez ,2.4
Jordan Hill ,2.4
Ronnie Price ,2.4
Fred VanVleet ,2.4
Paul Pierce ,2.3
Maurice Ndour ,2.1
Marshall Plumlee ,2.0
Ben Bentil ,2.0
Brandon Knight ,2.0
Sasha Vujacic ,1.9
C.J. Wilcox ,1.9
Tim Quarterman ,1.9
Daniel Ochefu ,1.9
Mike Miller ,1.8
Danuel House Jr. ,1.8
Treveon Graham ,1.8
Joel Anthony ,1.7
Bryn Forbes ,1.6
Joel Bolomboy ,1.5
Tyson Chandler ,1.0
Emmanuel Mudiay ,1.0
Johnny O'Bryant III ,0.0
Frank Kaminsky ,0.0
Miles Plumlee ,0.0
Omer Asik ,0.0
Cheick Diallo ,0.0
Kyle Korver ,0.0
Michael Beasley ,0.0
Ramon Sessions ,0.0
Andrew Bogut ,0.0
