Austin Rivers,21.11,LAC,PG,UTA,42.70,6,190.5,-183,97,0,27.3,99.86,19.76,38.50,29.55,12.67,2.11
Kelly Olynyk,21.51,BOS,C,WAS,47.99,16,216.0,-195,110.25,0.75,19.9,99.63,18.89,24.12,30.33,12.69,1.96
Jamal Crawford,18.5,LAC,SG,UTA,33.49,1,190.5,-183,97,0,25.9,99.86,21.94,27.58,27.75,9.25,1.85
Marreese Speights,18.14,LAC,PF,UTA,39.45,1,190.5,-183,97,0,15.2,99.86,22.22,17.67,26.12,10.16,1.81
Rodney Hood,19.77,UTA,SG,@ LAC,36.77,5,190.5,163,93.5,0,26.4,94.33,20.56,27.13,32.23,7.31,1.8
Luc Richard Mbah a Moute,18.42,LAC,SF,UTA,33.01,1,190.5,-183,97,0,22.5,99.86,10.82,36.47,23.39,13.45,1.67
Joe Ingles,20.43,UTA,SG,@ LAC,36.77,5,190.5,163,93.5,0,24.0,94.33,13.73,31.13,29.42,11.44,1.57
Bojan Bogdanovic,15.35,WAS,SG,@ BOS,38.63,15,216.0,170,105.75,0.25,25.0,100.39,21.84,22.72,24.41,6.29,1.54
Marcus Smart,24.57,BOS,SG,WAS,37.66,10,216.0,-195,110.25,0.75,29.9,99.63,19.12,32.00,33.91,15.23,1.54
Marcin Gortat,28.86,WAS,C,@ BOS,49.06,22,216.0,170,105.75,0.25,30.7,100.39,14.18,31.22,37.23,20.49,1.52
Brandon Jennings,14.37,WAS,PG,@ BOS,44.59,18,216.0,170,105.75,0.25,21.4,100.39,19.44,13.60,21.55,7.18,1.44
Jason Smith,13.24,WAS,PF,@ BOS,44.84,19,216.0,170,105.75,0.25,14.1,100.39,16.14,15.02,21.45,5.03,1.32
Raymond Felton,13.03,LAC,SF,UTA,33.01,1,190.5,-183,97,0,20.5,99.86,16.53,18.55,22.28,3.78,1.3
J.J. Redick,15.53,LAC,SG,UTA,33.49,1,190.5,-183,97,0,27.9,99.86,20.25,24.00,21.90,9.16,1.29
Kelly Oubre,12.92,WAS,SF,@ BOS,39.05,17,216.0,170,105.75,0.25,19.6,100.39,14.25,16.94,18.09,7.75,1.29
Otto Porter,26.49,WAS,SF,@ BOS,39.05,17,216.0,170,105.75,0.25,31.9,100.39,14.53,31.00,37.62,15.36,1.26
Boris Diaw,12.3,UTA,PF,@ LAC,43.80,13,190.5,163,93.5,0,17.2,94.33,15.47,16.75,19.43,5.17,1.23
George Hill,28.37,UTA,PG,@ LAC,41.63,2,190.5,163,93.5,0,31.5,94.33,21.86,34.00,47.95,8.79,1.23
Gordon Hayward,43.22,UTA,SF,@ LAC,39.97,25,190.5,163,93.5,0,33.9,94.33,25.29,40.00,65.69,20.75,1.17
Gerald Green,11.6,BOS,SF,WAS,38.46,8,216.0,-195,110.25,0.75,11.2,99.63,22.33,17.58,18.10,5.10,1.16
Jae Crowder,26.73,BOS,PF,WAS,45.44,24,216.0,-195,110.25,0.75,32.0,99.63,16.48,34.93,36.62,16.84,1.16
Markieff Morris,24.04,WAS,PF,@ BOS,44.84,19,216.0,170,105.75,0.25,30.6,100.39,19.75,27.62,35.10,12.98,1.14
Terry Rozier,11.43,BOS,PG,WAS,42.96,9,216.0,-195,110.25,0.75,16.5,99.63,17.13,16.84,19.09,3.77,1.14
Avery Bradley,25.81,BOS,SG,WAS,37.66,10,216.0,-195,110.25,0.75,33.1,99.63,20.70,38.00,42.33,9.29,1.12
Joe Johnson,21.27,UTA,SF,@ LAC,39.97,25,190.5,163,93.5,0,23.5,94.33,17.52,32.00,29.78,12.76,1.12
Al Horford,32.1,BOS,C,WAS,47.99,16,216.0,-195,110.25,0.75,31.9,99.63,19.95,33.27,47.19,17.01,1.11
DeAndre Jordan,34.22,LAC,C,UTA,43.50,3,190.5,-183,97,0,31.5,99.86,14.40,35.08,44.14,24.30,1.1
Chris Paul,51.38,LAC,PG,UTA,42.70,6,190.5,-183,97,0,31.3,99.86,26.40,38.15,74.50,28.26,1.07
John Wall,52.16,WAS,PG,@ BOS,44.59,18,216.0,170,105.75,0.25,35.9,100.39,32.38,41.80,65.20,39.12,1.04
Bradley Beal,35.17,WAS,SG,@ BOS,38.63,15,216.0,170,105.75,0.25,34.5,100.39,26.11,38.00,47.83,22.51,1.03
Isaiah Thomas,42.97,BOS,PG,WAS,42.96,9,216.0,-195,110.25,0.75,33.4,99.63,33.32,38.16,58.44,27.50,0.95
Amir Johnson,8.94,BOS,PF,WAS,45.44,24,216.0,-195,110.25,0.75,19.3,99.63,13.85,9.99,17.52,0.36,0.89
Jonas Jerebko,8.52,BOS,PF,WAS,45.44,24,216.0,-195,110.25,0.75,15.0,99.63,11.45,11.44,14.57,2.47,0.85
Derrick Favors,15.3,UTA,PF,@ LAC,43.80,13,190.5,163,93.5,0,23.9,94.33,18.15,16.00,21.88,8.72,0.85
Rudy Gobert,31.54,UTA,C,@ LAC,46.25,8,190.5,163,93.5,0,33.3,94.33,14.99,33.00,45.73,17.35,0.83
Paul Pierce,7.89,LAC,SF,UTA,33.01,1,190.5,-183,97,0,10.6,99.86,13.59,14.11,11.60,4.18,0.79
Raulzinho Neto,3.62,UTA,PG,@ LAC,41.63,2,190.5,163,93.5,0,8.2,94.33,14.90,12.00,5.43,1.81,0.36
Nene Hilario,22.11,HOU,C,@ SAS,42.72,2,213.5,215,103.75,0,17.5,103.47,19.75,23.22,29.85,14.37,2.21
Patty Mills,17.15,SAS,PG,HOU,46.41,24,213.5,-255,109.75,0.5,21.5,97.88,19.68,22.65,23.67,10.63,1.72
Tristan Thompson,23.19,CLE,C,TOR,47.12,10,208.5,-285,107.5,0,29.5,101.29,10.83,33.18,33.16,13.22,1.66
P.J. Tucker,16.57,TOR,SF,@ CLE,40.70,26,208.5,240,101,0,27.0,98.46,11.07,26.02,23.36,9.78,1.66
Danny Green,16.16,SAS,SG,HOU,40.06,24,213.5,-255,109.75,0.5,26.0,97.88,12.96,27.51,22.79,9.53,1.62
David Lee,17.69,SAS,C,HOU,50.87,28,213.5,-255,109.75,0.5,18.3,97.88,16.10,19.64,23.00,12.38,1.61
Norman Powell,20.94,TOR,SF,@ CLE,40.70,26,208.5,240,101,0,17.8,98.46,20.18,31.18,29.73,12.15,1.61
J.R. Smith,17.47,CLE,SG,TOR,35.38,3,208.5,-285,107.5,0,28.4,101.29,13.63,28.87,24.28,10.66,1.59
Eric Gordon,25.35,HOU,SG,@ SAS,37.09,7,213.5,215,103.75,0,30.6,103.47,22.03,33.64,33.46,17.24,1.58
Tony Parker,23.32,SAS,PG,HOU,46.41,24,213.5,-255,109.75,0.5,24.7,97.88,20.87,29.66,32.18,14.46,1.55
Patrick Patterson,14.71,TOR,PF,@ CLE,42.82,8,208.5,240,101,0,23.6,98.46,12.07,19.50,24.42,5.00,1.47
Manu Ginobili,14.48,SAS,SG,HOU,40.06,24,213.5,-255,109.75,0.5,18.0,97.88,20.19,17.68,20.13,8.83,1.45
Louis Williams,25.82,HOU,PG,@ SAS,42.83,8,213.5,215,103.75,0,24.3,103.47,29.15,29.45,33.31,18.33,1.43
Clint Capela,23.91,HOU,C,@ SAS,42.72,2,213.5,215,103.75,0,23.3,103.47,19.49,22.64,34.91,12.91,1.41
Channing Frye,14.11,CLE,PF,TOR,42.53,7,208.5,-285,107.5,0,18.2,101.29,18.19,15.54,21.02,7.20,1.41
Cory Joseph,13.34,TOR,PG,@ CLE,45.24,22,208.5,240,101,0,24.1,98.46,18.55,16.02,21.08,5.60,1.33
LaMarcus Aldridge,37.29,SAS,PF,HOU,46.22,26,213.5,-255,109.75,0.5,32.1,97.88,22.49,37.07,46.61,27.97,1.29
Jonas Valanciunas,20.6,TOR,C,@ CLE,47.37,14,208.5,240,101,0,25.1,98.46,18.33,20.73,30.90,10.30,1.29
Deron Williams,12.66,CLE,PG,TOR,42.13,4,208.5,-285,107.5,0,24.8,101.29,21.87,13.44,20.38,4.94,1.27
DeMarre Carroll,12.65,TOR,PF,@ CLE,42.82,8,208.5,240,101,0,25.2,98.46,14.65,15.50,19.48,5.82,1.27
Trevor Ariza,24.96,HOU,SF,@ SAS,33.27,2,213.5,215,103.75,0,34.4,103.47,14.10,35.50,35.19,14.73,1.25
Kyle Korver,12.06,CLE,SG,TOR,35.38,3,208.5,-285,107.5,0,25.2,101.29,14.69,17.52,19.78,4.34,1.21
Patrick Beverley,22.56,HOU,PG,@ SAS,42.83,8,213.5,215,103.75,0,30.1,103.47,15.65,27.27,32.49,12.63,1.19
Pau Gasol,19.71,SAS,C,HOU,50.87,28,213.5,-255,109.75,0.5,24.9,97.88,20.07,20.60,27.99,11.43,1.16
Serge Ibaka,29.47,TOR,C,@ CLE,47.37,14,208.5,240,101,0,30.1,98.46,19.70,34.24,38.90,20.04,1.13
Iman Shumpert,11.17,CLE,SG,TOR,35.38,3,208.5,-285,107.5,0,24.7,101.29,13.34,15.65,15.75,6.59,1.12
DeMar DeRozan,42.74,TOR,SG,@ CLE,42.21,30,208.5,240,101,0,34.9,98.46,32.28,39.49,59.84,25.64,1.1
Kyle Lowry,39.21,TOR,PG,@ CLE,45.24,22,208.5,240,101,0,36.9,98.46,24.58,39.54,50.97,27.45,1.09
Kawhi Leonard,50.74,SAS,SF,HOU,39.43,20,213.5,-255,109.75,0.5,33.2,97.88,29.17,38.70,64.95,36.53,1.06
Kevin Love,37.6,CLE,PF,TOR,42.53,7,208.5,-285,107.5,0,31.0,101.29,24.62,34.36,50.38,24.82,1.04
Kyrie Irving,39.64,CLE,PG,TOR,42.13,4,208.5,-285,107.5,0,34.5,101.29,30.42,36.66,57.87,21.41,0.99
Ryan Anderson,18.65,HOU,PF,@ SAS,40.84,3,213.5,215,103.75,0,29.0,103.47,17.42,27.48,25.18,12.12,0.98
Dewayne Dedmon,9.63,SAS,C,HOU,50.87,28,213.5,-255,109.75,0.5,16.8,97.88,11.54,9.50,14.93,4.33,0.96
LeBron James,53.89,CLE,SF,TOR,38.49,9,208.5,-285,107.5,0,37.6,101.29,30.42,39.12,69.52,38.26,0.93
James Harden,56.71,HOU,SG,@ SAS,37.09,7,213.5,215,103.75,0,35.9,103.47,36.98,37.26,72.02,41.40,0.91
Richard Jefferson,8.35,CLE,SF,TOR,38.49,9,208.5,-285,107.5,0,19.6,101.29,11.86,9.67,12.94,3.76,0.84
Jonathon Simmons,7.22,SAS,SF,HOU,39.43,20,213.5,-255,109.75,0.5,17.3,97.88,17.62,8.96,11.05,3.39,0.72
Kyle Anderson,4.72,SAS,SF,HOU,39.43,20,213.5,-255,109.75,0.5,14.0,97.88,12.45,6.51,8.21,1.23,0.47
Delon Wright,4.71,TOR,PG,@ CLE,45.24,22,208.5,240,101,0,15.0,98.46,16.54,4.10,8.29,1.13,0.47
Davis Bertans,4.06,SAS,PF,HOU,46.22,26,213.5,-255,109.75,0.5,11.8,97.88,15.21,5.39,5.16,2.96,0.41
