Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3333,Jason,Terry,SG,MIL,BOS,MIL@BOS,7:30PM EDT,10,9.7, 
nba.p.4288,Spencer,Hawes,PF,MIL,BOS,MIL@BOS,7:30PM EDT,10,14.1, 
nba.p.4388,Michael,Beasley,PF,MIL,BOS,MIL@BOS,7:30PM EDT,16,16.4,INJ
nba.p.4722,Greg,Monroe,C,MIL,BOS,MIL@BOS,7:30PM EDT,18,24.9, 
nba.p.5020,John,Henson,C,MIL,BOS,MIL@BOS,7:30PM EDT,10,17.6,INJ
nba.p.5024,Terrence,Jones,SF,MIL,BOS,MIL@BOS,7:30PM EDT,12,21.9, 
nba.p.5073,Khris,Middleton,SF,MIL,BOS,MIL@BOS,7:30PM EDT,28,26.3, 
nba.p.5095,Mirza,Teletovic,PF,MIL,BOS,MIL@BOS,7:30PM EDT,10,11.3, 
nba.p.5185,Giannis,Antetokounmpo,PF,MIL,BOS,MIL@BOS,7:30PM EDT,52,45.8, 
nba.p.5190,Tony,Snell,SG,MIL,BOS,MIL@BOS,7:30PM EDT,10,16.3, 
nba.p.5249,Matthew,Dellavedova,SG,MIL,BOS,MIL@BOS,7:30PM EDT,10,17.3, 
nba.p.5293,Jabari,Parker,SF,MIL,BOS,MIL@BOS,7:30PM EDT,10,33.3,INJ
nba.p.5477,Rashad,Vaughn,SG,MIL,BOS,MIL@BOS,7:30PM EDT,10,6.8, 
nba.p.5641,Thon,Maker,C,MIL,BOS,MIL@BOS,7:30PM EDT,10,7, 
nba.p.5667,Malcolm,Brogdon,PG,MIL,BOS,MIL@BOS,7:30PM EDT,17,21.4, 
nba.p.3944,Gerald,Green,SF,BOS,MIL,MIL@BOS,7:30PM EDT,10,9.5, 
nba.p.3982,Amir,Johnson,PF,BOS,MIL,MIL@BOS,7:30PM EDT,10,16.7, 
nba.p.4245,Al,Horford,C,BOS,MIL,MIL@BOS,7:30PM EDT,27,33.4, 
nba.p.4644,Jonas,Jerebko,SF,BOS,MIL,MIL@BOS,7:30PM EDT,10,10.3,GTD
nba.p.4750,Avery,Bradley,SG,BOS,MIL,MIL@BOS,7:30PM EDT,23,29.7, 
nba.p.4942,Isaiah,Thomas,PG,BOS,MIL,MIL@BOS,7:30PM EDT,46,42.1, 
nba.p.5023,Tyler,Zeller,C,BOS,MIL,MIL@BOS,7:30PM EDT,10,8.6, 
nba.p.5068,Jae,Crowder,SF,BOS,MIL,MIL@BOS,7:30PM EDT,23,26.7, 
nba.p.5164,Kelly,Olynyk,PF,BOS,MIL,MIL@BOS,7:30PM EDT,11,18.8, 
nba.p.5317,Marcus,Smart,PG,BOS,MIL,MIL@BOS,7:30PM EDT,18,24.4, 
nba.p.5328,James,Young,SG,BOS,MIL,MIL@BOS,7:30PM EDT,10,4.7, 
nba.p.5476,Terry,Rozier,PG,BOS,MIL,MIL@BOS,7:30PM EDT,10,13, 
nba.p.5493,Jordan,Mickey,PF,BOS,MIL,MIL@BOS,7:30PM EDT,10,4, 
nba.p.5602,Jaylen,Brown,SF,BOS,MIL,MIL@BOS,7:30PM EDT,10,12.1, 
nba.p.5676,Demetrius,Jackson,PG,BOS,MIL,MIL@BOS,7:30PM EDT,10,4, 
nba.p.3832,Al,Jefferson,C,IND,MEM,IND@MEM,8:00PM EDT,10,15,INJ
nba.p.3960,C.J.,Miles,SG,IND,MEM,IND@MEM,8:00PM EDT,10,17.6, 
nba.p.3966,Monta,Ellis,SG,IND,MEM,IND@MEM,8:00PM EDT,10,18.3, 
nba.p.4290,Thaddeus,Young,PF,IND,MEM,IND@MEM,8:00PM EDT,17,22.8, 
nba.p.4293,Rodney,Stuckey,PG,IND,MEM,IND@MEM,8:00PM EDT,10,12.7,INJ
nba.p.4304,Aaron,Brooks,PG,IND,MEM,IND@MEM,8:00PM EDT,10,9.4, 
nba.p.4624,Jeff,Teague,PG,IND,MEM,IND@MEM,8:00PM EDT,28,33.4, 
nba.p.4725,Paul,George,SF,IND,MEM,IND@MEM,8:00PM EDT,42,37.5, 
nba.p.4748,Kevin,Seraphin,PF,IND,MEM,IND@MEM,8:00PM EDT,10,9, 
nba.p.4932,Lavoy,Allen,PF,IND,MEM,IND@MEM,8:00PM EDT,10,9.6, 
nba.p.5351,Glenn,Robinson III,SF,IND,MEM,IND@MEM,8:00PM EDT,10,13,INJ
nba.p.5471,Myles,Turner,C,IND,MEM,IND@MEM,8:00PM EDT,22,30.3, 
nba.p.5496,Rakeem,Christmas,C,IND,MEM,IND@MEM,8:00PM EDT,10,5.8, 
nba.p.5503,Joe,Young,SG,IND,MEM,IND@MEM,8:00PM EDT,10,3.7, 
nba.p.5681,Georges,Niang,PF,IND,MEM,IND@MEM,8:00PM EDT,10,2.2, 
nba.p.3248,Vince,Carter,SF,MEM,IND,IND@MEM,8:00PM EDT,10,17, 
nba.p.3531,Zach,Randolph,PF,MEM,IND,IND@MEM,8:00PM EDT,18,26.4, 
nba.p.3842,Tony,Allen,SG,MEM,IND,IND@MEM,8:00PM EDT,10,20.6, 
nba.p.4246,Mike,Conley,PG,MEM,IND,IND@MEM,8:00PM EDT,36,36, 
nba.p.4286,Brandan,Wright,C,MEM,IND,IND@MEM,8:00PM EDT,10,11.9, 
nba.p.4325,Marc,Gasol,C,MEM,IND,IND@MEM,8:00PM EDT,30,37.1,INJ
nba.p.4920,Chandler,Parsons,SF,MEM,IND,IND@MEM,8:00PM EDT,10,12.8,INJ
nba.p.5220,James,Ennis III,SF,MEM,IND,IND@MEM,8:00PM EDT,10,14.2, 
nba.p.5262,JaMychal,Green,PF,MEM,IND,IND@MEM,8:00PM EDT,10,20.8,GTD
nba.p.5282,Troy,Daniels,SG,MEM,IND,IND@MEM,8:00PM EDT,10,11.7, 
nba.p.5485,Jarell,Martin,PF,MEM,IND,IND@MEM,8:00PM EDT,10,9.4, 
nba.p.5504,Andrew,Harrison,PG,MEM,IND,IND@MEM,8:00PM EDT,10,13.4, 
nba.p.5648,Wade,Baldwin IV,PG,MEM,IND,IND@MEM,8:00PM EDT,10,8.2, 
nba.p.5662,Deyonta,Davis,PF,MEM,IND,IND@MEM,8:00PM EDT,10,4.7, 
nba.p.5708,Wayne,Selden Jr.,SG,MEM,IND,IND@MEM,8:00PM EDT,10,6.1, 
nba.p.3715,Nick,Collison,PF,OKC,ORL,OKC@ORL,7:00PM EDT,10,4.2, 
nba.p.4390,Russell,Westbrook,PG,OKC,ORL,OKC@ORL,7:00PM EDT,64,59.6, 
nba.p.4631,Taj,Gibson,PF,OKC,ORL,OKC@ORL,7:00PM EDT,14,21.8, 
nba.p.4899,Enes,Kanter,C,OKC,ORL,OKC@ORL,7:00PM EDT,19,24.7, 
nba.p.4910,Norris,Cole,PG,OKC,ORL,OKC@ORL,7:00PM EDT,10,4.9, 
nba.p.4915,Kyle,Singler,SG,OKC,ORL,OKC@ORL,7:00PM EDT,10,4, 
nba.p.5153,Victor,Oladipo,SG,OKC,ORL,OKC@ORL,7:00PM EDT,24,27.8, 
nba.p.5163,Steven,Adams,C,OKC,ORL,OKC@ORL,7:00PM EDT,17,24.9, 
nba.p.5196,Andre,Roberson,SF,OKC,ORL,OKC@ORL,7:00PM EDT,11,18.2, 
nba.p.5202,Alex,Abrines,SG,OKC,ORL,OKC@ORL,7:00PM EDT,10,9.8, 
nba.p.5322,Doug,McDermott,SF,OKC,ORL,OKC@ORL,7:00PM EDT,10,14.6, 
nba.p.5340,Josh,Huestis,SF,OKC,ORL,OKC@ORL,7:00PM EDT,10,15.8, 
nba.p.5350,Jerami,Grant,SF,OKC,ORL,OKC@ORL,7:00PM EDT,10,11.9, 
nba.p.5366,Semaj,Christon,PG,OKC,ORL,OKC@ORL,7:00PM EDT,10,7.9, 
nba.p.5642,Domantas,Sabonis,PF,OKC,ORL,OKC@ORL,7:00PM EDT,10,12.8, 
nba.p.4247,Jeff,Green,PF,ORL,OKC,OKC@ORL,7:00PM EDT,10,15.5,INJ
nba.p.4354,C.J.,Watson,PG,ORL,OKC,OKC@ORL,7:00PM EDT,10,9.8, 
nba.p.4471,D.J.,Augustin,PG,ORL,OKC,OKC@ORL,7:00PM EDT,10,14.4, 
nba.p.4646,Jodie,Meeks,SG,ORL,OKC,OKC@ORL,7:00PM EDT,10,15.9, 
nba.p.4888,Bismack,Biyombo,C,ORL,OKC,OKC@ORL,7:00PM EDT,10,17.6, 
nba.p.4897,Nikola,Vucevic,C,ORL,OKC,OKC@ORL,7:00PM EDT,30,33.8, 
nba.p.5014,Terrence,Ross,SF,ORL,OKC,OKC@ORL,7:00PM EDT,16,18.7, 
