Russell Westbrook,57.8,59.7,49.0,70.4,60.2,60.2
Kyle Lowry,46.3,42.4,33.5,51.4,50.5,50.5
Isaiah Thomas,54.6,43.6,34.0,53.3,50.2,50.2
Damian Lillard,37.3,42.0,31.9,52.1,40.5,40.5
Blake Griffin,40.8,40.1,31.3,48.9,40.3,40.3
C.J. McCollum,35.4,36.7,25.9,47.5,35.1,35.1
Al Horford,33.7,34.9,26.2,43.7,34.4,34.4
Brook Lopez,32.6,33.2,23.3,43.1,33.4,33.4
Jonas Valanciunas,29.0,26.6,17.8,35.4,32.7,32.7
Mason Plumlee,31.1,30.1,21.7,38.5,32.0,32.0
DeAndre Jordan,28.3,33.4,24.2,42.7,30.1,30.1
Steven Adams,25.6,26.0,17.9,34.2,28.9,28.9
Victor Oladipo,26.1,28.0,19.6,36.4,28.8,28.8
Norman Powell,21.3,12.6,2.0,23.1,28.0,28.0
Jae Crowder,33.6,27.1,19.6,34.6,27.3,27.3
Austin Rivers,30.1,19.8,10.0,29.7,26.7,26.7
J.J. Redick,24.5,22.1,13.4,30.8,25.6,25.6
Marcus Smart,26.9,24.1,16.5,31.7,25.0,25.0
Jamal Crawford,26.0,18.9,9.8,28.0,24.9,24.9
Al-Farouq Aminu,23.4,22.4,15.4,29.3,24.0,24.0
Raymond Felton,21.8,16.6,7.2,25.9,23.6,23.6
Evan Turner,24.0,20.9,13.8,27.9,22.6,22.6
Bojan Bogdanovic,21.6,21.3,13.1,29.5,22.0,22.0
Terrence Ross,18.5,17.8,10.1,25.5,21.7,21.7
Lucas Nogueira,19.4,17.3,9.1,25.4,21.6,21.6
Sean Kilpatrick,19.3,22.7,12.0,33.3,21.4,21.4
Rondae Hollis-Jefferson,19.9,18.6,10.6,26.7,20.1,20.1
DeMarre Carroll,13.7,18.4,9.4,27.3,19.9,19.9
Cory Joseph,12.6,17.0,9.1,25.0,19.3,19.3
Trevor Booker,20.7,25.5,17.0,34.0,19.2,19.2
Jaylen Brown,20.6,10.2,2.3,18.1,18.7,18.7
Marreese Speights,13.7,18.8,10.5,27.0,18.4,18.4
Kelly Olynyk,19.5,18.3,9.5,27.0,17.8,17.8
Andre Roberson,14.6,18.1,10.7,25.4,17.0,17.0
Spencer Dinwiddie,17.8,15.6,8.3,22.8,16.6,16.6
Moe Harkless,14.9,21.4,13.5,29.4,16.3,16.3
Domantas Sabonis,12.7,13.4,6.5,20.2,15.2,15.2
Joffrey Lauvergne,13.4,11.5,3.6,19.5,15.2,15.2
Justin Hamilton,16.2,16.0,8.5,23.5,14.7,14.7
Isaiah Whitehead,19.7,15.4,8.9,22.0,14.6,14.6
Allen Crabbe,18.6,17.4,9.5,25.3,14.5,14.5
Joe Harris,15.9,15.3,8.0,22.6,14.2,14.2
Terry Rozier,11.5,13.5,6.6,20.5,14.0,14.0
Cameron Payne,14.0,11.6,6.7,16.6,13.9,13.9
Randy Foye,13.5,12.0,5.1,18.8,13.7,13.7
Jonas Jerebko,14.5,11.6,5.7,17.5,13.5,13.5
Jared Sullinger,8.2,9.8,2.9,16.8,13.2,13.2
Amir Johnson,15.2,16.7,8.2,25.2,12.2,12.2
Brandon Bass,11.2,9.8,3.5,16.0,11.4,11.4
Jerami Grant,12.2,12.9,7.8,17.9,11.3,11.3
Ed Davis,8.7,12.2,5.3,19.1,11.0,11.0
Alex Abrines,7.1,8.7,2.4,15.0,8.9,8.9
Jakob Poeltl,4.3,6.6,1.5,11.8,8.2,8.2
Pascal Siakam,9.7,11.2,5.0,17.4,7.8,7.8
Noah Vonleh,11.3,9.1,2.8,15.4,7.0,7.0
Anthony Morrow,10.3,8.8,2.3,15.3,5.8,5.8
Wesley Johnson,8.4,10.0,3.5,16.5,5.1,5.1
Luc Mbah a Moute,13.6,13.0,6.5,19.5,5.0,5.0
Nick Collison,2.4,3.5,-0.5,7.6,3.0,3.0
Tim Quarterman,1.5,3.1,0.7,5.4,0.0,0.0
Gerald Green,7.8,9.3,2.6,16.0,0.0,0.0
Josh Huestis,0.0,0.0,0.0,0.0,0.0,0.0
Demetrius Jackson,5.0,5.0,-1.9,11.8,0.0,0.0
Paul Pierce,6.6,6.5,3.0,10.0,0.0,0.0
Diamond Stone,3.2,3.2,-1.5,7.8,0.0,0.0
Semaj Christon,5.9,8.8,4.0,13.6,0.0,0.0
Kyle Singler,3.1,3.7,0.7,6.8,0.0,0.0
DeMar DeRozan,38.7,40.7,31.7,49.6,0.0,0.0
Brice Johnson,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Patterson,18.8,19.2,12.7,25.6,0.0,0.0
Jake Layman,2.9,4.2,-1.5,9.9,0.0,0.0
Fred VanVleet,7.1,5.6,-1.9,13.2,0.0,0.0
Delon Wright,0.0,0.0,0.0,0.0,0.0,0.0
Pat Connaughton,5.3,3.8,0.4,7.2,0.0,0.0
Caris LeVert,17.6,15.0,6.6,23.5,0.0,0.0
Bruno Caboclo,0.5,2.1,-0.3,4.6,0.0,0.0
Chris McCullough,3.7,4.9,-1.2,11.1,0.0,0.0
Festus Ezeli,0.0,0.0,0.0,0.0,0.0,0.0
Chris Paul,45.3,42.4,32.7,52.1,0.0,0.0
Jordan Mickey,6.2,5.4,2.0,8.8,0.0,0.0
Tyler Zeller,11.3,10.4,1.6,19.2,0.0,0.0
Enes Kanter,23.4,25.2,15.4,35.1,0.0,0.0
Shabazz Napier,2.8,6.4,0.7,12.2,0.0,0.0
Meyers Leonard,13.5,11.6,3.0,20.1,0.0,0.0
Alan Anderson,6.5,5.4,0.8,10.0,0.0,0.0
Jeremy Lin,26.7,28.1,19.8,36.4,0.0,0.0
James Young,3.3,3.8,-2.3,9.8,0.0,0.0
Luis Scola,11.4,11.6,4.3,18.9,0.0,0.0
Quincy Acy,9.7,9.3,1.5,17.0,0.0,0.0
Avery Bradley,30.8,31.9,23.2,40.6,0.0,0.0
