Robin Lopez,29.27,CHI,C,@ NOP,48.30,19,209.5,315,100.75,-0.75,27.5,98.73,16.63,33.00,37.47,21.07,2.93
Troy Daniels,25.23,MEM,SG,@ LAL,39.89,22,205.5,-330,106.5,-0.25,17.2,97.74,20.34,30.00,35.07,15.39,2.52
Monta Ellis,29.96,IND,SG,@ CLE,42.19,30,214.5,345,103,0.5,26.6,100.83,17.18,33.00,39.85,20.07,2.5
Shawn Long,24.95,PHI,C,@ TOR,46.23,8,211.5,510,100.5,0,13.1,102.22,23.63,19.80,33.93,15.97,2.5
James Ennis,24.25,MEM,SF,@ LAL,41.48,28,205.5,-330,106.5,-0.25,23.4,97.74,12.34,32.00,31.52,16.98,2.43
Ron Baker,24,NYK,PG,BOS,44.79,20,206.5,285,99.5,-2.75,14.6,101.39,16.00,37.50,34.08,13.92,2.4
Tim Frazier,23.74,NOP,PG,CHI,45.33,22,209.5,-375,108.75,0.75,23.1,101.62,18.09,31.00,35.14,12.34,2.37
Brandan Wright,23.46,MEM,C,@ LAL,52.78,29,205.5,-330,106.5,-0.25,14.7,97.74,16.22,25.00,30.03,16.89,2.35
David Lee,22.88,SAS,PF,UTA,39.86,1,189.0,-220,97.25,0.25,18.0,97.88,16.40,24.00,30.66,15.10,2.29
Yogi Ferrell,22.65,DAL,PG,@ MIL,42.41,6,195.5,225,94.5,-1,24.8,94.37,18.69,30.00,40.54,4.76,2.27
C.J. Miles,21.76,IND,SG,@ CLE,42.19,30,214.5,345,103,0.5,22.9,100.83,17.13,25.00,30.46,13.06,2.18
J.J. Barea,21.4,DAL,SG,@ MIL,37.82,9,195.5,225,94.5,-1,22.0,94.37,25.21,26.00,N/A,N/A,2.14
Jamal Murray,21,DEN,PG,@ MIA,41.87,4,219.0,145,107.75,0.25,19.9,102.68,22.24,28.56,33.39,8.61,2.1
Nene Hilario,20.92,HOU,C,@ PHO,49.62,25,236.5,-800,124,1.5,17.2,103.47,19.64,18.00,29.71,12.13,2.09
Sasha Vujacic,20.65,NYK,SG,BOS,38.14,11,206.5,285,99.5,-2.75,8.0,101.39,17.94,27.87,33.45,7.85,2.07
J.R. Smith,20.62,CLE,SG,IND,38.52,16,214.5,-415,111.5,0,27.5,101.29,14.22,29.44,29.90,11.34,2.06
Mirza Teletovic,20.56,MIL,PF,DAL,43.15,8,195.5,-265,101,-0.5,15.3,99.06,18.24,22.00,28.58,12.54,2.06
Andre Roberson,20.22,OKC,SF,CHA,39.60,22,212.5,-190,108.5,-1.25,29.9,102.86,10.15,32.08,28.11,12.33,2.02
Domantas Sabonis,19.62,OKC,PF,CHA,44.49,15,212.5,-190,108.5,-1.25,20.1,102.86,15.14,31.00,26.09,13.15,1.96
Amir Johnson,19.63,BOS,PF,@ NYK,45.59,23,206.5,-340,107,-1.75,19.7,99.63,13.62,21.20,28.27,10.99,1.96
Tony Allen,21.36,MEM,SG,@ LAL,39.89,22,205.5,-330,106.5,-0.25,26.9,97.74,16.75,28.00,31.40,11.32,1.94
Jaylen Brown,19.43,BOS,SF,@ NYK,39.58,20,206.5,-340,107,-1.75,16.4,99.63,17.39,26.00,27.78,11.08,1.94
Denzel Valentine,19.31,CHI,SG,@ NOP,39.56,20,209.5,315,100.75,-0.75,17.1,98.73,15.59,28.00,28.39,10.23,1.93
Solomon Hill,21.21,NOP,SF,CHI,39.57,19,209.5,-375,108.75,0.75,28.8,101.62,11.28,30.08,29.91,12.51,1.93
Kent Bazemore,21.03,ATL,SG,@ BKN,42.16,29,215.5,-142,109,-0.25,26.8,101.70,20.20,21.76,31.76,10.30,1.91
Justin Anderson,22.91,PHI,PF,@ TOR,43.24,9,211.5,510,100.5,0,15.0,102.22,20.06,31.00,32.30,13.52,1.91
Shelvin Mack,18.99,UTA,PG,@ SAS,41.91,5,189.0,190,91.75,-0.25,20.7,94.33,18.96,24.00,28.67,9.31,1.9
Enes Kanter,32.25,OKC,C,CHA,49.12,21,212.5,-190,108.5,-1.25,21.1,102.86,26.57,28.00,44.51,20.00,1.9
Matt Barnes,18.76,GSW,SF,WAS,38.50,9,222.0,-530,115.75,-0.75,23.7,104.67,15.90,23.90,30.20,7.32,1.88
Tony Parker,18.55,SAS,PG,UTA,40.92,2,189.0,-220,97.25,0.25,24.9,97.88,20.37,24.00,29.31,7.79,1.86
Andre Iguodala,20.38,GSW,SG,WAS,38.40,15,222.0,-530,115.75,-0.75,25.9,104.67,12.16,28.40,29.55,11.21,1.85
Manu Ginobili,18.42,SAS,SG,UTA,34.29,1,189.0,-220,97.25,0.25,18.4,97.88,20.55,22.00,27.45,9.39,1.84
Cody Zeller,25.28,CHA,C,@ OKC,46.49,9,212.5,165,104,-0.25,27.3,100.51,14.97,31.00,37.41,13.15,1.81
Jonas Valanciunas,28.76,TOR,C,PHI,54.48,30,211.5,-660,111,-0.5,25.4,98.46,18.30,25.80,37.68,19.84,1.8
Thaddeus Young,27.07,IND,PF,@ CLE,43.46,11,214.5,345,103,0.5,29.5,100.83,15.55,29.00,37.63,16.51,1.8
Timothe Luwawu-Cabarrot,17.89,PHI,SG,@ TOR,35.21,2,211.5,510,100.5,0,15.2,102.22,17.05,32.00,25.40,10.38,1.79
Jordan Crawford,23.21,NOP,SG,CHI,37.51,6,209.5,-375,108.75,0.75,22.4,101.62,24.07,24.90,29.24,17.18,1.79
Steven Adams,26.9,OKC,C,CHA,49.12,21,212.5,-190,108.5,-1.25,29.7,102.86,16.05,33.00,36.05,17.75,1.79
Nikola Mirotic,30.18,CHI,PF,@ NOP,44.88,20,209.5,315,100.75,-0.75,23.4,98.73,18.76,31.22,42.55,17.81,1.78
Josh Richardson,21.21,MIA,SG,DEN,41.87,28,219.0,-165,111.25,-0.25,29.0,98.61,16.68,31.26,33.30,9.12,1.77
