Jimmy Butler,48.4,43.4,30.6,56.2,54.2,54.2
Giannis Antetokounmpo,49.4,47.2,35.8,58.7,49.5,49.5
Paul George,54.0,38.9,29.0,48.8,47.6,47.6
Karl-Anthony Towns,43.3,45.8,35.7,55.9,47.3,47.3
John Wall,53.9,46.5,37.3,55.8,46.5,46.5
Damian Lillard,42.5,43.0,33.5,52.5,44.2,44.2
Isaiah Thomas,43.6,42.6,33.9,51.3,42.5,42.5
Elfrid Payton,38.2,29.2,16.5,41.9,41.5,41.5
Nikola Vucevic,32.3,33.9,23.9,43.9,41.0,41.0
Dwight Howard,36.9,33.8,24.0,43.6,38.1,38.1
Ricky Rubio,40.5,31.4,20.8,42.1,36.9,36.9
Aaron Gordon,36.0,23.0,12.8,33.2,36.9,36.9
Dennis Schroder,37.3,31.0,20.9,41.0,36.8,36.8
Carmelo Anthony,26.4,36.3,25.9,46.7,36.3,36.3
Brook Lopez,40.9,34.9,25.5,44.2,35.5,35.5
C.J. McCollum,36.1,35.7,25.2,46.1,35.2,35.2
Bradley Beal,30.5,34.7,25.1,44.3,34.5,34.5
Jeff Teague,34.3,33.6,23.9,43.2,34.4,34.4
Jeremy Lin,30.3,27.5,19.8,35.3,34.1,34.1
Andrew Wiggins,32.7,33.2,22.7,43.6,33.7,33.7
Al Horford,30.8,33.0,23.8,42.2,32.8,32.8
T.J. McConnell,27.7,22.3,14.1,30.4,30.5,30.5
Paul Millsap,29.0,35.6,24.4,46.8,30.2,30.2
Gorgui Dieng,31.4,26.3,18.5,34.1,30.2,30.2
Khris Middleton,28.1,27.4,18.5,36.4,30.1,30.1
Nikola Mirotic,33.3,21.2,10.7,31.7,28.7,28.7
Myles Turner,23.0,30.2,21.3,39.2,28.1,28.1
Avery Bradley,25.6,30.1,21.0,39.3,28.0,28.0
Jae Crowder,24.5,26.6,18.6,34.6,27.9,27.9
Tim Hardaway Jr.,22.0,22.5,12.2,32.8,27.5,27.5
Otto Porter,19.5,28.6,18.0,39.2,26.5,26.5
Robin Lopez,20.5,21.7,13.8,29.5,25.5,25.5
Richaun Holmes,28.9,19.8,9.1,30.6,25.3,25.3
