Marcin Gortat,WAS,C,31.07,5.46,0.00,10.61,1.55,0.65,0.98,1.54,12.83
Evan Fournier,ORL,SG,29.72,2.99,1.50,2.70,2.89,0.94,0.05,1.94,12.67
Andre Drummond,DET,C,27.32,5.29,0.00,10.88,0.81,1.55,0.99,1.94,12.65
Kentavious Caldwell-Pope,DET,SG,32.31,2.14,2.16,3.13,2.22,1.30,0.18,1.50,12.62
Michael Beasley,MIL,SF,19.21,5.00,0.16,4.42,1.27,0.41,0.48,1.50,12.44
Tyler Johnson,MIA,PG,25.67,3.23,1.06,3.70,3.03,0.85,0.56,1.22,12.19
Derrick Favors,UTA,PF,23.41,4.87,0.00,5.78,1.10,0.75,0.68,1.37,12.12
JaVale McGee,GSW,C,16.73,5.43,0.00,4.83,0.35,0.35,1.07,0.94,12.09
Dion Waiters,MIA,PG,26.67,2.99,1.31,2.87,2.89,0.92,0.31,1.92,11.97
Tobias Harris,DET,SF,24.25,3.22,1.02,3.81,1.36,0.54,0.31,1.12,11.75
Myles Turner,IND,C,27.06,4.34,0.15,5.73,0.91,0.56,1.37,1.23,11.73
Kent Bazemore,ATL,SG,29.07,2.70,1.56,4.23,2.53,1.28,0.65,1.96,11.68
Marcus Morris,DET,SF,31.86,2.45,1.70,4.32,2.21,0.61,0.24,1.48,11.68
Deron Williams,DAL,PG,27.31,3.12,1.27,2.57,5.65,0.60,0.11,2.37,11.66
Jameer Nelson,DEN,PG,33.70,2.67,1.79,3.55,7.39,0.94,0.12,2.86,11.49
Dwight Howard,ATL,C,30.91,4.28,0.00,12.19,1.27,0.87,1.20,2.37,11.47
Sean Kilpatrick,BKN,PG,23.83,2.21,1.66,3.51,1.79,0.46,0.10,2.04,11.45
Jamal Murray,DEN,PG,22.71,2.13,1.76,3.10,2.31,0.69,0.41,1.81,11.37
Tim Hardaway Jr.,ATL,PG,23.50,1.77,1.99,2.58,1.87,0.69,0.18,1.12,11.35
Michael Kidd-Gilchrist,CHA,SF,30.73,4.27,0.01,8.07,1.57,0.82,0.93,1.00,11.33
Otto Porter Jr.,WAS,SF,30.90,2.00,1.99,6.58,1.70,1.30,0.55,0.85,11.29
Marquese Chriss,PHX,PF,22.39,3.23,1.17,4.77,0.92,0.95,0.70,1.45,11.22
Khris Middleton,MIL,SG,23.33,2.86,1.04,2.73,3.12,0.98,0.13,1.48,11.05
Terrence Jones,NO,PF,26.77,3.78,0.32,6.24,1.38,0.88,1.13,1.29,10.98
Steven Adams,OKC,C,31.28,4.76,0.00,7.82,1.09,1.14,0.92,2.37,10.93
Marreese Speights,LAC,C,16.48,2.56,1.24,4.29,0.92,0.39,0.41,0.83,10.93
Wayne Ellington,MIA,PG,22.84,1.45,2.36,2.52,1.27,0.57,0.09,0.67,10.92
Buddy Hield,NO,SG,21.76,1.60,2.32,3.40,1.63,0.39,0.15,1.06,10.83
Tony Parker,SA,PG,28.64,4.25,0.19,2.53,5.29,0.64,0.09,1.91,10.83
Kelly Olynyk,BOS,PF,22.16,2.82,1.13,4.53,1.87,0.46,0.28,1.43,10.50
James Johnson,MIA,PF,26.68,2.83,0.91,4.74,3.22,0.82,1.01,2.16,10.41
Dario Saric,PHI,SF,22.98,2.33,1.42,5.81,1.65,0.52,0.29,2.00,10.39
John Henson,MIL,C,22.96,4.43,0.00,5.54,1.36,0.54,1.58,1.41,10.33
Al-Farouq Aminu,POR,PF,36.89,1.61,1.81,8.38,2.58,1.48,0.98,2.15,10.17
Draymond Green,GSW,PF,34.85,2.74,0.83,9.18,7.82,1.89,1.44,2.75,10.17
Jon Leuer,DET,PF,24.62,3.35,0.63,5.34,1.41,0.50,0.42,1.17,10.08
Frank Kaminsky,CHA,PF,23.82,2.28,1.17,4.94,1.83,0.76,0.53,1.01,9.95
Brandon Knight,PHX,PG,17.54,2.40,1.22,2.10,2.47,0.47,0.13,1.80,9.95
Elfrid Payton,ORL,PG,27.50,3.78,0.34,3.41,5.44,0.90,0.32,2.24,9.87
Nerlens Noel,PHI,C,20.75,4.12,0.00,5.54,1.22,1.05,1.02,1.55,9.67
Mirza Teletovic,MIL,PF,17.08,1.24,2.13,3.00,0.96,0.19,0.19,0.86,9.66
Maurice Harkless,POR,SF,27.94,3.10,0.76,4.86,1.07,1.19,0.94,1.30,9.53
Nik Stauskas,PHI,SG,29.59,1.39,1.87,3.18,2.58,0.51,0.47,1.74,9.53
Aaron Gordon,ORL,SF,27.42,2.77,0.74,5.35,1.93,0.61,0.41,1.01,9.38
Tony Allen,MEM,SG,27.41,3.75,0.07,5.64,1.30,1.86,0.49,1.48,9.35
Chandler Parsons,MEM,SF,21.28,2.17,1.24,3.08,2.12,0.57,0.22,0.98,9.26
David Lee,SA,PF,21.95,3.77,0.00,6.53,1.89,0.47,0.49,1.50,9.17
Jamal Crawford,LAC,SG,20.11,2.14,1.01,1.31,2.10,0.56,0.12,1.23,9.16
Allen Crabbe,POR,SG,23.34,1.72,1.32,2.47,1.17,0.71,0.23,0.82,9.05
Troy Daniels,MEM,PG,14.57,0.73,2.25,1.40,0.67,0.37,0.07,0.61,9.04
Malcolm Brogdon,MIL,PG,25.90,2.51,0.78,2.86,4.84,1.13,0.13,1.55,8.97
Johnny O'Bryant,DEN,PF,15.71,2.73,0.61,3.76,1.16,0.50,0.40,0.94,8.89
Jason Smith,WAS,C,14.89,3.72,0.04,3.58,0.63,0.37,0.75,0.79,8.71
Marco Belinelli,CHA,SG,19.76,1.70,1.17,2.19,1.63,0.51,0.09,0.94,8.67
Jeremy Lamb,CHA,SG,17.21,2.39,0.61,3.88,1.14,0.54,0.40,0.74,8.53
TJ McConnell,PHI,PG,30.96,3.75,0.14,4.15,7.61,1.44,0.16,2.48,8.49
Rudy Gobert,UTA,C,30.67,2.86,0.00,10.73,1.25,0.63,1.48,1.92,8.48
Yogi Ferrell,DAL,PG,22.18,1.29,1.48,2.10,3.03,0.71,0.23,1.72,8.47
James Michael McAdoo,GSW,SF,15.90,2.05,0.95,2.89,1.35,0.55,0.28,0.84,8.41
Jeff Green,ORL,SF,19.66,2.36,0.58,2.80,1.02,0.42,0.26,1.07,8.39
DeAndre Jordan,LAC,C,29.33,3.46,0.00,11.12,1.12,0.62,1.27,1.60,8.29
Patty Mills,SA,PG,18.47,1.14,1.68,1.88,2.88,0.55,0.02,1.23,8.26
Tyreke Evans,NO,PG,17.48,1.94,0.80,2.82,3.74,0.78,0.13,1.74,8.18
JaMychal Green,MEM,PF,24.77,2.62,0.38,6.40,1.39,0.83,0.50,1.21,8.12
Thon Maker,MIL,PF,11.85,1.74,1.17,3.54,0.41,0.38,0.61,0.41,8.06
Joe Harris,BKN,SG,19.83,1.07,1.76,2.66,0.98,0.47,0.09,1.15,8.03
Danny Green,SA,SG,27.28,0.66,2.05,3.62,1.72,1.17,0.75,1.12,8.01
Trevor Booker,BKN,PF,22.81,3.18,0.14,7.06,1.89,0.87,0.47,1.78,7.99
Ian Mahinmi,WAS,PF,22.75,3.00,0.00,5.92,1.31,0.75,0.83,1.20,7.97
Langston Galloway,NO,PG,17.67,1.04,1.67,2.33,1.67,0.83,0.14,0.58,7.93
Gerald Henderson,PHI,SG,20.38,2.43,0.58,2.65,1.35,0.41,0.24,0.88,7.90
Alec Burks,UTA,PG,18.16,1.95,0.59,2.50,1.26,0.32,0.10,1.06,7.87
Vince Carter,MEM,SG,22.04,1.21,1.38,3.07,1.68,0.80,0.52,0.63,7.79
Meyers Leonard,POR,PF,18.84,1.53,1.42,4.27,1.12,0.11,0.37,1.01,7.74
Caris Levert,BKN,SG,22.01,1.35,1.29,3.23,1.84,0.93,0.19,1.46,7.70
Ian Clark,GSW,PG,15.87,2.02,0.95,1.86,1.87,0.59,0.22,1.02,7.67
Ish Smith,DET,PG,19.18,2.88,0.33,2.17,3.80,0.62,0.28,1.55,7.64
