T. Young,PF,Pacers,false,28,6,13,0,0,0,1,4,4,2,0,0,1,1,-3,12,false
P. George,SF,Pacers,false,39,10,22,4,10,4,5,0,9,3,1,0,3,3,-12,28,false
M. Turner,C,Pacers,false,39,4,7,1,1,0,1,3,6,2,1,4,1,4,1,9,false
J. Teague,PG,Pacers,false,34,4,9,2,3,9,10,0,4,5,1,0,1,3,-1,19,false
M. Ellis,SG,Pacers,false,33,2,11,0,3,0,0,0,2,4,3,0,3,2,5,4,false
L. Allen,PF,Pacers,false,16,1,2,0,0,0,0,3,1,0,0,0,3,0,-6,2,true
R. Christmas,PF,Pacers,false,8,0,0,0,0,0,0,0,0,1,0,0,0,3,-14,0,true
C. Miles,SF,Pacers,false,27,5,14,3,6,2,2,1,2,0,1,0,0,2,-16,15,true
A. Brooks,PG,Pacers,false,15,4,9,1,3,2,2,1,2,2,0,0,1,3,-9,11,true
S. Ibaka,PF,Raptors,true,30,6,10,3,4,0,0,5,7,2,0,2,1,3,6,15,false
D. Carroll,SF,Raptors,true,22,4,9,4,8,0,0,1,0,4,0,1,1,3,3,12,false
J. Valanciunas,C,Raptors,true,28,5,9,0,0,6,9,4,13,1,1,2,2,2,13,16,false
C. Joseph,PG,Raptors,true,29,3,5,0,2,0,0,0,2,6,1,0,3,3,0,6,false
D. DeRozan,SG,Raptors,true,38,11,26,3,4,15,20,2,7,4,1,0,3,1,14,40,false
P. Patterson,PF,Raptors,true,21,1,5,1,4,0,0,0,0,0,2,0,1,0,9,3,true
P. Tucker,SF,Raptors,true,27,3,8,2,3,0,0,2,5,0,1,0,1,5,9,8,true
J. Poeltl,C,Raptors,true,14,0,1,0,0,0,2,0,1,0,0,0,0,2,-1,0,true
D. Wright,PG,Raptors,true,21,4,5,1,1,2,4,2,0,6,0,0,1,0,5,11,true
N. Powell,SG,Raptors,true,10,0,4,0,1,0,0,0,2,0,1,0,1,4,-3,0,true
N. Jokic,PF,Nuggets,false,37,11,16,2,3,2,3,3,10,10,0,0,2,4,3,26,false
K. Faried,PF,Nuggets,false,32,9,17,0,0,0,1,3,10,2,1,1,2,2,1,18,false
