Austin Rivers,23.35,LAC,PG,SAC,44.57,19,211.0,-1200,112,-0.25,27.4,99.86,19.87,33.24,34.79,11.91,2.34
Solomon Hill,22.6,NOP,SF,@ DEN,39.40,18,225.5,210,109.75,-1,28.7,101.62,11.32,32.37,31.41,13.79,2.26
Robin Lopez,22.27,CHI,C,@ MIL,48.64,19,202.0,220,97.75,-0.5,27.3,98.73,16.68,24.94,30.51,14.03,2.23
Skal Labissiere,24.19,SAC,PF,@ LAC,44.62,17,211.0,825,99,0.25,14.2,99.24,22.04,22.50,32.90,15.48,2.2
Monta Ellis,21.32,IND,SG,PHI,39.03,18,211.0,-430,109.75,0,26.3,100.83,17.24,25.41,30.91,11.73,2.13
Jamal Crawford,21.23,LAC,SG,SAC,40.45,27,211.0,-1200,112,-0.25,25.9,99.86,22.15,25.77,29.72,12.74,2.12
Nene Hilario,20.92,HOU,C,OKC,46.00,8,231.0,-240,118.5,-0.25,17.0,103.47,19.47,21.00,29.71,12.13,2.09
Buddy Hield,22.34,SAC,SG,@ LAC,36.54,5,211.0,825,99,0.25,21.5,99.24,20.07,31.00,31.50,13.18,2.03
Tony Allen,20.2,MEM,SG,@ GSW,37.56,7,207.5,475,98.5,-0.5,26.9,97.74,16.75,28.25,30.50,9.90,2.02
Vince Carter,20.23,MEM,SF,@ GSW,38.38,8,207.5,475,98.5,-0.5,23.7,97.74,14.65,26.48,28.73,11.73,2.02
Raymond Felton,20.03,LAC,SF,SAC,39.34,17,211.0,-1200,112,-0.25,21.1,99.86,16.71,26.92,32.65,7.41,2
Noah Vonleh,19.53,POR,PF,@ LAL,48.89,30,219.5,-260,113,-1.25,14.9,101.32,13.27,23.52,25.39,13.67,1.95
Allen Crabbe,19.37,POR,SG,@ LAL,40.31,25,219.5,-260,113,-1.25,27.8,101.32,14.19,29.60,25.37,13.37,1.94
Larry Nance,19.11,LAL,PF,POR,46.49,28,219.5,220,106.5,-1.75,21.3,101.60,13.75,18.90,28.66,9.55,1.91
E'Twaun Moore,19.05,NOP,SG,@ DEN,41.82,28,225.5,210,109.75,-1,24.9,101.62,17.22,26.06,27.24,10.86,1.91
Amir Johnson,18.7,BOS,PF,MIA,42.15,5,210.5,-210,107.75,0.5,19.6,99.63,13.69,21.98,27.11,10.29,1.87
Marreese Speights,18.5,LAC,PF,SAC,45.92,26,211.0,-1200,112,-0.25,15.4,99.86,22.77,15.11,26.45,10.54,1.85
Nik Stauskas,18.37,PHI,SG,@ IND,38.58,16,211.0,360,101.25,0,26.6,102.22,16.18,28.82,25.90,10.84,1.84
Nikola Mirotic,23.89,CHI,PF,@ MIL,44.07,13,202.0,220,97.75,-0.5,22.9,98.73,18.83,25.23,35.60,12.18,1.84
Bobby Portis,18.05,CHI,PF,@ MIL,44.07,13,202.0,220,97.75,-0.5,14.5,98.73,18.62,20.19,27.26,8.84,1.81
Josh Richardson,21.65,MIA,SG,@ BOS,37.99,11,210.5,180,102.75,1,28.6,98.61,16.73,35.33,34.86,8.44,1.8
Shawn Long,17.86,PHI,PF,@ IND,44.79,19,211.0,360,101.25,0,11.0,102.22,24.74,11.98,27.86,7.86,1.79
Clint Capela,30.3,HOU,C,OKC,46.00,8,231.0,-240,118.5,-0.25,23.2,103.47,19.60,31.20,45.15,15.45,1.78
Andre Roberson,19.49,OKC,SF,@ HOU,39.60,21,231.0,200,112.5,-0.25,29.7,102.86,10.16,31.00,27.29,11.69,1.77
JaMychal Green,17.56,MEM,PF,@ GSW,45.11,22,207.5,475,98.5,-0.5,27.2,97.74,13.34,19.97,25.11,10.01,1.76
Matthew Dellavedova,17.39,MIL,SG,CHI,37.48,6,202.0,-260,104.25,-1,25.9,99.06,17.03,23.20,25.74,9.04,1.74
Ivica Zubac,25.56,LAL,C,POR,49.25,23,219.5,220,106.5,-1.75,16.1,101.60,20.10,30.36,38.60,12.52,1.7
C.J. Miles,16.94,IND,SG,PHI,39.03,18,211.0,-430,109.75,0,22.9,100.83,16.92,19.80,24.90,8.98,1.69
Michael Carter-Williams,16.65,CHI,PG,@ MIL,41.47,3,202.0,220,97.75,-0.5,19.9,98.73,21.44,19.64,27.31,5.99,1.67
Tony Snell,16.69,MIL,SG,CHI,37.48,6,202.0,-260,104.25,-1,28.5,99.06,11.31,29.15,23.87,9.51,1.67
Myles Turner,33.23,IND,C,PHI,53.90,30,211.0,-430,109.75,0,30.5,100.83,18.78,36.81,44.20,22.26,1.66
Kelly Olynyk,18.17,BOS,PF,MIA,42.15,5,210.5,-210,107.75,0.5,20.3,99.63,18.65,19.30,28.35,7.99,1.65
Mirza Teletovic,16.06,MIL,PF,CHI,44.62,16,202.0,-260,104.25,-1,15.3,99.06,18.35,16.75,24.09,8.03,1.61
Jordan Clarkson,32.26,LAL,PG,POR,43.30,11,219.5,220,106.5,-1.75,28.2,101.60,23.59,36.48,41.62,22.90,1.61
Richaun Holmes,27.05,PHI,C,@ IND,48.03,18,211.0,360,101.25,0,18.5,102.22,18.01,30.68,41.39,12.71,1.59
Willie Reed,15.77,MIA,C,@ BOS,49.03,22,210.5,180,102.75,1,14.0,98.61,14.86,15.75,25.39,6.15,1.58
Gerald Henderson,15.76,PHI,SG,@ IND,38.58,16,211.0,360,101.25,0,23.0,102.22,17.88,20.83,24.59,6.93,1.58
Tim Frazier,15.68,NOP,PG,@ DEN,47.86,29,225.5,210,109.75,-1,22.8,101.62,18.60,24.01,25.09,6.27,1.57
Paul Zipser,15.69,CHI,SF,@ MIL,40.66,27,202.0,220,97.75,-0.5,17.4,98.73,14.12,25.59,23.06,8.32,1.57
Moe Harkless,19.95,POR,SF,@ LAL,41.60,28,219.5,-260,113,-1.25,28.7,101.32,14.85,27.11,27.13,12.77,1.53
Sergio Rodriguez,15.28,PHI,PG,@ IND,43.60,14,211.0,360,101.25,0,21.7,102.22,21.36,18.21,23.68,6.88,1.53
Malcolm Brogdon,25.92,MIL,PG,CHI,45.62,23,202.0,-260,104.25,-1,25.8,99.06,18.63,33.00,34.99,16.85,1.52
Jamal Murray,16.7,DEN,PG,NOP,46.91,27,225.5,-250,115.75,0,19.9,102.68,22.41,19.96,25.55,7.85,1.52
Georgios Papagiannis,15.15,SAC,C,@ LAC,46.93,12,211.0,825,99,0.25,10.9,99.24,14.61,19.10,20.60,9.70,1.52
Troy Daniels,15.21,MEM,SG,@ GSW,37.56,7,207.5,475,98.5,-0.5,16.8,97.74,20.31,19.31,25.10,5.32,1.52
Eric Gordon,24.12,HOU,SG,OKC,38.09,12,231.0,-240,118.5,-0.25,30.2,103.47,22.60,33.00,34.25,13.99,1.51
Jameer Nelson,23.95,DEN,PG,NOP,46.91,27,225.5,-250,115.75,0,26.6,102.68,17.68,30.60,34.01,13.89,1.5
Langston Galloway,14.68,SAC,SG,@ LAC,36.54,5,211.0,825,99,0.25,19.1,99.24,18.31,21.00,23.93,5.43,1.47
Ty Lawson,14.58,SAC,PG,@ LAC,42.44,7,211.0,825,99,0.25,24.7,99.24,19.68,23.16,24.79,4.37,1.46
Jordan Crawford,20.42,NOP,SG,@ DEN,41.82,28,225.5,210,109.75,-1,20.7,101.62,24.52,18.93,26.75,14.09,1.46
Denzel Valentine,15.95,CHI,SG,@ MIL,37.68,8,202.0,220,97.75,-0.5,16.5,98.73,15.64,24.13,24.88,7.02,1.45
Garrett Temple,14.36,SAC,SG,@ LAC,36.54,5,211.0,825,99,0.25,25.9,99.24,13.80,24.33,23.55,5.17,1.44
Evan Turner,18.54,POR,SF,@ LAL,41.60,28,219.5,-260,113,-1.25,25.3,101.32,19.02,21.88,26.51,10.57,1.43
Rodney McGruder,14.28,MIA,SG,@ BOS,37.99,11,210.5,180,102.75,1,24.8,98.61,11.82,25.56,21.56,7.00,1.43
Ian Clark,14.16,GSW,SG,MEM,37.84,10,207.5,-600,109,0,13.7,104.67,20.17,17.96,22.66,5.66,1.42
Corey Brewer,14.24,LAL,SF,POR,38.80,12,219.5,220,106.5,-1.75,14.8,101.60,14.61,17.60,24.78,3.70,1.42
Andre Iguodala,18.16,GSW,SG,MEM,37.84,10,207.5,-600,109,0,25.7,104.67,11.89,25.67,26.33,9.99,1.4
Steven Adams,23.84,OKC,C,@ HOU,50.81,28,231.0,200,112.5,-0.25,29.8,102.86,16.20,28.00,33.38,14.30,1.4
Al-Farouq Aminu,19.65,POR,PF,@ LAL,48.89,30,219.5,-260,113,-1.25,28.2,101.32,14.81,24.99,29.28,10.02,1.4
Tyler Johnson,26.54,MIA,PG,@ BOS,44.99,20,210.5,180,102.75,1,29.5,98.61,20.61,31.93,42.46,10.62,1.4
Justin Anderson,13.98,PHI,SF,@ IND,40.15,26,211.0,360,101.25,0,14.5,102.22,20.18,17.21,23.35,4.61,1.4
D'Angelo Russell,37.3,LAL,SG,POR,38.82,17,219.5,220,106.5,-1.75,27.5,101.60,27.64,38.00,52.97,21.63,1.38
Trevor Ariza,26.09,HOU,SF,OKC,38.88,14,231.0,-240,118.5,-0.25,33.9,103.47,14.18,36.00,33.40,18.78,1.37
Jeff Teague,35.35,IND,PG,PHI,44.26,17,211.0,-430,109.75,0,31.9,100.83,23.50,34.39,45.95,24.75,1.36
Brandon Ingram,21.28,LAL,SF,POR,38.80,12,219.5,220,106.5,-1.75,28.8,101.60,16.15,36.00,28.94,13.62,1.33
