4468,DEN,CHA,SF,27.25,25,0,-12.12,2.87,0,31
4904,DEN,CHA,PF,19.855,16,0,-1.96,-3.495,0,38.6
5192,DEN,CHA,C,17.26,18,0,4.115,2.325,0,6.8
5330,DEN,CHA,SG,28.695,21,0,-12.51,-2.185,0,31
5352,DEN,CHA,C,41.68,46,1,-19.475,3.395,0,55.6
5638,DEN,CHA,PG,16.605,10,0,2.25,0.345,0,19.3
5646,DEN,CHA,SF,8.995,10,0,0,0,0,7.6
3928,CHA,DEN,PF,28.215,26,0,-10.44,0.125,1,35.6
4296,CHA,DEN,SF,18.41,10,0,2.69,-2.8,1,11.5
4487,CHA,DEN,SG,29.82,27,0,-19.72,5.3,1,34
4890,CHA,DEN,PG,40.955,41,1,-1.465,-0.39,1,49.6
5008,CHA,DEN,SF,22.91,15,0,-0.48,-0.73,1,31.9
5018,CHA,DEN,SG,12.465,10,0,11.875,0.76,1,21.5
5060,CHA,DEN,C,5.625,10,0,0,0,1,7.6
5155,CHA,DEN,C,25.265,14,0,-13.02,1.955,1,30.3
5469,CHA,DEN,PF,23.375,24,0,6.165,0.76,1,32.4
3252,DAL,MEM,PF,27.76,22,0,-8.5,0.84,0,28.4
3822,DAL,MEM,SG,10.045,10,0,11.55,2.605,0,16.4
4203,DAL,MEM,SG,15.99,10,0,8.12,1.09,0,23.7
4694,DAL,MEM,SG,22.6,18,0,4.955,-0.755,0,28.6
5013,DAL,MEM,SF,25.13,24,0,-14.05,2.82,0,18.3
5157,DAL,MEM,C,21.5,18,0,10.7,4.9,0,20.2
5536,DAL,MEM,C,9.96,10,0,9.5,-9.96,0,14.8
5693,DAL,MEM,SF,6.785,10,0,-4.185,0.1,0,3.6
5720,DAL,MEM,PG,14.285,10,0,15.25,0.265,0,7.2
3248,MEM,DAL,SF,20.64,10,0,-7.58,1.24,1,21.6
3531,MEM,DAL,PF,30.235,20,0,7.605,1.16,1,40.9
3842,MEM,DAL,SG,19.995,11,0,-6.4,1.805,1,13.5
4246,MEM,DAL,PG,37.475,38,1,-1.01,1.135,1,45
4286,MEM,DAL,C,20.59,10,0,1.975,-6.165,1,15.8
5220,MEM,DAL,SF,17.545,10,0,-10.285,-2.16,1,19.9
5282,MEM,DAL,SG,12.25,10,0,-0.1,1.95,1,30.1
5662,MEM,DAL,PF,2.625,10,0,0,-2.625,1,4.4
5319,PHI,CLE,SG,20.975,10,0,-1.56,0.885,0,23.3
5323,PHI,CLE,PF,34.085,36,1,-4.945,3.26,0,15.3
5481,PHI,CLE,PF,18.515,10,0,6.78,-2.895,0,29.5
5497,PHI,CLE,C,29.805,18,0,-8.265,-0.54,0,31.4
5582,PHI,CLE,PG,29.78,18,0,-0.745,1.365,0,27.1
5655,PHI,CLE,SG,20.075,10,0,18.7,-3.475,0,25.3
5725,PHI,CLE,C,18.245,10,0,-17.605,6.46,0,23.8
3704,CLE,PHI,SF,50.335,57,1,-11.335,-2.4,1,53.3
3835,CLE,PHI,SG,18.25,10,0,-7.275,-0.175,1,26.3
3929,CLE,PHI,PG,15.035,10,0,4.4,-15.035,1,6.9
3934,CLE,PHI,PF,16.855,10,0,3.53,-5.785,1,13.2
4391,CLE,PHI,PF,35.575,36,0,-8.22,-1.455,1,38.5
