J. Randle,PF,Lakers,false,17,7,14,0,0,0,0,2,0,2,0,1,0,6,6,14,false
B. Ingram,SF,Lakers,false,33,5,11,2,5,2,5,2,5,2,1,0,1,1,1,14,false
T. Black,C,Lakers,false,20,4,8,0,0,1,2,6,4,0,1,0,0,3,34,9,false
D. Russell,PG,Lakers,false,20,1,4,0,1,2,2,1,1,6,0,0,0,1,6,4,false
N. Young,SG,Lakers,false,22,5,14,3,10,4,4,1,4,0,1,0,0,2,5,17,false
L. Nance Jr.,PF,Lakers,false,31,4,9,0,0,2,2,4,6,2,3,0,1,5,8,10,true
M. World Peace,SF,Lakers,false,2,1,3,0,1,0,2,0,0,0,0,0,0,0,-3,2,true
L. Deng,SF,Lakers,false,24,1,6,0,4,5,5,0,3,1,1,1,0,2,4,7,true
I. Zubac,C,Lakers,false,17,5,9,0,0,0,0,2,5,0,1,4,0,3,-8,10,true
J. Clarkson,PG,Lakers,false,29,5,13,0,2,2,2,1,6,2,0,0,1,4,6,12,true
L. Williams,SG,Lakers,false,26,6,11,3,5,7,7,1,1,4,1,0,4,1,11,22,true
K. Porzingis,PF,Knicks,true,33,5,14,1,5,5,7,1,8,0,0,2,2,2,-17,16,false
C. Anthony,SF,Knicks,true,37,10,17,0,2,6,8,0,3,5,1,0,4,3,-9,26,false
K. O'Quinn,C,Knicks,true,16,2,5,0,0,6,6,1,1,1,0,0,1,3,-21,10,false
D. Rose,PG,Knicks,true,32,2,8,0,1,1,1,0,4,3,0,0,3,2,-12,5,false
C. Lee,SG,Knicks,true,25,3,6,2,4,0,0,0,3,1,0,0,0,2,0,8,false
M. Kuzminskas,SF,Knicks,true,19,2,6,0,1,0,0,1,0,0,0,0,0,2,-7,4,true
M. Ndour,SF,Knicks,true,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
M. Plumlee,C,Knicks,true,2,0,0,0,0,0,0,0,0,0,0,0,0,2,-7,0,true
W. Hernangomez,C,Knicks,true,24,3,9,0,0,2,2,3,10,1,2,1,1,4,7,8,true
B. Jennings,PG,Knicks,true,28,5,9,1,3,5,7,0,3,5,1,0,2,3,-5,16,true
J. Holiday,SG,Knicks,true,22,5,8,3,5,1,2,0,1,0,0,1,2,1,1,14,true
R. Baker,SG,Knicks,true,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,true
S. Vujacic,SG,Knicks,true,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,true
K. Love,PF,Cavaliers,false,42,11,17,6,10,11,11,4,8,3,3,0,4,3,6,39,false
L. James,SF,Cavaliers,false,42,12,18,6,8,2,5,0,7,17,2,2,6,6,0,32,false
T. Thompson,C,Cavaliers,false,41,10,13,0,0,2,4,6,6,2,0,0,0,1,6,22,false
K. Irving,PG,Cavaliers,false,44,8,24,2,7,5,5,0,1,5,1,0,3,3,5,23,false
I. Shumpert,SG,Cavaliers,false,24,0,2,0,1,0,0,0,2,0,0,0,0,3,4,0,false
C. Frye,PF,Cavaliers,false,12,2,4,1,3,0,0,0,4,1,0,0,2,4,-1,5,true
R. Jefferson,SF,Cavaliers,false,21,2,4,0,1,2,2,1,2,1,0,0,0,1,8,6,true
K. Felder,PG,Cavaliers,false,9,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0,true
K. Korver,SG,Cavaliers,false,30,4,9,4,8,1,1,1,2,2,0,0,4,4,-3,13,true
M. Morris,PF,Wizards,true,30,6,12,0,2,3,4,1,5,2,1,0,2,6,0,15,false
O. Porter Jr.,SF,Wizards,true,45,8,11,5,7,4,5,0,6,2,2,1,2,3,-14,25,false
M. Gortat,C,Wizards,true,38,6,13,0,0,4,4,5,3,3,0,3,1,5,-7,16,false
J. Wall,PG,Wizards,true,44,8,19,0,3,6,6,0,4,12,1,0,6,2,-5,22,false
B. Beal,SG,Wizards,true,45,16,28,6,14,3,3,0,5,8,0,0,0,1,-7,41,false
J. Smith,PF,Wizards,true,16,2,4,0,0,1,2,2,3,0,0,1,0,1,1,5,true
K. Oubre Jr.,SF,Wizards,true,28,4,10,1,3,2,2,3,4,0,4,0,0,6,9,11,true
T. Burke,PG,Wizards,true,6,0,1,0,0,0,0,0,1,1,0,0,1,0,5,0,true
T. Satoransky,SG,Wizards,true,12,0,1,0,0,0,0,0,1,1,1,0,0,1,-7,0,true
D. Sabonis,PF,Thunder,false,10,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,false
A. Roberson,SF,Thunder,false,36,5,8,0,0,1,3,3,8,1,2,2,2,2,1,11,false
S. Adams,C,Thunder,false,37,6,13,0,0,3,4,7,2,2,0,1,3,3,4,15,false
R. Westbrook,PG,Thunder,false,37,10,27,4,10,3,4,2,16,9,1,2,4,3,1,27,false
V. Oladipo,SG,Thunder,false,36,4,16,0,6,6,6,0,5,2,1,1,1,3,-5,14,false
J. Grant,SF,Thunder,false,28,3,7,1,3,1,2,3,1,0,1,5,1,4,3,8,true
J. Lauvergne,C,Thunder,false,20,3,5,0,1,1,2,2,4,0,0,0,2,0,-13,7,true
C. Payne,PG,Thunder,false,13,1,4,0,1,0,0,1,2,2,0,0,2,2,-1,2,true
A. Abrines,SG,Thunder,false,8,2,4,2,4,0,0,1,0,0,0,0,1,2,-3,6,true
A. Morrow,SG,Thunder,false,14,0,3,0,3,0,0,0,2,0,1,0,0,0,-2,0,true
L. Allen,PF,Pacers,true,30,1,4,0,0,0,2,3,2,3,0,2,1,2,3,2,false
C.J. Miles,SF,Pacers,true,20,3,10,1,7,1,1,0,3,0,0,0,0,3,-6,8,false
P. George,SF,Pacers,true,33,7,20,2,9,5,6,4,4,4,3,0,5,3,0,21,false
M. Turner,C,Pacers,true,36,3,12,0,2,4,7,3,2,2,2,4,1,4,1,10,false
J. Teague,PG,Pacers,true,34,6,16,2,4,3,4,0,4,3,0,1,2,1,3,17,false
K. Seraphin,C,Pacers,true,15,1,2,0,0,0,0,0,2,0,0,2,0,1,4,2,true
A. Jefferson,C,Pacers,true,12,4,9,0,0,0,0,2,3,1,0,0,0,1,0,8,true
R. Stuckey,PG,Pacers,true,14,2,6,0,1,5,5,0,1,1,0,0,1,0,0,9,true
G. Robinson III,SG,Pacers,true,24,5,5,3,3,1,2,1,1,1,1,0,0,0,13,14,true
M. Ellis,SG,Pacers,true,22,1,3,0,0,0,2,0,2,4,1,0,0,2,-3,2,true
