Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3523,Richard,Jefferson,SF,CLE,ATL,CLE@ATL,7:00PM EST,10,10.4, 
nba.p.3704,LeBron,James,SF,CLE,ATL,CLE@ATL,7:00PM EST,54,49.1, 
nba.p.3752,James,Jones,SG,CLE,ATL,CLE@ATL,7:00PM EST,10,4.9, 
nba.p.3754,Kyle,Korver,SG,CLE,ATL,CLE@ATL,7:00PM EST,11,18.3, 
nba.p.3835,J.R.,Smith,SG,CLE,ATL,CLE@ATL,7:00PM EST,15,16.8,INJ
nba.p.3929,Deron,Williams,PG,CLE,ATL,CLE@ATL,7:00PM EST,15,25.7, 
nba.p.3934,Channing,Frye,PF,CLE,ATL,CLE@ATL,7:00PM EST,14,16.6, 
nba.p.4391,Kevin,Love,PF,CLE,ATL,CLE@ATL,7:00PM EST,10,38,INJ
nba.p.4840,Kyrie,Irving,PG,CLE,ATL,CLE@ATL,7:00PM EST,41,39, 
nba.p.4883,Derrick,Williams,PF,CLE,ATL,CLE@ATL,7:00PM EST,10,12.3, 
nba.p.4884,Tristan,Thompson,C,CLE,ATL,CLE@ATL,7:00PM EST,16,24, 
nba.p.4898,Iman,Shumpert,SG,CLE,ATL,CLE@ATL,7:00PM EST,10,15.6, 
nba.p.4935,DeAndre,Liggins,SG,CLE,ATL,CLE@ATL,7:00PM EST,10,8, 
nba.p.5370,Jordan,McRae,SG,CLE,ATL,CLE@ATL,7:00PM EST,10,7, 
nba.p.5685,Kay,Felder,PG,CLE,ATL,CLE@ATL,7:00PM EST,10,7.7, 
nba.p.3601,Mike,Dunleavy,SG,ATL,CLE,CLE@ATL,7:00PM EST,10,9.9,INJ
nba.p.3818,Dwight,Howard,C,ATL,CLE,CLE@ATL,7:00PM EST,25,32.8, 
nba.p.3831,Kris,Humphries,C,ATL,CLE,CLE@ATL,7:00PM EST,10,10.4, 
nba.p.3962,Ersan,Ilyasova,PF,ATL,CLE,CLE@ATL,7:00PM EST,18,24.9, 
nba.p.4141,Thabo,Sefolosha,SF,ATL,CLE,CLE@ATL,7:00PM EST,10,18.6, 
nba.p.4175,Paul,Millsap,PF,ATL,CLE,CLE@ATL,7:00PM EST,33,35.9, 
nba.p.5102,Kent,Bazemore,SG,ATL,CLE,CLE@ATL,7:00PM EST,13,21.2, 
nba.p.5187,Dennis,Schroder,PG,ATL,CLE,CLE@ATL,7:00PM EST,27,29.9, 
nba.p.5194,Tim,Hardaway Jr.,SG,ATL,CLE,CLE@ATL,7:00PM EST,19,20.5, 
nba.p.5214,Mike,Muscala,C,ATL,CLE,CLE@ATL,7:00PM EST,10,15.2, 
nba.p.5218,Ryan,Kelly,SF,ATL,CLE,CLE@ATL,7:00PM EST,10,4, 
nba.p.5643,Taurean,Prince,SF,ATL,CLE,CLE@ATL,7:00PM EST,10,8.6, 
nba.p.5652,DeAndre',Bembry,SF,ATL,CLE,CLE@ATL,7:00PM EST,10,5.8, 
nba.p.5696,Malcolm,Delaney,PG,ATL,CLE,CLE@ATL,7:00PM EST,10,12, 
nba.p.3253,Paul,Pierce,SF,LAC,MIL,LAC@MIL,8:00PM EST,10,6.3, 
