LeBron James,56.4,51.8,41.2,62.4,55.4,55.4
Isaiah Thomas,34.5,42.2,32.8,51.6,50.6,50.6
Kawhi Leonard,47.0,42.9,32.3,53.5,48.2,48.2
Kevin Durant,44.5,46.7,37.3,56.1,48.1,48.1
Stephen Curry,48.0,44.4,34.5,54.3,44.6,44.6
Kevin Love,25.6,36.6,26.5,46.8,41.0,41.0
Kyrie Irving,41.6,39.7,29.3,50.2,39.9,39.9
Al Horford,32.7,33.4,24.4,42.4,38.6,38.6
LaMarcus Aldridge,34.7,31.4,22.7,40.2,37.4,37.4
Draymond Green,39.8,36.5,26.2,46.7,35.4,35.4
Klay Thompson,22.8,31.7,21.4,41.9,32.6,32.6
Avery Bradley,23.6,29.2,19.6,38.8,32.5,32.5
Jae Crowder,28.4,27.2,19.9,34.5,30.7,30.7
Patty Mills,22.0,18.2,10.0,26.4,30.1,30.1
Tristan Thompson,24.5,23.2,15.2,31.3,27.5,27.5
Marcus Smart,23.6,24.8,16.9,32.8,25.1,25.1
Pau Gasol,21.5,26.3,17.0,35.6,21.4,21.4
Danny Green,18.9,17.5,11.1,23.8,20.9,20.9
Kelly Olynyk,19.3,19.1,10.3,27.9,20.0,20.0
Andre Iguodala,18.7,20.3,12.6,28.0,19.7,19.7
Manu Ginobili,17.6,16.3,8.8,23.9,18.5,18.5
Jonathon Simmons,23.8,13.0,5.6,20.4,16.8,16.8
Zaza Pachulia,15.2,16.9,9.3,24.6,15.1,15.1
J.R. Smith,12.6,16.6,9.3,23.9,14.5,14.5
Kyle Korver,16.2,17.5,8.9,26.2,13.4,13.4
David West,11.7,13.7,7.8,19.7,12.6,12.6
Jaylen Brown,9.6,11.4,3.6,19.2,11.6,11.6
Deron Williams,13.6,20.9,9.8,32.0,11.0,11.0
David Lee,9.1,16.3,8.4,24.2,10.4,10.4
Iman Shumpert,12.2,14.9,8.3,21.6,10.4,10.4
Amir Johnson,9.2,16.2,7.8,24.6,10.2,10.2
Shaun Livingston,10.9,11.0,6.0,16.1,10.1,10.1
Channing Frye,13.4,16.8,8.5,25.1,10.0,10.0
Terry Rozier,14.5,13.6,6.4,20.8,9.5,9.5
Dejounte Murray,18.6,7.5,-1.1,16.1,9.1,9.1
JaVale McGee,8.9,12.1,4.4,19.7,8.7,8.7
Kyle Anderson,15.9,10.4,1.3,19.5,3.6,3.6
Patrick McCaw,8.2,8.7,0.8,16.7,0.0,0.0
Kevon Looney,4.1,7.0,1.5,12.6,0.0,0.0
Kay Felder,8.1,7.8,0.8,14.7,0.0,0.0
Davis Bertans,5.9,8.4,0.4,16.3,0.0,0.0
Demetrius Jackson,4.0,4.0,-2.4,10.3,0.0,0.0
Derrick Williams,6.2,10.3,3.3,17.4,0.0,0.0
Matt Barnes,13.4,18.0,8.9,27.2,0.0,0.0
Ian Clark,8.1,11.4,3.5,19.3,0.0,0.0
James Jones,3.9,4.6,-1.3,10.5,0.0,0.0
Jordan Mickey,1.7,3.9,0.3,7.5,0.0,0.0
Dahntay Jones,2.6,2.6,-2.6,7.8,0.0,0.0
James Michael McAdoo,5.5,6.7,0.0,13.3,0.0,0.0
Walter Tavares,16.4,16.4,-2.2,34.9,0.0,0.0
Gerald Green,9.6,9.5,2.2,16.8,0.0,0.0
Dewayne Dedmon,10.9,15.0,6.7,23.4,0.0,0.0
Jonas Jerebko,8.2,10.3,4.4,16.1,0.0,0.0
Bryn Forbes,6.1,4.5,-2.4,11.5,0.0,0.0
James Young,2.2,4.0,-1.3,9.3,0.0,0.0
Joel Anthony,7.0,4.3,-1.1,9.8,0.0,0.0
Damian Jones,7.8,5.0,0.6,9.3,0.0,0.0
Richard Jefferson,8.3,10.7,4.7,16.7,0.0,0.0
Tyler Zeller,6.0,8.1,0.8,15.4,0.0,0.0
Tony Parker,29.0,19.7,11.1,28.2,0.0,0.0
