Stephen Curry,GSW,PG,36.91,3.76,6.03,5.49,6.80,1.94,0.24,3.37,29.15
DeMarcus Cousins,SAC,PF,34.40,8.06,1.27,10.77,4.06,1.67,1.07,4.15,28.14
Anthony Davis,NO,C,33.84,9.88,0.25,11.37,2.05,1.37,1.62,2.62,24.77
LeBron James,CLE,SF,33.89,7.81,0.98,6.92,6.10,1.23,0.37,3.66,24.38
Carmelo Anthony,NY,SF,33.24,7.12,1.91,6.60,3.14,0.74,0.35,2.33,24.30
Kawhi Leonard,SA,SF,33.14,5.84,2.08,6.60,3.45,1.82,1.02,1.81,23.76
Karl-Anthony Towns,MIN,C,35.92,8.17,0.87,11.16,2.71,0.69,1.58,3.08,23.57
Bradley Beal,WAS,SG,35.61,5.05,3.51,3.79,3.86,1.04,0.23,2.36,23.43
LaMarcus Aldridge,SA,PF,34.52,9.21,0.07,8.54,2.41,0.76,1.42,1.42,23.08
John Wall,WAS,PG,37.26,7.79,1.18,5.88,11.08,1.79,0.58,4.36,23.04
Andrew Wiggins,MIN,SG,37.84,6.21,1.21,3.90,2.39,0.94,0.46,2.85,21.93
Kevin Durant,GSW,SF,32.01,5.73,1.79,7.64,4.92,0.88,1.32,2.49,21.85
Klay Thompson,GSW,SG,33.97,4.29,3.65,4.16,2.00,0.80,0.52,1.72,21.77
Eric Bledsoe,PHX,PG,35.68,5.18,2.08,4.93,6.95,1.64,0.56,4.11,21.65
Kemba Walker,CHA,PG,35.29,4.69,2.63,3.90,4.89,1.36,0.24,2.22,21.17
Devin Booker,PHX,SG,36.34,5.26,2.29,3.03,3.68,0.88,0.36,3.51,21.16
Paul George,IND,SF,37.90,4.96,2.56,7.07,4.20,1.54,0.32,3.00,21.00
Dennis Schroder,ATL,PG,34.01,6.53,1.41,3.79,7.15,0.88,0.18,3.97,20.84
Goran Dragic,MIA,PG,37.28,6.07,1.33,4.58,7.16,1.29,0.25,3.95,20.19
Jabari Parker,MIL,PF,34.46,6.88,0.78,6.34,2.72,1.28,0.47,2.35,19.93
Zach Randolph,MEM,SF,28.80,8.38,0.12,7.70,2.05,0.62,0.20,1.72,19.69
Gordon Hayward,UTA,SF,33.70,3.90,2.23,5.35,3.81,0.81,0.43,2.20,18.72
Giannis Antetokounmpo,MIL,SG,33.43,6.19,0.40,8.07,5.43,1.67,1.81,3.31,18.72
Hassan Whiteside,MIA,C,32.38,7.11,0.00,13.23,0.61,1.03,2.75,2.44,18.55
Mike Conley,MEM,PG,32.93,3.96,2.30,3.34,6.23,1.43,0.28,2.25,18.34
Paul Millsap,ATL,PF,34.67,5.26,1.00,8.91,3.65,1.68,1.46,2.57,18.04
George Hill,UTA,PG,30.30,5.22,1.60,6.58,3.76,0.84,0.56,1.66,17.66
Reggie Jackson,DET,PG,31.90,4.81,1.38,3.02,5.76,0.63,0.10,3.14,16.94
Jrue Holiday,NO,PG,34.28,5.17,1.65,3.86,7.92,1.62,0.40,3.70,16.94
Myles Turner,IND,C,34.34,6.58,0.22,8.28,1.16,0.80,2.03,1.45,16.79
Kevin Love,CLE,PF,30.63,2.82,2.36,9.14,1.76,0.85,0.33,1.94,16.19
Nikola Vucevic,ORL,C,24.36,7.24,0.06,7.27,2.02,0.81,0.82,1.75,15.98
Kristaps Porzingis,NY,PF,27.49,4.41,1.39,5.89,1.15,0.67,1.43,1.65,15.90
Jeff Teague,IND,PG,36.67,4.15,1.18,4.35,9.49,1.40,0.33,3.32,15.51
Evan Fournier,ORL,SG,32.75,3.26,2.11,3.01,3.09,1.27,0.05,2.48,15.03
Serge Ibaka,ORL,PF,30.40,4.77,1.27,6.65,0.89,0.86,1.67,1.48,14.66
Nikola Jokic,DEN,PF,29.27,5.62,0.29,8.68,3.56,0.93,0.58,2.24,14.44
Ersan Ilyasova,PHI,PF,30.88,3.33,1.86,6.68,1.41,0.83,0.41,1.54,14.42
Greg Monroe,MIL,C,22.28,5.23,0.00,6.85,2.01,0.99,0.61,1.85,13.64
Andre Drummond,DET,C,29.99,5.74,0.01,12.63,0.84,1.57,1.07,2.17,13.57
Kentavious Caldwell-Pope,DET,SG,36.09,2.30,2.23,3.70,2.36,1.45,0.23,1.58,13.30
Wilson Chandler,DEN,SF,28.23,4.09,1.18,5.86,1.88,0.62,0.32,1.75,13.26
Kent Bazemore,ATL,SG,31.54,3.12,1.75,4.73,3.05,1.33,0.73,2.21,13.18
Darren Collison,SAC,PG,33.04,3.77,1.23,2.66,5.16,1.05,0.07,2.13,13.15
TJ Warren,PHX,SF,27.48,5.06,0.41,3.63,1.01,0.89,0.38,0.89,12.82
Markieff Morris,WAS,PF,31.65,3.84,0.81,8.02,2.31,1.16,0.62,2.29,12.47
Marcin Gortat,WAS,C,31.52,5.35,0.00,11.16,1.57,0.58,0.88,1.52,12.38
Nicolas Batum,CHA,SG,36.18,2.62,1.62,6.18,5.61,1.10,0.35,2.90,12.34
