Russell Westbrook,OKC,PG,32.70,5.91,1.95,9.08,8.45,1.37,0.28,5.63,25.39
Harrison Barnes,DAL,SF,37.75,8.81,1.18,5.82,1.59,0.95,0.22,1.53,24.73
Karl-Anthony Towns,MIN,C,35.42,8.64,0.61,11.81,2.74,0.75,1.50,3.24,23.34
Andrew Wiggins,MIN,SF,35.50,6.37,0.86,4.00,2.25,0.71,0.43,2.75,20.58
Paul George,IND,SF,36.03,4.47,2.63,6.04,3.69,1.88,0.30,2.98,20.42
Devin Booker,PHX,SG,31.35,5.30,1.92,2.52,3.38,0.80,0.23,2.82,19.86
Gordon Hayward,UTA,SF,33.67,4.05,1.92,5.18,4.02,1.08,0.45,2.25,18.63
Zach LaVine,MIN,SG,32.59,3.38,2.86,3.07,3.12,0.89,0.25,2.12,17.37
Eric Bledsoe,PHX,PG,26.93,4.73,1.41,3.58,5.38,1.27,0.39,2.82,17.27
Myles Turner,IND,C,35.22,6.60,0.22,7.73,1.09,0.77,2.12,1.75,17.25
Nikola Jokic,DEN,PF,28.76,6.24,0.35,8.55,4.31,1.13,0.99,2.44,16.69
Danilo Gallinari,DEN,SF,35.55,2.34,2.15,5.46,2.99,0.89,0.35,1.99,16.28
TJ Warren,PHX,SF,29.45,6.50,0.46,3.73,1.13,0.98,0.38,0.96,15.96
George Hill,UTA,PG,25.90,4.77,1.23,5.47,3.45,0.94,0.53,1.49,15.54
Victor Oladipo,OKC,SG,30.30,3.69,1.83,4.14,2.69,1.03,0.52,2.29,15.14
Wilson Chandler,DEN,SF,23.88,4.25,1.46,5.13,1.76,0.77,0.39,1.78,14.98
Julius Randle,LAL,PF,32.79,5.43,0.03,8.76,3.05,0.85,0.32,2.88,14.10
Marquese Chriss,PHX,PF,24.83,3.87,1.32,4.90,0.95,0.97,0.83,1.87,13.36
Seth Curry,DAL,PG,24.95,2.42,2.23,2.27,2.52,1.15,0.15,1.51,13.08
