Russell Westbrook,OKC,PG,9th,42.4,84.3,34.2,35.00,60.38,79
Giannis Antetokounmpo,MIL,PG,2nd,22.6,62.2,34.7,35.89,39.59,76
LeBron James,CLE,SF,3rd,33.5,67.9,37.0,37.45,48.24,80
Kevin Durant,GSW,SF,14th,32.2,64,33.8,31.85,45.80,81
Anthony Davis,NOP,C,11th,28.9,86.7,35.6,35.70,53.66,68
Isaiah Thomas,BOS,PG,24th,35.5,68.2,33.8,35.70,49.52,78
Karl-Anthony Towns,MIN,C,1st,24,62.4,35.8,34.96,40.41,75
Jimmy Butler,CHI,SF,29th,19,69.2,36.3,35.72,40.51,66
Stephen Curry,GSW,PG,16th,26.6,56.4,33.0,29.70,39.38,80
Kyle Lowry,TOR,PG,22nd,27.2,61.3,37.0,36.48,41.81,77
Eric Bledsoe,PHX,PG,20th,23.7,66.1,32.8,36.00,41.83,68
Paul George,IND,SF,25th,29.6,55.7,35.2,36.00,40.79,80
Carmelo Anthony,NYK,SF,30th,30.5,71,33.3,38.16,47.85,68
Blake Griffin,LAC,PF,23rd,24.1,54.6,32.6,33.00,37.19,78
Kemba Walker,CHA,PG,19th,27.4,59.7,33.5,35.00,41.23,76
Hassan Whiteside,MIA,C,6th,5.3,50.6,32.6,27.60,24.73,66
Kyrie Irving,CLE,PG,14th,21.8,60,34.5,33.66,38.17,72
Draymond Green,GSW,PF,22nd,21.4,50.7,32.7,33.00,33.96,77
Jabari Parker,MIL,PF,3rd,15.7,51.8,33.9,33.84,31.17,69
Paul Millsap,ATL,PF,8th,21.8,61.8,32.5,36.05,38.97,69
Jeff Teague,IND,PG,17th,26.6,64.2,32.0,36.72,42.74,69
Marc Gasol,MEM,C,17th,22.6,61.2,33.9,36.36,39.12,71
Nicolas Batum,CHA,SG,28th,24.1,55.3,34.2,35.00,37.49,74
Mike Conley,MEM,PG,27th,23.6,60.8,32.0,33.66,39.55,70
Gordon Hayward,UTA,SF,29th,25.9,59.3,34.3,37.80,40.22,73
Andre Drummond,DET,C,13th,24.9,65.5,30.4,34.00,42.30,68
Goran Dragic,MIA,PG,15th,19.6,54.9,34.0,35.36,34.72,70
DeAndre Jordan,LAC,C,21st,25.1,57.1,31.4,32.24,38.82,73
Andrew Wiggins,MIN,SF,17th,18.6,57.1,36.6,40.28,35.12,65
Dwyane Wade,CHI,SG,29th,14.7,49.2,30.0,27.84,29.48,70
Klay Thompson,GSW,SG,26th,16.5,49.3,33.7,32.30,30.52,70
Devin Booker,PHX,SG,6th,17.8,49.9,34.1,38.48,31.59,69
Kristaps Porzingis,NYK,PF,15th,12.2,51,32.8,28.00,28.84,67
Rudy Gobert,UTA,C,18th,21.6,52.9,33.2,33.48,35.02,74
Jrue Holiday,NOP,PG,11th,22,56,31.1,34.68,36.55,71
Harrison Barnes,DAL,PF,9th,19.8,48.5,35.4,33.12,32.06,73
Dennis Schroder,ATL,PG,29th,20.8,55.1,30.4,36.38,35.51,68
Al Horford,BOS,C,2nd,17,46.9,32.8,32.01,29.80,76
Elfrid Payton,ORL,PG,23rd,13.8,55.7,28.8,30.69,31.76,57
Reggie Jackson,DET,PG,28th,17.2,48.1,28.8,28.52,30.43,68
Myles Turner,IND,C,25th,23.7,56.9,29.9,33.28,37.91,70
Brook Lopez,BKN,C,22nd,16.6,51.2,28.8,29.45,31.42,70
George Hill,UTA,PG,5th,14.4,48.9,31.2,35.64,29.19,67
Serge Ibaka,ORL,PF,29th,11,44.8,29.8,29.12,25.48,66
Dwight Howard,ATL,C,19th,16.2,52.9,29.1,30.30,31.94,68
Jae Crowder,BOS,SF,11th,15.9,42.4,31.8,30.60,27.26,72
Ersan Ilyasova,PHI,PF,1st,14.8,48.3,26.8,30.72,29.15,63
Nikola Vucevic,ORL,C,26th,20.9,56.7,27.9,30.40,36.27,68
Zach Randolph,MEM,PF,12th,22.4,49.2,23.7,27.54,33.90,72
Thaddeus Young,IND,PF,14th,12.9,43,30.8,32.40,25.82,65
Tobias Harris,DET,PF,19th,14.1,43.3,32.3,29.70,26.61,69
Zach LaVine,MIN,SG,21st,10.8,45.9,36.9,37.00,25.83,66
Ricky Rubio,MIN,PG,21st,15.9,51.5,31.1,32.67,31.17,62
