Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3962,Ersan,Ilyasova,PF,PHI,CHI,PHI@CHI,7:00PM EST,24,25.6, 
nba.p.4155,Sergio,Rodriguez,PG,PHI,CHI,PHI@CHI,7:00PM EST,11,20.7, 
nba.p.4473,Jerryd,Bayless,SG,PHI,CHI,PHI@CHI,7:00PM EST,18,19.6,INJ
nba.p.4617,Gerald,Henderson,SG,PHI,CHI,PHI@CHI,7:00PM EST,10,16.7, 
nba.p.5157,Nerlens,Noel,C,PHI,CHI,PHI@CHI,7:00PM EST,16,18.3, 
nba.p.5253,Robert,Covington,SF,PHI,CHI,PHI@CHI,7:00PM EST,23,24.1, 
nba.p.5294,Joel,Embiid,C,PHI,CHI,PHI@CHI,7:00PM EST,36,36.2,O
nba.p.5319,Nik,Stauskas,SG,PHI,CHI,PHI@CHI,7:00PM EST,10,15.7, 
nba.p.5323,Dario,Saric,SF,PHI,CHI,PHI@CHI,7:00PM EST,11,19.6, 
nba.p.5434,Jahlil,Okafor,C,PHI,CHI,PHI@CHI,7:00PM EST,12,20.3, 
nba.p.5497,Richaun,Holmes,PF,PHI,CHI,PHI@CHI,7:00PM EST,10,15.5, 
nba.p.5582,T.J.,McConnell,PG,PHI,CHI,PHI@CHI,7:00PM EST,16,19.1, 
nba.p.5600,Ben,Simmons,SF,PHI,CHI,PHI@CHI,7:00PM EST,10,0,INJ
nba.p.5655,Timothe,Luwawu-Cabarrot,SG,PHI,CHI,PHI@CHI,7:00PM EST,10,6, 
nba.p.5706,Chasson,Randle,PG,PHI,CHI,PHI@CHI,7:00PM EST,10,8.3, 
nba.p.3708,Dwyane,Wade,SG,CHI,PHI,PHI@CHI,7:00PM EST,27,32.5, 
nba.p.4149,Rajon,Rondo,PG,CHI,PHI,PHI@CHI,7:00PM EST,15,23.9, 
nba.p.4477,Robin,Lopez,C,CHI,PHI,PHI@CHI,7:00PM EST,13,21.1, 
nba.p.4631,Taj,Gibson,PF,CHI,PHI,PHI@CHI,7:00PM EST,18,23.7, 
nba.p.4905,Nikola,Mirotic,PF,CHI,PHI,PHI@CHI,7:00PM EST,14,19.4, 
nba.p.4912,Jimmy,Butler,SF,CHI,PHI,PHI@CHI,7:00PM EST,46,41.9, 
nba.p.5162,Michael,Carter-Williams,PG,CHI,PHI,PHI@CHI,7:00PM EST,10,17.5, 
nba.p.5204,Isaiah,Canaan,PG,CHI,PHI,PHI@CHI,7:00PM EST,10,10.3, 
nba.p.5322,Doug,McDermott,SF,CHI,PHI,PHI@CHI,7:00PM EST,10,16.2, 
nba.p.5479,Jerian,Grant,PG,CHI,PHI,PHI@CHI,7:00PM EST,10,10.5, 
nba.p.5482,Bobby,Portis,PF,CHI,PHI,PHI@CHI,7:00PM EST,10,9.3, 
nba.p.5522,Cristiano,Felicio,C,CHI,PHI,PHI@CHI,7:00PM EST,10,12.2, 
nba.p.5645,Denzel,Valentine,SF,CHI,PHI,PHI@CHI,7:00PM EST,10,7.3, 
nba.p.5679,Paul,Zipser,SG,CHI,PHI,PHI@CHI,7:00PM EST,10,6.7, 
nba.p.3605,Nene,Hilario,C,HOU,IND,HOU@IND,6:00PM EST,10,15.6, 
nba.p.3860,Trevor,Ariza,SF,HOU,IND,HOU@IND,6:00PM EST,22,26.6, 
nba.p.4285,Corey,Brewer,SG,HOU,IND,HOU@IND,6:00PM EST,10,9.3, 
nba.p.4469,Eric,Gordon,SG,HOU,IND,HOU@IND,6:00PM EST,22,27.1,GTD
nba.p.4483,Ryan,Anderson,PF,HOU,IND,HOU@IND,6:00PM EST,17,23.1, 
