James Harden,53.9,55.1,42.9,67.3,57.1,57.1
Anthony Davis,52.6,52.2,38.3,66.2,55.3,55.3
Karl-Anthony Towns,48.6,45.9,35.8,56.1,48.6,48.6
John Wall,46.9,46.3,37.6,54.9,47.8,47.8
Giannis Antetokounmpo,41.8,47.0,36.2,57.8,47.5,47.5
Jimmy Butler,34.2,41.6,28.2,55.0,42.3,42.3
DeMar DeRozan,32.0,39.7,29.7,49.7,40.1,40.1
Hassan Whiteside,40.0,38.7,27.3,50.2,39.6,39.6
Jrue Holiday,26.5,33.2,22.4,44.0,38.3,38.3
Elfrid Payton,39.7,28.0,15.1,40.9,38.0,38.0
Dario Saric,38.8,24.0,13.1,34.9,37.7,37.7
Goran Dragic,38.0,35.6,27.1,44.0,37.1,37.1
Bradley Beal,41.7,35.2,25.4,45.0,36.8,36.8
Nikola Vucevic,37.0,33.4,23.3,43.4,36.3,36.3
Al Horford,31.3,33.1,23.9,42.4,35.1,35.1
Tyler Ulis,22.1,10.1,-0.3,20.4,35.1,35.1
Alan Williams,29.4,15.6,0.5,30.6,34.7,34.7
Devin Booker,35.1,30.2,21.6,38.8,34.6,34.6
T.J. Warren,32.9,24.3,13.1,35.4,34.5,34.5
Ricky Rubio,43.0,30.4,19.9,40.8,34.5,34.5
Brook Lopez,31.9,34.5,25.1,43.8,34.3,34.3
Jeremy Lin,31.9,27.0,18.5,35.5,34.0,34.0
Khris Middleton,26.7,27.0,17.8,36.3,33.1,33.1
Avery Bradley,26.1,31.0,22.5,39.5,32.6,32.6
Julius Randle,36.8,29.7,18.8,40.5,32.4,32.4
Greg Monroe,26.3,25.9,15.9,35.8,32.3,32.3
Andre Drummond,33.2,36.7,25.9,47.6,32.3,32.3
Andrew Wiggins,26.1,33.0,22.2,43.8,31.8,31.8
Rajon Rondo,27.7,24.9,14.6,35.2,31.8,31.8
Harrison Barnes,27.6,30.0,22.4,37.6,31.7,31.7
Dirk Nowitzki,32.6,27.7,19.3,36.2,31.5,31.5
Otto Porter,33.9,29.8,19.1,40.5,31.3,31.3
D'Angelo Russell,27.5,28.6,17.0,40.2,31.2,31.2
Robert Covington,28.8,27.9,17.2,38.6,29.7,29.7
Jae Crowder,21.2,26.2,18.5,34.0,28.9,28.9
Patrick Beverley,23.5,26.9,19.5,34.2,28.4,28.4
Jordan Clarkson,31.3,23.0,14.7,31.3,28.4,28.4
Marcus Smart,23.1,24.6,16.7,32.4,27.8,27.8
Trevor Ariza,27.8,26.3,18.8,33.8,27.6,27.6
Jonas Valanciunas,29.4,26.4,17.9,34.9,27.5,27.5
Tobias Harris,31.7,27.7,19.1,36.4,27.0,27.0
Evan Fournier,24.9,26.1,17.1,35.2,26.7,26.7
James Johnson,24.1,25.9,16.6,35.1,25.5,25.5
Marcus Morris,19.4,25.3,15.4,35.3,25.2,25.2
