Shaun Livingston,11.17,GSW,PG,SAS,42.92,7,210.0,-1400,111.75,0.75,17.1,104.67,13.55,19.43,15.30,7.04,1.12
Klay Thompson,32.68,GSW,SG,SAS,37.83,12,210.0,-1400,111.75,0.75,33.5,104.67,24.97,37.93,43.14,22.22,1.09
David West,11.75,GSW,PF,SAS,40.55,3,210.0,-1400,111.75,0.75,12.3,104.67,19.27,12.33,17.16,6.34,1.07
David Lee,10.6,SAS,PF,@ GSW,44.60,17,210.0,925,98.25,0.75,18.2,97.88,15.85,12.32,15.37,5.83,1.06
Stephen Curry,48.66,GSW,PG,SAS,42.92,7,210.0,-1400,111.75,0.75,33.0,104.67,30.93,37.43,67.15,30.17,1.04
Draymond Green,39.4,GSW,PF,SAS,40.55,3,210.0,-1400,111.75,0.75,32.3,104.67,18.12,37.53,53.19,25.61,1.04
Deron Williams,10.39,CLE,PG,@ BOS,44.95,20,N/A,N/A,N/A,N/A,24.3,101.29,21.71,15.23,17.04,3.74,1.04
Iman Shumpert,10.27,CLE,PG,@ BOS,44.95,20,N/A,N/A,N/A,N/A,24.4,101.29,13.29,17.99,14.69,5.85,1.03
Kevin Durant,49.04,GSW,SF,SAS,33.47,1,210.0,-1400,111.75,0.75,32.8,104.67,28.00,37.63,65.71,32.37,1.02
Isaiah Thomas,45.93,BOS,PG,CLE,45.21,21,N/A,N/A,N/A,N/A,33.6,99.63,33.19,38.57,57.87,33.99,1.02
Kevin Love,36.14,CLE,PF,@ BOS,44.95,20,N/A,N/A,N/A,N/A,30.9,101.29,24.27,32.71,45.54,26.74,1
Kyrie Irving,39.42,CLE,PG,@ BOS,44.95,20,N/A,N/A,N/A,N/A,34.5,101.29,30.49,36.66,54.01,24.83,0.99
JaVale McGee,9.67,GSW,C,SAS,43.39,2,210.0,-1400,111.75,0.75,9.3,104.67,23.14,10.03,14.60,4.74,0.97
LeBron James,53.89,CLE,SF,@ BOS,39.29,18,N/A,N/A,N/A,N/A,37.8,101.29,30.40,39.12,67.36,40.42,0.93
Jaylen Brown,8.56,BOS,SF,CLE,40.58,26,N/A,N/A,N/A,N/A,16.0,99.63,17.48,13.69,11.30,5.82,0.86
Amir Johnson,7.81,BOS,PF,CLE,42.41,6,N/A,N/A,N/A,N/A,18.6,99.63,13.78,8.99,10.62,5.00,0.78
Matt Barnes,6.87,GSW,SF,SAS,33.47,1,210.0,-1400,111.75,0.75,22.8,104.67,15.69,11.58,9.96,3.78,0.69
Ian Clark,6.28,GSW,SG,SAS,37.83,12,210.0,-1400,111.75,0.75,14.2,104.67,19.73,7.20,9.48,3.08,0.63
Gerald Green,4.92,BOS,SF,CLE,40.58,26,N/A,N/A,N/A,N/A,11.4,99.63,21.80,15.40,7.48,2.36,0.49
